uniq sequences,number appears
ሚሞቱት,1
መሞታቸውን,1
አንተ,4
አጋስስ,2
ሰይጣን,31
በባዕድ,1
እያስጨፈጨፍክ,1
መጨፈር,1
ጀዛብ,1
ፎእ,1
ትግራይ ህዝብ,1
ዲቃላ,11
ሻርዕ,1
ጅላክ,1
ተላላኪ,10
ዉሸታም,1
አትፈንጥዝ,1
ሀሣብ,1
አስፈራሪ,1
ፈሪ,10
ደደብ,57
አሽቃባጭ,3
ድንጋይ ራስ,3
ዉሸት,2
ኣይዋጥለጥም,1
ዲሉዥናል,1
ውታፍ,3
ነቃይ,3
የሚያስደፋ,1
ጠላት,10
አጥቅቶ,1
ማጥቃት,2
ወሬኛ,4
ግደል,1
ተጋደል,1
መገለባበጥ,1
የቅናት,1
ያጣ ለማኝ,1
ወሬሽን,1
ምስኪኑ,1
ተጋድመሽ,1
እንዳሮጌ እርግብ,1
አልጋላይ,1
የምታጎላጂጂበት,1
ቅጥል,1
ቡችላ,1
ብሄርተኛ,1
ባርነትሽ,1
እውነት የማይቀር,1
ውሻ,35
ጨለማ,1
አስፈሪ,2
መቀለድ,1
ውጤቱ መጥፋት,1
የክፋት,1
ጠልፎ ሊጥል,1
አጥሯል,1
ምላሳቹ,1
ደንቆሮ,36
ተራግምያለሁ,1
ወንጀሎች,2
ወንጀለኛ,5
አደብ,2
ምሰክር,1
አያሻኝም,1
ውሸት,17
በሽተኛ,3
አስመሳይ,21
ውሸታም,12
ፎርጅድ,1
ማፈሪያ,19
ጉራ,4
አለቃቅስ,1
አይነቶች,1
ደንቆሮች,1
መሀይሞች,1
የተመረዘ,1
ዱቄት,2
ሰፋሪ,3
ኮተታም,4
ጭቅላትህ,1
ሞራል የለህም,1
ቅንዝር,1
አትንፈስ,1
እየተበጠረቁ,1
ተጎትቶ,1
የበሻሻ,1
ገገማ,3
ደነዝ,18
መግረፍ,1
መጥኖ,1
መደቆስ,1
ድስት,1
ጥዶ,1
ማልቀስ,1
ፉከራ,3
ሰነፍ,1
የገደለው,1
ሊገደሉ,1
ጨካኝ,10
ህፃና,1
ነቀዝ,2
ፋሺስቶች,2
አውሬ,13
ጨብሲ,1
ገናለገና,1
እብይ,1
አህመድ,1
ርመጥ,1
ጠፍጥፋ,1
እንደመታሰቃይ,1
ቢጤ,3
ጠማማ,2
እንጨት ነው የሚቆርጣቸው,1
ግራኝ,1
ድብብቆሽ,1
ጭካኔ,3
የውሻ,2
ልጅ,2
የሚሰረቅ,1
ቅዝናም,1
የምንለው,1
እሽከር,1
