uniq sequences,number appears
غبي,47
معادي,1
يبيع ارضه,1
المجوس,10
صلعت,1
زنجي,18
إرهابيون,1
متطرفون,1
يلعن,59
تقطع وريدك,1
يا دبة,1
يستخف,1
ياقردغان,1
غبية,13
أحمق,15
أبله,2
دبه,23
خولات,1
كس,6
سخافتكم,1
شراميط,72
سافله,1
لحجيه,3
مختل,1
قردوغان,25
يلعن ابوك,6
متعرفش حاجة,1
الحماقات,2
يموتون,1
القذارة,5
اقزام,4
غبائك,1
قتل,4
لعنة الله,15
اقذر بشر,1
ورطه,1
النتنة,1
متخلف,29
ادعس,2
رقبتك,1
درس بالأخلاق,1
ايري,1
غبيا,2
كلي خرا,1
ما بيستردوا شي حتى شرفهم,1
اغبى,1
ياكلب,2
شغب,1
تكسير,1
قزم,10
مخيف,1
لعنة,64
الأغبياء,19
العنصريين,1
الأحمق,6
اللعنة,5
نسف,1
كس امكم,1
خاسرون,1
مفسدون,1
اذاكم,1
اخونجي,6
خاسرة,1
اهبل,2
بالغلط,1
العار,1
ادعسك,11
جحش,11
دعاره,1
شذوذ,1
نستورد,1
المهرج,3
غازيا,1
حمار,13
هبد,1
تضحكون,1
لعنة الله عليكم,7
أغبياء,13
مصاروة,2
يعايرون,1
دعسنا,1
إعدامه,1
الخسيس,2
يشرمها,1
أغبى,2
أفسد,1
منافقة,1
يقتل,2
الشيوعيين,1
التافه,1
غبيون,2
متسولين,1
هلافيت,1
ولاد شراميط,1
يحرم,1
يخصى,1
متسولون,1
فتن,1
الاستعمار,1
الفاسدين,2
الظالمين,1
الملاعين,3
فاسد,3
اقرع,6
اضطرابا عقليا,1
غضبه,1
سخطه,1
اعداء,2
المتهالك,1
مفلسة,1
اغتصب,1
نباح,1
عويل,1
ابو شحاطة,1
مقتل,1
مجرم,2
خسيس,2
ثور,1
مغرور,1
جاهلة,3
تهدد,1
ياويلك,1
انهدم,1
طاح,1
السبب,1
وطفيتيها,1
المفروض,1
أبوك,2
منايك,12
زرايب,1
عيطلك,1
رخيصه,2
مزريون,1
غير قانوني,1
أسوأ,1
يكرهون,1
مخنوث,2
عار,1
مصختها,1
إثارة,1
جدل,1
سمين,3
محد مهتم,1
ياحسوفه,1
كلاب,1
عرر,1
هبايل,9
طيز,1
يلعنكم,1
خرجناك,1
دعسناكم,1
حرمناك,1
صياحكم,1
عكاريت,2
عملاء,1
غوبتا,1
الغوغائين,1
هراء,3
الجهلاء,1
جهلهم,1
خارجي,1
تكفيري,2
مكذوبه,1
جاهل,11
روث,2
يشنق,1
مدعوس,1
هبلة,2
مش فاهمة,1
ساخراً,1
غبياً,1
مفهاش احترام,1
مستحمل,1
القهر,2
الانكسار,1
فاظلم,1
لا نرجوك مرحمة,1
يشنقوهم,1
الغباء,7
المجرم,1
السارق المسلح,1
المغتصب المتسلسل,1
لا يفهم,1
فاشل,2
يابهيمه,1
الانتحار الثقافي,1
نجس,1
القمامة,5
ظُلم,1
كارثية,1
عشوائيه,1
دبة,4
كاذب,2
مجنون,4
قزمة,1
الأقزام,1
يلعن امك,13
سارق,2
لا فائدة له,1
الخراء,1
وغد,1
تقديس,1
عبط,2
امك,5
ضحية,1
القذرة,1
ما نبي مصاروة,1
الاغتصاب,1
اعتداء,1
كاذبًا,1
محتالًا,1
مصيبه,1
مولم,1
بنت الكلب,2
فارغة,1
بائسة,2
فلسطيزي,6
المتخلفين,1
ازعجونا,1
العصملي,2
المجانين,2
يضربك,1
مؤخرتك,2
فلس,1
العينات,1
السجن,1
جبان,3
مكشوفين، تناقضهم,1
تخربونهااااا,1
تعبتنا,1
أاللعينة,1
موتو,1
بغيظكم,1
يامتهزئين,1
مات,3
عدم تكافوء النسب,1
يلعن أبوك,1
مجانين,2
اليهود,1
سخيف,1
ندعسكم,1
مواجه مباشره,1
الخول,1
حزب اللات,1
المليشيات الشيعية,1
احتليتوا,1
مجرمين,2
اللعينة,6
لايوفق,1
النصرانية,1
المغفل,1
فاسدة,2
فاشلة,3
السم,1
ولاد قحبة,1
سمج,1
قرفتك,1
الحمقى,4
الجاهلة,1
فساد,2
مهزلة,1
قلة ادب,1
اشباه الرجال,1
المشكله,2
كعلة أمك,1
يافتال,1
متحرش,1
تفشللل,1
حمارا,1
فم كبير,1
عقل صغير,1
طفولي,2
لئيم,1
بخيل,1
وقح,1
ضيق الأفق,1
ناقص اللياقة,1
كول هوا,4
مهرج,5
عديم الفائدة,1
,6
خروف,1
انانيين,1
محدود,1
قمامة,3
تقتلوا,2
متوردين,1
عليكم,7
ابد الدهر,1
عمرهم ما كانوا يستاهلون,1
غبيًا,2
الدعارة,2
مثلين,1
الرذيلة,2
حفرة,1
الخاسرين,1
بتنطرب,1
بتسكر,1
الحذاء,2
عبث,1
يتطلب تدخل,1
ديوثية,1
شهوة,1
أعداء,2
اغرب,1
شياطين,2
مزعج,1
حثالة,4
بتوع,1
صعايدة,4
الساقطين,1
عيب,3
هبلان,2
بلوك,1
ابوك,1
ابن سته وستين زنوه,1
اهبط,1
عمائمكم,1
أحفاد المجوس,2
انقلع,1
الهطف,1
إجرام,1
كفار,2
بطبوط,1
بقرة,2
الضراط,1
مغتصب,2
زحط,1
يرسل لحكومة فلس,1
يرفض اي صلح,1
كومة قمامة,1
يلعنك,2
الاسف,1
مسترخصه,1
دماء,1
الارهابيين,1
تبا,2
إقضي,1
استغفرالله,1
ماعليها شرهه,1
حماقة,1
كس أمك,1
يلعن ميتين أمك,1
إبن شرموطة,1
معتوه,1
غصب,2
خشم بلحه,1
رماه,1
الله يلعن ابوك,1
عرصات,1
عاهات,1
لحجية,2
عدوانيين,1
جاهلين,2
كسول,1
شيوعي,1
ما تولعوا,1
قطعة قمامة,1
عديمة القيمة,1
شحاذه,1
نصب,1
الحيوانات,1
إرهابي,1
خونة,1
إيذاء,1
الله ياخدك,1
قليل,1
سيئ,1
شوارع,1
الروث,1
لايطيق,1
اللعين,4
مخانيث,3
يقف,1
سخيفة,4
مارق,1
البور,1
ضرر,1
حمقى,2
جبانا,1
مضادت الصواريخ,1
القضاء,1
المهرجين,1
انكتمي,1
اقتلك,2
احول,1
داج,1
مجامله,1
تطبيل,1
محتلين,1
ترذدوننا,1
غدار,1
مقرفين,1
لا يستحقون,1
لحجي,4
ساقط,1
لاقط,1
وصخه,1
بحق الجحيم,1
الهذيان,1
ذوي الرؤوس المدببة,1
تحديات معرفية,1
كس اختك,2
هيك,1
الغبية,4
مؤخرتك المفتوحة,1
اولاد قحبه,1
العاهرة,2
مهرجين,3
الجاهل,2
أبو صرماي,1
ابن الحرام,1
تخسر أولادك,1
سليطة,1
الكراهية,1
حوثيه,1
أحقر,1
تستنقص,1
مشبوه,1
يسب,1
بزارين,1
ابن زنوه,2
خسارة,1
حداد,1
غضب,1
يفترسكم,1
متبجح,1
يحمار,1
كسم,2
ينطاقون,1
الموت,1
كذب,1
اولاد الكلب,1
يتعفنون,1
ضايع,1
النرجسيون,1
تقتل,1
بدم بارد,1
الخبث,1
الخبائث,1
أكاذيبك,1
الخسيسة,1
الكاذبه,1
الرعب,2
التنمر,1
التشمت,1
قحاب,7
الصهاينة,1
متحيز,1
يغطي مؤخرته,1
لا يوجد شيء خاطئ,1
الحقد,1
الحسد,1
الدلاخة,1
بعده عن الدين,1
تتغوط,1
الأكاذيب,1
الملعونة,1
شاورما,1
تنحف,1
تعبت,1
ميتة,1
باردة,1
الوغد,1
نيك,1
