uniq sequences,number appears
vollidioten,2
geisteskrank,2
regime,1
größenwahn,1
arsch,21
widerlich,6
dummgelaber,1
pest,2
cholera,2
dumm,27
dumme,19
arschloch,3
unehrlich,1
hetzer,3
schweinejournalisten,3
pack,16
entsorgt,10
verdammt,4
olle,1
fettsack,1
irren,1
konfettischwulenparaden,1
bastard,2
geistigen dünnpfiff,1
merkel-propagandaschrott,1
alte,7
durchsuchen,1
erwischt,1
🤮,2
drittklassige,1
beschissenen,1
kriechen,2
vasallen,16
strunzdumme,6
scheiße,5
verblödete,3
ficken,2
vergewaltigungen,1
den sack lutschen,1
du kleine profesora,1
dusselige,3
scheissegal,2
randalierer,1
notfalls,1
arbeitslagern,2
absitzen,1
alzheimer,1
egal,1
wahnsinn,1
kotzen,11
strohdumm,1
spinner,2
missbraucht,2
verraten,4
suffschädel,1
blöd,5
kriminellen,3
deserteuren,1
feiglingen,1
afrika-pack,1
rassist,2
nazi,11
xenophob,1
tritt in den arsch,2
zurückschickt nach afrika,1
platzt einem der arsch,1
jaulen,1
flintenuschi,2
pisser,1
dummdeutschen,1
volksverräterin,3
asylanten,15
verbrechen,2
totgeschwiegen,1
schweinepriester,1
kleine wicht,1
scheiß,11
merkel-blindenhund,1
tatsächliche opfer,1
vasall,4
lügenpresse,19
schuld,4
scheinheiliges,1
dreckslöcher,1
verdrücken,1
klauen,1
sexuell missbraucht,1
minderjährige,1
sexuell belästigt,1
rapefugees,16
rechte,2
böse,1
nazis,6
hetzmedien,1
freie fahrt,1
scheisse,16
lauch-scheisser,1
troll,1
warze,1
wespen nest,1
berliner muschpoke,1
taugenichtse,1
nichts brauchbares,1
verlogene,4
emotionsgeschwafel,1
lügenbrut,1
dämlich,6
heuchlerischem,1
gutmenschentum,1
schlecht,3
herrenmenschen,1
artgerechte haltung,1
bepissen,1
lüge,1
stinkt,2
schweinerei,1
mogelpackung,1
bekloppter,1
duckmäuser,1
ja sager,1
toleranz fanatiker,2
verblödung,2
abschuss freizugeben,1
versiffte,6
mischpoke,1
#rapefugees,9
halbneger,1
grosskotzig,1
heuchler,9
krimigranten,2
arschlöcher,3
volksmörder,1
total bekloppt,1
pfaffe,4
huldigen,1
nichts besser,1
schleimen,1
trash,1
linken,2
hurensohn,5
konsorten,3
abschaum,12
horde,2
nafris,5
antifaschisten,1
blöden,2
flüchtling-spako,1
stangengirl,1
versagen,1
hohn,2
postengeschacher,1
schmarotzertum,1
weg gejagt,1
dorfdeppen,1
geduldet,1
unmenschlich,1
geschwür,1
zerstören,1
schweinejournalimus,1
hetze,9
diskriminieren,1
gehetzt,1
gestänkert,1
pickelplantagen,1
kinderfickende,1
schächtende,1
nichts,3
versager,5
trockener alkoholiker,1
erbärmliche,2
unterschlagungs-presse,1
get rid of,1
#islam,1
#muslims,1
verblödet,5
krimineller,1
perverser,1
dummkopf,1
fakenews,2
journaille,1
türken hasst,1
komische kuh,1
selbstherrlichkeit,1
am arsch,1
egomanen,1
dummen geschwätz,1
nötigen,1
sesselfurzer,2
sittliche,1
moslem-schlampe,1
bereuen,1
kein mitleid,1
schadenfreude,1
dreckspack,3
dumme nuss,1
hetzen,8
denunzieren,1
verleumden,1
lügen,3
betrügen,1
attackieren,1
schießen,3
volksverarsche,1
vollpfosten,1
invasoren,12
sed-trulla,1
linken u-booten,1
trulla,1
glatteis führen,1
zurückgebliebene,1
asylantenflut,1
negatives,1
asylanenstop,1
rückführung,1
kotz,2
propaganda,1
falsch,3
ekelhaft,5
islamisten,4
eigenhändig erschlagen,1
pussys,1
schlachtbank,1
armes,3
dummes,8
eh,1
drauf,1
verlogen,1
lächerlich,1
entsorgen,2
kröte,2
dermaßen,1
eier,1
vasallenpack,1
hässlichten,1
fresse,4
abgesahnt,1
oberguru,1
alten b-movies,1
massiv verarscht,1
hochzupuschen,1
fette,4
etwas,4
schwein,5
widerliches,1
schwachmaten,5
gerangel,1
hohle type,1
verloren,1
voll im arsch,1
übertrieben,1
bullshit,3
skandal,2
übliche,1
dr. goebbels,1
scheinheiliger,1
außerrandundband,1
raus,3
kacke,2
häßlich,1
dummen,9
deutschfeindlichen,5
trauriges gelaber,1
schwachsinnige,2
fette schwein,1
strunz,1
langweilig,1
dunkelhäutigen,1
dunkler,1
#islamisierung,2
terroristen,3
neger,5
maul,2
frech,1
typisch türke,1
angeblicher,1
getöteten,1
großmaul,2
psycho,1
sekte,2
kein guter boxer,1
haut dich,1
wech,1
pfeife,4
wendehälse,1
fehler,1
kleben,1
linksversiffte,1
murksel,10
kurzschwanzdackel,1
furor,1
zurhöllemitmerkel,1
fürchterlich,1
furchtbar,5
asylschmarotzer,3
primaten,1
dummschwätzer,3
irrenhaus,1
ossis unter kontrolle,1
rücksichtslose,1
hohlköpfe,3
jämmerlichen,1
deppen,3
abgefuckte,7
machtgeilheit,1
verkauft,1
ekelhafter,1
spast,1
scheinheilige,3
idiotischer,1
gscheidschmatzer,1
wütend,1
klappe,1
schlampe,1
faschisten,1
hinschieben,1
wo die sonne nie scheint,1
politverbrecher,1
gelaber,3
unsichere,1
keine hemmungen,1
finanzbetrüger,1
dummlaberei,1
pädophile,9
grünen brut,1
schmieriger,1
faschist,1
