uniq sequences,number appears
fucking,132
ignorant,11
pretending,1
shit,177
insane,6
stupid,44
dorks,1
fuck off,15
liar,2
hate,13
shits,4
garbage,4
cretin,1
clowns,3
messed,1
rubbish,7
punishable,1
firing,1
fucked up,19
vigilantes,1
fuck,124
ignorance,1
cunts,6
crap,15
sanctimonious,2
stolen,1
fool,8
locked,1
dummy,2
dumb,15
out of touch with reality,1
asshole,16
liars,2
clueless,1
pathetic,5
loser,1
goddamn,2
piece of shit,7
attacking,2
names,1
hypocrite,1
nazi,4
blame,3
bitch,16
moaned,1
bullshit,10
farce,1
doofus,1
big stick,1
smack,1
foolish,4
hard up,1
dreck,1
corrupt,4
fired,1
cretins,1
sucked,3
suck-ass,1
donkey show,1
poverty,1
bust his ass,1
doubtful,1
imbecile,1
hatred,1
fuck ups,1
nitpicky,1
cunt,16
cut,1
threaten,2
dopey,1
crazy,5
missiles,1
ill informed,1
burr up their ass,1
crash,1
crappy,3
expensive as fuck,1
fuck up,4
waspy,1
fuckin,8
sonofabitch,1
isis,1
blemish,1
tear down,1
fucked,9
get lost,2
false,1
abusive,2
motherfucker,4
ass,14
ass kicked,1
scum,4
shit storm,2
tired,3
abusing,2
discrimination,1
revenge,1
rips off,1
wars,2
richer,1
morons,3
bandwagon,1
put in his place,1
fagget,1
parasite,1
arrogant,4
up himself,1
lacks selfcontrol,1
sad,3
lonely,1
faggot,7
stopped functioning,1
yapping,1
moron,12
hell,18
violent,3
pcp,1
retards,3
bad guy,1
lose my shit,1
wackos,1
cult,2
dick,23
no respect,1
female creature,1
suck,3
killed,1
jail,3
fear,2
aggressive,2
cowards,1
cold blood,1
persecute,1
talk shit,1
lies,3
clown,2
shit hole,3
goddamned,1
over hunting,1
ridiculous,3
crock of shit,1
tosser,1
idiotic,6
hero,1
tragedy,1
attention,1
insecure,1
kill,4
thousands,1
righteous,1
vengeance,1
dipshit,2
selfish,2
over dramatizing,1
feckless,1
goofs,1
selfregarding,1
dirt bag,1
poorly,1
racism,1
idiots,6
bs,2
brain washed,1
doofy,1
none,1
werent,1
invade,2
shit head,2
shady,1
fucking up,1
shut up,3
death wish,1
dumbest,2
pulling this out of your ass,1
decry,1
monsters,1
treat them like shit,1
erase,1
dont come back,1
awful,4
terrible,1
stupidity,4
asses,2
backwards,1
idiot,23
massive porn star,1
vagina,1
arse,3
split,1
gaping,1
silly,2
smug,1
thug,2
shitty,4
hypocritical,2
killing,1
flaming,1
poor,2
robs,1
prison,1
raped,1
spouts,1
nonsense,3
hurting,1
lying,2
up,1
terrorism,1
inane,1
useless,2
hypocrisy,2
retarded,7
fkn,1
bitchez,1
cooking in radiation,1
nasty,2
shot up,1
fucking insane,1
hauled,1
my ass,2
stupidly,2
ugly,3
denigrating,1
jerks,1
fucks,4
fuck wits,1
tinfoil wearing,1
tax evader,1
immature,1
assholes,5
sellout,1
no brains,1
lacks the ability,1
forward thinking,1
hateful,2
whine,2
sore loser,1
oversimplified,1
death penalty,1
short rope,1
illiterate,1
brainwash,1
propaganda,1
blowing shit up,1
junk,2
tiresome,1
manipulating,1
overwhelming,1
sick fuck,2
sociopath,1
repugnant,1
idiotdriven,1
inflammatory,1
murder,3
victims,1
forced,2
coward,1
damn,8
bitching,4
sabotage,1
arse hole,2
lazy,2
heck,1
wrong,3
jump to conclusions,1
depressed,1
schmuck,1
fuckface,1
biased,2
hack,2
wtf,3
ban,1
fukkers,1
trolls,1
damnit,1
vandalize,2
fags,1
piss-poor,1
cease,1
desist,1
anti-zionist,1
bigotry,1
report,1
baby pop,1
pissing off,1
ignore,3
not,1
don't,1
blind,2
problem,3
surly,1
prick,2
snide,1
snot nosed,1
block,1
nothing better,1
stop reverting,1
fuckers,1
troll,3
communist agenda,1
shut the fuck up,3
sick,4
pity,1
attack,1
fukkin,1
son of a bitch,1
self-delusive,1
unable to face facts,1
muthafuckaa,1
ruin,1
no right,1
boring,1
dump,1
miserable,3
control freak,1
blocked,4
sh#t,1
dumbass,8
prank,1
inaccurate,1
vandalized,3
lowest iq,1
disrespecting,1
kkk,1
bastards,1
shithole,2
narc,1
fat,1
balding,1
defacing,1
deleting,1
power trip,1
self-appointed,1
doesn't stink,1
motherfucking,1
revert warring,1
fascist,2
sadder,1
screwing,1
fools,2
bossy,1
cyberbully,1
dumbfuck,1
violation,1
b-itch,1
never,1
transphobic,1
trash,2
worst,1
hell hole,1
atheists,1
irrational,1
jerk,3
gone,1
don't you ever come back,1
interfering,1
fukin,1
dumb ass,1
traitor,1
shot,3
broke,1
oil pit,1
jackass,6
no life,1
screwing around,1
nlgga,1
bad ass,1
partymaniac,1
vandalising,1
ass hole,1
shenanigans,1
dickhead,1
shitheads,1
fucken,1
offensive,1
scumbag,2
voyeurism,1
sucks,5
deletion,2
tattletale,1
shut,2
friggin,1
suck off dogs,1
little,1
wee,1
wasted,1
crapp,1
retard,3
incel,1
nigga,1
degenerates,1
losers,1
looting,1
niggas,2
little shit,1
disgrace,1
vandalism,2
vandalizing,3
dick head,1
twat,1
stalking,1
fuck's,1
deserves,1
beating,1
rape,1
subjected,1
phony,1
tits,1
worthless,2
piss off,1
fuckin jerk,1
get on my nerves,1
real prison,1
never leaves me alone,1
lost,1
enemy,1
burn,1
deadly,1
pigs,2
incompetent,1
shitty ass,1
double standard,1
stalk,1
so-called,1
patsies,1
money grubbing,1
brainless,2
followtheleader,1
sheep,1
bureaucrats,1
adding zeros,1
open their mouths,1
fag,3
uppity,1
blacks,1
sue,2
witch,1
,1
wage war,1
blow shit up,1
dumdums,1
shit show,1
asinine,1
racist,1
stinking,1
nevertrumpers,1
bastard,2
deny,1
mean,1
greedy,1
bully,2
brain dead,1
filthy,1
bull shit,1
shut the hell up,2
whiny,1
do not post,1
price gouging,1
angry,1
no self control,1
sack of shit,1
two faced,1
lied,1
bitches,1
cover their asses,1
peril,1
power hungry,1
spoiled,1
moronic,2
loud,1
shit stain,1
shitting,3
pussy,3
cockeyed,1
destroyed,1
godking,1
intolerant,1
war crimes,1
slanderous,1
pissing,1
blocks,1
deter,1
stink,2
gullible,1
pompous,2
self-centered,1
nothing,1
repugs,1
shove,1
biggest piece of shit,1
destroying,1
half person,1
brutal,1
disqualify,1
puffing,1
blowing smoke up his butt,1
aggrandizing,1
few accomplishments,1
hrassing,1
asshats,1
wrong with you,1
bums,1
ass clowns,1
joke,1
boobs,1
stop,2
bloated,1
mexican,1
liable,1
break,1
kidding,1
punking,1
nuts,1
hinder,1
ditch,1
ugh,1
suicide bombing,1
rammed in the ass,1
can't see you getting any action,1
complete and utter pieces of shit,1
dark,1
hitler,1
dead,2
brainwashed,1
ignorants,1
zero,1
chinese,1
psychopath,1
force,1
little shits,1
fight,1
diatribe,1
outrage,1
blows cock,1
fatal,1
civil war,1
cophating,1
police state,1
neo-nazis,1
deleted,1
condescending,1
censorship,1
non reporting,1
fled,1
angry mob,1
whhore,1
throwing his ass,1
willful drunk driving,1
human garbage,1
rot in jail,1
flying fuck,1
assuming,1
moan,1
gives a fuck,1
waste,1
effusions,1
loud ass,1
beast,1
stinks,1
robbed,1
starve,1
death,2
boneheads,1
fuckingtzu,1
murdering,1
rogue,1
sex,1
sucking dick,1
too busy,1
to care,1
barbarian,1
gooks,1
torture,1
freak,1
failure,1
twinkle-queen,1
clue,1
fatuorum,1
bribery,1
stab,1
whiners,1
butt-hurt,1
cut off,1
lame duck,1
tiny-dick,1
