uniq sequences,number appears
furcia barata,1
mierda,138
pierden la cabeza,1
ladrones,1
golpistas,1
peor,3
vergüenza,3
maricon,4
subnormal,58
gilipollas,9
perroflautas,4
fascista,9
polla,2
ninguna,9
enfermo,1
problemas,2
nunca,1
envenenan,1
mierdas,9
izquierdistas,1
odio,3
retrasados,1
soltar espumarajos,1
basura,3
delincuentes,3
pedazo de retrasado,1
puto,32
coronabicho,1
joder,14
chorizos,1
cortar cabezas,1
charnego,3
retrasado,8
paguita,5
rasistas,1
borrega,1
mentiras,1
putos progres,1
maricón,4
tocacojones,1
puta,46
zorra,3
traicion,1
propaganda mentirosa,1
descerebrados,1
fascistas,11
sudaca,2
enano,1
asco,9
cabron,7
comunistas,1
nazis,4
judeo,1
musulmanes,1
putas,8
pendejas,1
pagapensiones,1
trolos,1
putos,8
moro,1
facha,7
rojos,2
hostia,2
,28
escaso,1
mafia,1
cateta,1
expulsar,1
miserables,3
nazi,3
malditos,3
hipocritas,1
daño,3
corruppción fascista franquista,1
lesiones graves,1
descojono,1
acabado,1
matandose,1
cabrones,3
mongolo,7
toleran,1
contra,1
casoplón,1
fuck you,1
fachas,11
rabiar,1
vomitar,1
idiotas,2
franquismo,1
hp,2
robar,1
mamarrachada,1
mediocres,1
chupala,1
hijo puta,1
payaso podemita,1
manada,1
quejaros,1
mamona,1
lamentable,1
tonto,5
morais,1
machirulos,1
asquito,1
mamón,5
hdp,2
escorias,1
cacho,1
parguela,1
impida,1
drama,1
mierdísima,1
cagaste,1
bizco,1
penca,1
discriminatorio,1
viejo culiao,1
disfrutando lo votado,1
imbécil,6
none,2
charlatán,1
alimañas,1
cabroooooonnn,1
cárcel,1
borrachos,1
malparidos,1
muerto,3
pinche,7
estorban,1
hdspm,1
basura franquista,1
sobornan,1
moros,4
hija puta,1
negativo,1
expulsión,1
absurda,1
represión,1
victimista,1
estado fascista,2
traumados,1
homófobo,1
follar,3
perro,2
insultando,1
gitano falso,1
cojones,16
gordoooooooo,1
invasores,2
pelele,1
inepto,1
hijo de puta,6
machista,1
odie,1
hijueputas,5
monguer,1
rayao,1
transfobos,1
homófobos,1
ninguno,1
hace,1
sólo,1
manera,1
muere,1
despreciados,1
derechona,2
vendiendo corbatas por los bares,1
acojona,1
rancia,3
incultura,1
españistán,1
graves disturbios,1
podemita,1
asqueroso,1
cosas de hippies y perroflautas,1
ppodrido,1
mancito,1
sureñito,1
jodiendome,1
disturbios,1
gentuza,1
putos nazis,2
mamarracho,2
💩,1
prisión,1
condena,1
deportación,1
españolazo,1
coaccionando,1
chaquetero,1
cáfres,1
asquerosos,2
mataría,1
mamon,1
subnormalez,1
peste,1
zorras,1
manipular,1
burda,1
estupidez,2
robotización,1
adoctrinamiento,1
progre,1
hueás,1
mafias,1
follarefugees,1
fracasa,1
monguers,2
fracasen,1
bazofia,1
pedazo de retrasada,1
gusano,1
verga,6
nacotes,1
sin educación,1
groserías,1
votar,1
membrillo,1
proxeneta,1
cabrón,2
olvidate,1
subnormales,1
fake,1
jodas,1
jamás,1
bilis,1
gordos,1
robado,1
robará,1
patológico delincuencial usurpante ilegal,1
puto subnormal,1
forro,2
terremotos,1
jamas,1
tercermundistas,1
políticos progres,1
hipócritas,2
acojonante,1
barbaridad,1
escoria,3
culo,13
hijos de puta,3
mano negra,1
ladrón,2
racista,1
maleducada,1
odias,1
supremacista,1
arruinada,1
avergonzada,1
putas chonis,1
bronca,2
trolo,1
tarado,4
perder la cabeza,1
arranco cabezas,1
terroristas,1
preocupante,1
medieval,1
dictador,1
sin licencia,1
ni siquiera,1
sin importancia,1
benzemierda,1
arruinar,1
cuatro gatos,1
infierno,6
fanáticos,1
tocar los huevos,1
nada,2
arder,1
sodomita,1
pacotilla,2
pedorra,2
maldito,3
perra,2
macarra,1
sobrevaloradisimo,1
innecesario,1
boicot,1
comediante,1
payaso,1
pena,2
encabronar,2
vieja,1
puto retrasado,1
comunista,1
metidos,1
cabeza de polla,1
mental,1
zoquete,1
payasa,1
loca,1
chingado,1
machistas,1
desprecian,1
imbéciles,4
locos,2
hijos de las mil putas,1
agotando,1
podemitariado,1
lobotomizados,1
morbillo,1
repulsivos,1
dogmatismo,1
inválido,1
huyen,1
maldita,8
explotar,1
maricoooon,1
pavos,1
sinvergüenzas,1
impedimento,1
hostia puta,1
lacayo,1
asesinas,1
ofender,1
intolerante,1
hipocrita,1
galamierda,1
giligoyas,1
rojeras,1
mamarla,2
arrechera,2
matas,1
dictadura,1
malparido,1
indio,1
imbeciles,1
imbecil,1
oportunistas,1
cadáveres,1
currar,1
tarado mental,1
da igual,1
por desgracia,1
ignorante,1
marica,2
bolleras,1
eterno,1
inútiles,2
embusteros,1
miserable,1
esosmoros,1
echarlos,1
carajo,2
magrebi,1
delicuente,1
pobres,1
atacada sexualmente,1
callate,6
rabia,2
robo,1
penosa,1
insoportables subnormal miarma,1
dictadores,1
pelotudos,5
psicopata,2
fascistas corruptos ladrones,1
gilipolleces,1
achichincles,1
carajaula,1
politicucho,1
narco,1
secta,1
voxtarra,1
cara raja,1
rompe,1
orto,4
cagar,3
tumbas,1
clavaron,1
cortar un huevo,1
menstrujan,1
huevos,3
hijaputa,1
suda,2
trolleo,1
cagada,7
hijueputa,11
chavalin,1
ridiculez,1
cagarla,1
ebrio,1
coño,18
amenazas,2
cabrea,1
ultranacionalista,1
violar,1
mamada,1
crj,1
parió,1
molestar,1
pegue,2
gil,2
chupasangre,1
idiota,3
nojoda,2
mierdación,1
concha,4
madre,1
pepero,1
quejándose,1
zasca,1
caca,2
putavida,1
fascist,1
limpiar,1
copan,1
pedo,8
agresivo,1
culia,1
culiaos,1
vale pico,1
no,3
mongolico,1
cabrona,2
ctm,1
ridiculizar,1
empedo,1
mierdaa,1
bruto,1
pendejo,6
coger,2
boludo,4
rata,2
feos,1
fallo,1
desgaste,1
mamertos ifueputas,1
les da por las pelotas,1
suda la polla,2
cagadas,2
culear,1
hijoeputa,1
expulsaba,1
prendía fuego,1
cometieron,1
crimen,1
rajaron,1
bolas,2
hioputa,1
asquerosa,1
indigna,1
fariseos,1
furibundas,1
coñazo,2
diablo,1
ovarios,1
polvo,1
olor a chivo,1
hundimos,1
chucha,6
culpas,1
cagar a piñas,1
teterahijueputa,1
pinché,1
verguenza,2
qlo,1
estupidos,1
cagarse,1
