uniq sequences,number appears
जेहादी सूअर,1
गांड,45
भड़वा,62
कलूटे,1
मूत वाला मुह,1
तोड़ फोड़,1
मौत,1
तड़ीपार_गैंडे,1
सूअर की औलाद,6
मादरचोद,71
अबे,15
कुत्तों,9
पिल्लो,1
सूआर,1
गू,5
सूअर,23
पीला,1
भड़वों,4
रंडी,70
गांड मराने,1
साले,26
ढोंगी,4
रंडि,2
मधरजात,1
मारो,1
हरामी साला,1
सालों,2
लोडा,1
भड्वा,5
कुत्ते,22
कुत्ता,5
गंदगी,1
सुअर,31
आपत्ती जनक,1
सुवर,6
बहन बेटियो,1
नंगे,1
मारे जाओगे,1
सुवर की औलाद,1
भडवा,13
दलाली,7
अन्याय,2
भोसडी,3
चुदबाने,1
पिछवाड़े,5
घुसेड़ा,1
भोसड़ी के,3
भोंसड़ी,6
भेनचोद,61
हराम का पिल्ला,1
हरामखोर,10
हरामी,72
छेद,2
भोसडीके,59
हराम,4
मूर्खो,1
गाली,7
भड़वे,22
कुत्ता जैसा नाक,1
बेइज्जती,1
नीच,35
घटिया,6
दुष्ट,2
असुर,1
राक्षस,1
कमीना,5
हरामजदओ,1
हरामीपन,1
थू,2
बेटीचोद,2
हरामि,4
हरामी नीच,1
नफरत,3
हिंसा,2
ड्रामेबाजी,1
पलटु,1
गन्दी,1
खून जला जला,1
टोटिचोर,1
जहर उगला,1
घुसेड़,1
मरने,1
नमक हरामी,3
सुवरों,1
लवडी,1
नमक हराम,1
भडवे,3
भौकते,1
फ़टु,1
सुअर की औलादो,1
हरमखोरों,1
चूतिया,4
गलिचे,1
बकचोदी,4
बवासीर,1
पिछवाडे,1
दोगला,1
लुच्चो,1
रन्डी,2
आतंकी,1
अपमान,1
हत्यारे,1
हरामखोरो,2
तेरे बाप,1
दल्ले,7
भकचोदी,1
साला,10
दल्ला,3
गांड़ फाड़,1
कमीने,28
मकार,1
नमकहराम,2
दलाल,27
फरेबी,1
देशद्रोही,3
भोसड़ी,14
कटुवे,1
सत्यानाश,1
बेगैरत,1
गान्ड,6
मादरजात,4
चोर,6
उचक्के,1
चूतियों,2
पिल्ला,1
चुदवा रहा,1
भेनचोद भोसडीका,1
दोगले,3
भरवा,1
सांपो,1
सालो,3
बिकाऊ,2
ओए,1
रेप,1
सूअरिआ,1
बदनाम,2
कलंक,3
मादर चोदो,2
भोसडिके,6
पिल्ले,3
हराम की औलादो,1
सड़े लूँड,1
हरामी भोसड़ीके,1
भोसड़ीके,14
मूत,3
फाड़,2
सुअरों,1
नाजायज़,2
नाली के कीड़ों,1
भैनचोद,8
चुतिया,4
औलाद,4
चादर मोड़ने,1
लण्ड,1
घीन,1
शूट,1
फर्जी,2
दलालों,1
धिक्कार,1
बलात्कारियों,1
तलचट्टो,1
हवा-हवाई,1
गिरेबान,1
मज़ाक,1
बहनचोद,7
काले मूह,1
खुजली,3
चुतीया,2
बाप,1
औकात,7
गंडवे,1
लुंड,9
तेरी मां का भोसड़ा,1
साले सुअर की औलाद,1
पिछवाड़ा,2
साली,5
लन्ड,1
झाँट,1
बलात्कारीयो,1
हत्यारा,2
जूते,1
रण्डी,5
रंडी की औलाद,2
चरसी,2
भोसड़ी वाले,1
मूर्ख,1
डूब मर,1
कोठे,3
पैदाइस,1
बेरहमी,2
गांड़,4
गीदड़,2
सुअर औलाद,1
रंडि साली,1
भोंकते,2
कूत्ती,1
नकारा,1
गांड मारके,1
हरामजादों,1
लूटा-खसोटा,1
कुत्तेपन,1
रंडी रोना,4
भोंकी,1
बलात्कारी,2
जेल,1
दारु,1
गन्दगी,3
गेंडे,1
गद्दार,3
भोसड़ीकी,1
लौंडिया,1
गिरे हुये,1
जलील,1
छाती पीट,1
चूतियापा,1
चाट,1
चुतियो,2
लेटी हुई,1
विधवा,1
गांड फटती,1
हरामियों,2
लूंड़,1
पीटता,1
नालियों,1
भटकना,1
सुअर की औलाद,2
लौड़े,4
शर्म,1
सीवरेज,1
चुदेगी,1
साला भड़वा,1
चोद,1
लात मारकर,1
गधे का लंड,1
मादरचोद सुवरो,1
गधे,3
मार,1
गाँडू,1
चूतिये,6
जूते मारने,1
गट्टर,1
मरा,1
चोदी,1
तेरी बहन,1
चोदु,1
मूत्र,1
मादऱचौद,1
गोली,1
टट्टी,2
सड़क छाप,1
गाँड,2
गु,1
खीरोंच,1
गंद,1
मरवाने,1
भोसडीका,2
बकैती,1
हिजड़ो,1
गोली मारो,2
ग़लत,1
ख़रीदा हुआ,1
बे,1
कनडोम,1
मां के लोड़े,1
पिछवाड़ा चाटने वाला,1
चमार,2
कीचड़,1
दोगलापन,2
भोसडिका,1
लाचार,1
शौच,1
गन्दी सोच वाले,1
झूठा,1
बेमान,1
नफ़रत,1
बीमारी,1
पिसाब,1
गुलामी,1
गांड फाड़ेंगे,1
नौटंकी,3
भोसडीवाले,1
सीघ,1
लोमड़ी,1
खोपड़ी,1
विनाश,1
विपरीत,1
कुत्ते भैनचोद,1
भोसड़ा,4
माँ चुदाने,1
साले रंडी औलाद,1
पागल लिष्ट,1
काला,1
पीटते,1
मुँह काला,1
पागल,3
आतंकवादी,2
भोसडीके मा चोदेंगे,1
चादरमोद,1
भिखारी,1
अंधभक्त,2
चुरवे,1
मा चुदा,1
भड़वा गीरी,1
कटुवों,2
आक्थू,1
,7
चुड़िया तोड़,1
विधवा विलाप,1
पाखंडी,3
भडवो,1
पीदी,1
दुःख,1
दुम दबाकर,1
लौंडा,1
गाड,1
भोसडी के,1
गंदी,2
धंधा,1
हलाला,1
भौसडीके,1
टंच माल,1
भोसड़ीवाले,1
चुतिये,4
रंडवो,1
बाजारू,1
औलादो,1
