uniq sequences,number appears
дебил,10
пан-баран,1
еврейское тв,1
даун,2
быдло,7
хряк,1
телепузик,1
редкая скотина,1
ублюдку,1
табло,1
перевелись,1
хули,4
бляди,5
ептить,1
твари,19
мразота,1
ни хуя,1
тварей,7
могила,1
садисты,1
наказать,3
засирать,2
пидарасу,1
пасть,1
поганую,1
дерьме,1
уродов,9
сука,25
урод,10
рожи,1
нахуй,9
дебилы,13
ахуевают,1
курва,1
тупица,1
дурдом,1
гейтр,1
пидораз,1
ебливая,1
пидлры,1
продажные,1
пиздуйте,2
противно,2
долбоебы,5
пипец,1
гореть,2
аду,2
вандалы,1
ебануться,1
ублюдкам,1
свести в могилу,1
падлы,1
грязтю,1
хуйло,5
нехуй,5
пиздуй,1
пиздабол,7
тухлодырая,1
обдолбаным,1
нихуя,5
торчек,1
обоссаный,1
параши,1
жесть,1
долбоёб,4
хуя,2
гниды,1
пиндосовские,1
хуеть,1
нахурярю,1
защеканцы,1
тупое,3
пиздит,2
уроды,13
пиндосы,2
жопадающий,1
чмо,5
козлы,2
пиздят,1
идиот,7
насраааааааааааааааааааать,1
уебище,4
ссука,2
конченая,1
тварь,15
бухал,1
блядь,19
дрючит,1
дебилов,10
бл ать,1
хуярит,1
придурок,7
мразь,12
педераст,2
еблан,4
гнать,2
идиотов,5
тупой,5
пидарас,4
мутатень,1
накол,1
расстанешься,1
трахаться,1
пидор,13
догавкаетесь,1
сожрут,1
потрахами,1
соска унитазная,1
херню,7
падла,2
ебё,1
опу,1
гад,2
наоборот,1
хуилы,1
жопа,4
гавноеды,1
гнилой,1
хуев,4
под кайфом,1
трусливое,1
подлое,1
мерзкое,2
падлюга,1
пиздишь,3
животное,3
блядей,2
говна,8
выродок,1
шестерка,1
выебок,1
вколоться,1
пидарков,1
секте,1
вякай,1
чинуш,1
вешать за яйца,1
ебанутые,8
хуй,11
свинья,3
дебилизма,1
показухи,1
ублюдки,6
псина,1
ебучая,2
жопой,1
жирной,1
мудило,1
ебаное,1
дура,9
маньяками,1
сучья,1
швали,1
наебал,1
подлость,1
пидораш,1
пидоры,8
очко лизнцть,1
пидорас,4
конченый,2
позорит,2
дрянь,1
выродков,1
на кол садить,1
оп*здошен,1
дикарь,1
твой рот ебал,1
запасные евреи,1
кавказцы,1
тупая,5
ебанная,1
срань,1
тварям,4
крысам,1
суки,8
пиздует,2
ебашет,1
хуевый,1
мрази,4
ненависть,1
придурка,4
пидараст,1
въигнать,1
забашляли,1
родственнички,1
дружки,1
рвёшь,1
очко,2
пиздюлей,2
ебаная,2
менты,5
облом,1
шайка,1
заибло,1
суки продажные,1
дурку,1
нахрена,6
дибилом,1
сволочи,9
дебильные,1
дуры,3
провокатор,2
пшол вон нахрен,1
брехай,1
убогий,1
умники,1
конченые,3
насрать,4
ебнутые,1
поганый,2
обзываешь,1
казнить,2
