uniq sequences,number appears
забивати хуй,1
єбать,1
мудак,12
хитрожопість,1
нахуя,10
зайобувати,2
бляха,13
хуйня,42
блять,129
блятьідіть нахуй,1
лох,7
нахуй,58
блядськими,1
пиздити,4
хуйовий,6
руснявому гівну,1
патякати,1
пиздіти,3
мудаком,2
сука,48
дрочитимуть,1
бандіти,1
мусарку,1
нахара,1
школоло,1
відпиздили,1
хуйовій,1
обколються,1
марихуаною,1
хуйню,33
наркотики,1
зло,1
жостко підйобуєш,1
хуй,37
блядь,34
бухаєш,2
водяру,1
забиваєш,1
болт,1
пизду,2
піздєц,6
бля,42
депресивну,1
мудаків,6
їбанутішої,1
пиздяться,1
охуєнно,1
похуй,34
пизділа,1
бляді,2
блін,3
піздюка,1
бляяя,2
піздою,1
бляха-муха,1
грьобаний,1
пиздец,1
йобаний,3
йобаними,2
дохуя,6
єбав,1
знущаєтесь,1
мандєц,1
скотина,2
who the fuck,1
погано,1
мудаки,3
недойоб,1
ниття,1
йоб,1
схуялі,1
похую,1
гавно,2
жопа,10
пиздець,8
відразливо,1
курво,2
нахєр,3
хріново,1
долбайобом,1
заїбало,1
жопою,1
шкоди,1
бляя,1
кончену,1
,6
підйоб,1
гріх,1
чума,1
мамчиних нарікань,1
бляцький,1
уроди,2
жирним,1
обізвала,1
пизда,7
чорт,1
хуйні,8
ахуєнно,2
сикається,1
пиздиті,1
їбануті,2
охуєла,1
хуйї,1
жопи,1
заєбісь,2
тупу,1
наркоманську,1
фігню,1
сраку,4
нєхуй,2
курва,6
похерила,1
охуєнні,1
трахатися,3
хуярити,1
трахати,3
ніхуя,11
сука-блять,1
хуєта,2
паскудно,1
сучка,1
трахнути,6
гнилими хуями,1
хуйова,5
хренова,1
хуйове,1
мудакам,1
хуй відгризла,1
старий дід,1
пройобувати,1
трахнутись,1
хуями,1
сукаааа,3
мать його,1
повиривати патли шлюхам,1
ахуєнний,2
пізда,3
срать,2
залякані,1
збайдужілі,1
страхом,1
йди на хуй,1
бісить,3
тупа,2
безсердечна,1
сцять,1
трахає шлюх,1
баби,1
йобана,2
расистський,1
жопу,6
бєспрєдєл,1
хуйовую,1
мразенькі,1
пошлю на хуй,1
пиздили,1
псіхану,1
паєбать,1
жахлива хуйня,1
тупі пизди,1
цирк,1
шлюх,2
наркоту,1
ахуєнна,1
жахливо неграмотними,1
долбайоби,2
шлаку,1
їбаний,2
хуя,6
бухати,3
херея,1
їбля,1
вмерти,1
тупим,1
дебілом,1
мразота,1
убоге,1
бляддю,1
нехуй,1
мразь,3
мудло,2
мудакуватих,1
нахєра,1
просирати,1
долбайоб,2
хуйову,1
прокляття,1
здохнути,1
всрався,1
впиздити,1
хєрак,1
пездець,1
розхуячила,1
муділа,1
вирубити,1
кончену сучку,1
сукан,1
їбанутим,1
спизди,1
пиздять,4
пизди,2
залупа,1
спизданути,2
не вміють норм трахатись,1
єбу,1
блеееет,1
пиздить,3
в жопу,1
засунь,2
ссука,2
блядський,3
тупить,1
ненавиджу,2
їбуче,1
срати,1
наїбала,1
злочин,1
хуй на патичку,1
кончений,1
хуйло,5
всране,1
ужасающим,1
хуярить,1
ахуєть блять,1
бісять,2
тупим уїбаном,1
кончені дегенерати,1
п'янь,1
русня,1
підруснявлені манкурти,1
йопт,1
блядство,3
терпимою,1
вєбати,1
америкоси,1
нах,2
йобані,2
задовбали,1
а*уєнна,1
пєздєц,1
егоїстичне мудло,1
підор,1
гівно,1
їбати блядєй,1
хуям,4
заїбали,2
люмпенота,1
сраки,3
пиздуй,7
дрищів,1
падйобувать,1
сукк,1
пиздую,2
їбанути,1
бальной ублюдак,1
блювати,1
коників,1
срані,1
тупі,1
срань,4
товстіє,1
піздюків,1
гнила,1
гомофоб,1
говнотєрцєц,1
ахурмєл,1
не люблю,1
стьоб,1
здохну,1
єбучім,1
гівнотв,1
говнарем,1
збоченці,2
демон,1
змучити,1
тупоголових,1
не дожити,1
гандон,2
сраний,1
тварина,1
мать тваю,1
гавно собачие,1
уйоба,1
соромно,2
засуджує,1
нацейвокав,1
пиздила,1
хуї,1
хуйово,7
наркотіків,1
послати нахрін,1
агрити,1
йобані дегенерати,1
пішло в пизду,1
смертників,1
підривають,1
руснява сутність,1
не дам,1
срака,1
заєбали,1
ніхуйово,1
хуйові,1
пиздатий,1
хуїсосити,1
мудацтво,2
нахабство,1
пиздецька,1
діка,1
доїбатися,1
тупою пиздою,1
сракопад,1
бляяять,1
гоблінський,1
їбучі,2
сучки,2
наєбали,1
гавнюки,1
аферисти,1
звалити,1
пздц,3
сук,1
єбала,1
кхуям,1
курву,1
недотрахом,1
розділа,1
виїбала,1
піздос,2
пизджу,2
блядь хуя русні,1
відмазують,1
зашкварених,1
дибільне,1
дрочив,1
єблувати,1
блятт,1
хуйняшкою,1
бл,1
суки,4
пізданеш,1
порно,1
трахали,2
обосруть,1
засцяв,1
йобнутою,1
мразоту,1
пезда,1
їбала,1
дрочать,1
дрочить,1
жиртрєстокабанчєнко,1
суку,1
хуйпоймишо,1
залупи,1
помрете,1
пиздецьвірував,1
висером,1
виїбали,1
опломбували (анально),1
йдіть нахуй,1
уйобую нахуй,1
впізду,1
заїбала,1
іди в сраку,1
малолітня шлюха,1
єбанутий,1
мудоблядські суки,1
здохли,1
пішов нахуй,1
послати,1
повіситись,1
хуєсосити,1
забити хуй,1
нахуяряться,1
стріляють,1
трахався,1
пиздякали,1
даун,1
піздец,1
заїбав,1
бляяяяяять,1
відпиздити,1
кривавих сцяк,1
охуїв,1
членоноси,1
ахуєл,1
ахуєлі,1
ахуєла,1
