Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abusive,1.0,Absolutist,1.0,Accusatory,2.0,Insulting,465.0
Accusatory,181.0,Abusive,16.0,Admonishing,1.0,Hostile,373.0
"Accusatory,",2.0,Accusative,1.0,Adversarial,1.0,Confrontational,323.0
Accusing,1.0,Accusatory,50.0,Aggressive,11.0,Aggressive,264.0
Admonishing,4.0,Action-Oriented,1.0,Angry,9.0,Derogatory,259.0
Advisory,2.0,Activist,1.0,Angry/Concerned,1.0,Accusatory,233.0
Affirmative,1.0,Admonitory,1.0,Annoyed,4.0,Critical,219.0
Aggressive,187.0,Advisory,5.0,Antagonistic,3.0,Disparaging,135.0
"Aggressive,",1.0,Aggressive,66.0,Apprehensive,1.0,Contemptuous,130.0
Agitated,1.0,Alarmist,1.0,Assertive,1.0,Sarcastic,117.0
Alarmist,2.0,Analytical,5.0,Belittling,6.0,Dismissive,116.0
Apologetic,1.0,Argumentative,1.0,Blame,1.0,Disapproving,103.0
Assertive,3.0,Assertive,2.0,Blaming,2.0,Negative,61.0
Authoritative,2.0,Authoritative,1.0,Cautionary,1.0,Condescending,58.0
Belittling,8.0,Belittling,8.0,Censorious,1.0,Disdainful,56.0
Casual,1.0,Blameful,4.0,Challenging,1.0,Disrespectful,55.0
Cautionary,8.0,Blaming,5.0,Concerned,5.0,Offensive,53.0
Challenging,3.0,Blasphemous,1.0,Condemnatory,17.0,Derisive,49.0
Commanding,2.0,Blunt,1.0,Condemning,5.0,Mocking,43.0
Condascending,1.0,Candid,1.0,Condescending,2.0,Condemnatory,43.0
Condemnatory,15.0,Casual,18.0,Conflicted,1.0,Neutral,32.0
Condemning,6.0,Caustic,1.0,Confrontational,2.0,Threatening,28.0
Condescending,40.0,Cautionary,2.0,Constructive,1.0,Demeaning,24.0
Confrontational,19.0,Challenging,2.0,Contemplative,1.0,Frustrated,24.0
Congratulatory,1.0,Coercive,1.0,Contemptuous,105.0,Belittling,22.0
Constructive,1.0,Colloquial,3.0,Contentious,1.0,Skeptical,22.0
Contemptuous,18.0,Commanding,3.0,Controlling,1.0,Judgmental,21.0
Controversial,1.0,Comparative,1.0,Critical,52.0,Inquisitive,20.0
Critical,91.0,Comparatively,1.0,Criticism,1.0,Casual,19.0
Criticizing,2.0,Concerned,3.0,Criticizing,1.0,Questioning,18.0
Critique,2.0,Condemnatory,11.0,Curious,2.0,Provocative,18.0
Critiquing,1.0,Condemning,1.0,Cynical,4.0,Degrading,17.0
Curious,1.0,Condescending,16.0,Defensive,1.0,Abusive,17.0
Cynical,5.0,Confrontational,302.0,Demeaning,1.0,Violent,17.0
Defamatory,1.0,Constructive,1.0,Derision,1.0,Malicious,15.0
