Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abusive,1.0,Abusive,11.0,Admiration,1.0,Insulting,490.0
Accusative,1.0,Accusative,1.0,Aggressive,18.0,Hostile,363.0
Accusatory,79.0,Accusatory,16.0,Al-Owais,1.0,Aggressive,341.0
Admonishing,1.0,Aggressive,97.0,Anger,7.0,Derogatory,233.0
Advisory,1.0,Alarming,1.0,Angry,46.0,Confrontational,198.0
Aggressive,226.0,Angry,1.0,Animosity,1.0,Offensive,177.0
"Aggressive,",1.0,Annoyed,1.0,Annoyance,3.0,Contemptuous,118.0
Angry,30.0,Assertive,9.0,Annoyed,2.0,Disrespectful,109.0
Apologetic,2.0,Authoritative,3.0,Antagonistic,4.0,Dismissive,107.0
Appreciative,2.0,Blaming,6.0,Arrogant,1.0,Negative,104.0
Assertive,2.0,Blasphemous,2.0,Betrayed,1.0,Critical,101.0
Authoritative,1.0,Blunt,3.0,Bitter,1.0,Accusatory,95.0
Blaming,2.0,Body-shaming,1.0,Blaming,1.0,Neutral,88.0
Callous,1.0,Bullying,1.0,Boastful,1.0,Angry,77.0
Casual,20.0,Casual,35.0,Coercive,1.0,Disparaging,63.0
Celebratory,1.0,"Casual,",1.0,Competitive,1.0,Vulgar,63.0
Challenging,1.0,Casual/Colloquial,1.0,Concerned,1.0,Mocking,58.0
Colloquial,1.0,Challenging,1.0,Condemnatory,6.0,Sarcastic,58.0
Commanding,7.0,Clinical,1.0,Condemning,1.0,Casual,55.0
Comparative,2.0,Colloquial,14.0,Condescending,4.0,Condescending,43.0
Concerned,3.0,Commanding,2.0,Conflicted,2.0,Disdainful,42.0
Condemnatory,8.0,Comparative,1.0,Contempt,3.0,Informal,41.0
Condemning,4.0,Complaining,1.0,Contemptuous,109.0,Threatening,34.0
Condescending,25.0,Complimentary,1.0,Critical,24.0,Frustrated,32.0
Confrontational,11.0,Condemnatory,5.0,Criticism,1.0,Derisive,30.0
Contemptuous,6.0,Condemning,9.0,Curious,2.0,Disapproving,28.0
Contentious,1.0,Condescending,14.0,Cynical,2.0,Informative,26.0
Controlling,1.0,Confrontational,187.0,Deceptive,1.0,Demeaning,22.0
