Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,87.0,Abusive,4.0,Accusatory,1.0,Insulting,398.0
Affectionate,1.0,Accusatory,24.0,Admiration,1.0,Hostile,388.0
Aggressive,208.0,Acusatory,1.0,Aggravated,1.0,Derogatory,373.0
Alarmist,12.0,Aggressive,89.0,Aggressive,14.0,Aggressive,311.0
Analytical,1.0,Alarmist,1.0,Aggressively,1.0,Contemptuous,197.0
Angry,25.0,Assertive,9.0,Amused,1.0,Confrontational,176.0
Antagonistic,1.0,Authoritative,1.0,Anger,4.0,Dismissive,163.0
Ashamed,1.0,Belittling,1.0,Angry,45.0,Offensive,136.0
Assertive,3.0,Blaming,4.0,Animosity,1.0,Negative,120.0
Authoritarian,1.0,Blunt,1.0,Annoyed,1.0,Accusatory,112.0
Authoritative,2.0,Casual,27.0,Antagonistic,4.0,Critical,109.0
Belittling,1.0,Coercive,1.0,Assertive,1.0,Sarcastic,108.0
Callous,1.0,Colloquial,1.0,Betrayal,1.0,Disrespectful,97.0
Casual,7.0,Commanding,2.0,Blaming,1.0,Disparaging,91.0
Comparative,1.0,Comparative,1.0,Concerned,1.0,Mocking,78.0
Condemnatory,4.0,Comparatively,1.0,Condemnatory,5.0,Angry,70.0
Condemning,1.0,Condemnatory,4.0,Condescending,2.0,Derisive,59.0
"Condemning,",1.0,Condemning,3.0,Confusion,1.0,Disdainful,56.0
Condescending,15.0,Condescending,22.0,Contempt,2.0,Discriminatory,46.0
Confident,1.0,Confrontational,169.0,Contemptuous,161.0,Vulgar,40.0
Confrontational,7.0,Conspiratorial,5.0,Controversial,1.0,Condescending,39.0
Conspiratorial,3.0,Contemptuous,5.0,Critical,28.0,Informal,36.0
Contemptuous,31.0,Controversial,2.0,Criticism,1.0,Casual,34.0
Contradictory,1.0,Critical,39.0,Curious,1.0,Hateful,29.0
Critical,42.0,Criticizing,2.0,Cynical,7.0,Inflammatory,23.0
Criticizing,1.0,Crude,2.0,Defensive,2.0,Xenophobic,21.0
Curious,2.0,Cruel,1.0,Defiant,4.0,derogatory,19.0
Cynical,3.0,Cynical,4.0,Dehumanizing,2.0,Violent,18.0
Defensive,5.0,Defamatory,2.0,Derisive,7.0,Dehumanizing,17.0
Defiant,4.0,Degrading,1.0,Derogatory,18.0,Frustrated,17.0
Dehumanizing,3.0,Dehumanizing,12.0,Disappointed,2.0,Prejudiced,16.0
Demanding,3.0,Demanding,3.0,Disapproval,1.0,Neutral,16.0
Demeaning,1.0,Demeaning,12.0,Disapproving,9.0,Provocative,16.0
Derisive,37.0,Derisive,15.0,Discontent,2.0,Threatening,14.0
Derogatory,109.0,Derogative,1.0,Discontented,1.0,Cynical,14.0
Descriptive,1.0,Derogatory,246.0,Discriminatory,4.0,Demeaning,13.0
Disappointed,1.0,Direct,6.0,Disdain,4.0,Assertive,13.0
Disapproving,2.0,Discriminatory,40.0,Disdainful,44.0,Condemnatory,13.0
Discriminatory,2.0,Disdainful,4.0,Disgust,5.0,Alarmist,13.0
Disdainful,8.0,Disgusted,1.0,Dismissive,5.0,Racist,12.0
Disgust,6.0,Dismissive,46.0,Disparaging,15.0,Disapproving,11.0
Dismissive,112.0,Disparaging,52.0,Disregard,1.0,Disgust,11.0
"Dismissive,",2.0,Disrespectful,48.0,Disrespectful,25.0,Formal,11.0
Disparaging,24.0,Encouraging,1.0,Distrustful,4.0,Harsh,11.0
Disrespectful,24.0,Exclusionary,4.0,Dortmund,1.0,Incendiary,10.0
Excited,1.0,Exclusive,1.0,Doubtful,1.0,Resentful,10.0
Exclusionary,1.0,Fearmongering,1.0,Empowered,1.0,Insensitive,9.0
Factual,1.0,Formal,11.0,Exclusionary,1.0,Frustration,9.0
Fearmongering,1.0,Generalizing,2.0,Extremely,3.0,Judgmental,9.0
Frustrated,13.0,Harsh,10.0,Fear-mongering,1.0,Defiant,8.0
Hateful,3.0,Hate,2.0,Fearful,1.0,Conspiratorial,8.0
Hostile,43.0,Hateful,7.0,Friendly,1.0,Skeptical,7.0
Humorous,1.0,Highly,1.0,Frustrated,4.0,Defensive,7.0
Inappropriate,1.0,Hostile,26.0,Frustration,9.0,Malicious,7.0
Incendiary,1.0,Hyperbolic,1.0,Gloating,1.0,Informative,7.0
