Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abrasive,1.0,Abrasive,1.0,Accusatory,1.0,Aggressive,376.0
Accusatory,36.0,Abusive,15.0,Aggressive,9.0,Hostile,270.0
Admiring,1.0,Accusatory,13.0,Agitated,3.0,Vulgar,268.0
Admonishing,1.0,Aggressive,72.0,Agreement,1.0,Insulting,262.0
Advisory,1.0,Assertive,3.0,Amazed,1.0,Confrontational,168.0
Aggressive,295.0,Authoritative,1.0,Ambiguous,1.0,Informal,165.0
Alarmed,3.0,Belittling,1.0,Anger,4.0,Derogatory,163.0
Alarmist,1.0,Blameful,1.0,Angry,54.0,Profane,131.0
Alerting,1.0,Blaming,2.0,AngrySentence,1.0,Frustrated,117.0
Angry,29.0,Blunt,3.0,Annoyance,4.0,Negative,114.0
Apathetic,1.0,Boastful,1.0,Annoyed,11.0,Contemptuous,113.0
Apologetic,1.0,Candid,1.0,Anticipatory,1.0,Casual,111.0
Assertive,6.0,Casual,47.0,Anxious,3.0,Dismissive,111.0
Astonished,1.0,Childish,1.0,Apathetic,3.0,Offensive,98.0
Blunt,2.0,Coarse,2.0,Apologetic,1.0,Critical,84.0
Casual,62.0,Colloquial,13.0,Appreciative,1.0,Angry,83.0
Casual/Informal,1.0,Commanding,7.0,Assertive,1.0,Disrespectful,75.0
Casual/Sarcastic,1.0,Concerned,1.0,Authoritative,1.0,Disparaging,60.0
Commanding,6.0,Condemnatory,1.0,Belittling,1.0,Accusatory,50.0
Condemnatory,1.0,Condemning,3.0,Blame,1.0,Sarcastic,45.0
Condemning,5.0,Condescending,9.0,Casual,2.0,Disdainful,37.0
Condescending,15.0,Confrontational,159.0,Challenging,2.0,Neutral,33.0
Confrontational,7.0,"Confrontational,",1.0,Commanding,1.0,Frustration,32.0
Confused,2.0,Contemptuous,3.0,Concerned,2.0,Condescending,26.0
Confused/Inquisitive,1.0,Controlling,1.0,Condemnatory,1.0,Threatening,25.0
Conspiratorial,1.0,Controversial,1.0,Condemning,1.0,Defiant,24.0
Contemptuous,11.0,Critical,21.0,Condescending,2.0,Defensive,23.0
Critical,28.0,Criticizing,3.0,Confrontational,2.0,Disapproving,22.0
Criticizing,1.0,Crude,11.0,Confused,2.0,Derisive,21.0
Cynical,5.0,Cursing,3.0,Confusion,2.0,Positive,17.0
Defeatist,1.0,Cynical,1.0,Contempt,1.0,Mocking,16.0
Defensive,15.0,Deceptive,1.0,Contemptuous,99.0,Judgmental,15.0
Defiant,14.0,Defamatory,2.0,Contentious,1.0,Rude,15.0
Dehumanizing,1.0,Defiant,1.0,Contradictory,1.0,Abusive,15.0
Demanding,4.0,Degrading,4.0,Critical,35.0,Cynical,14.0
Derisive,8.0,Dehumanizing,3.0,Curiosity,1.0,Commanding,14.0
Derogatory,53.0,Demanding,1.0,Curious,1.0,Colloquial,13.0
Descriptive,1.0,Demeaning,10.0,Cynical,8.0,Resentful,13.0
Direct,1.0,Derisive,9.0,Dangerous,1.0,Hateful,12.0
Disapproving,4.0,Derogatory,97.0,Defensive,8.0,Violent,12.0
Disbelief,2.0,Destructive,1.0,Defiant,9.0,Explicit,11.0
Discriminatory,1.0,Direct,2.0,Defiant/Provocative,1.0,Crude,11.0
Disdainful,4.0,Disdainful,1.0,Demanding,3.0,Annoyed,11.0
Dismissive,64.0,Dismissive,41.0,Denial,1.0,Demeaning,10.0
Disparaging,15.0,Disparaging,29.0,Denigrating,1.0,Malicious,10.0
Disrespectful,21.0,Disrespectful,29.0,Derisive,4.0,Assertive,10.0
Emotional,1.0,Expletive,2.0,Derogatory,13.0,Informative,9.0
Emphatic,1.0,Explicit,9.0,Determined,3.0,Indifferent,9.0
Encouraging,1.0,Explicitly,2.0,Direct,1.0,Condemning,9.0
Exasperated,2.0,Firm,1.0,Disappointment,1.0,Harsh,9.0
Excited,4.0,Frustrated,1.0,Disapproval,3.0,Irritated,9.0
