Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,31.0,Abusive,1.0,Admiration,2.0,Insulting,313.0
Admiring,1.0,Accusatory,9.0,Admirational,1.0,Aggressive,230.0
Affectionate,1.0,Admirative,1.0,Admiring,5.0,Vulgar,202.0
Aggressive,160.0,Admiring,1.0,Adversarial,1.0,Hostile,166.0
Amused,1.0,Aggressive,55.0,Affection,1.0,Negative,165.0
Analytical,1.0,Alarmist,1.0,Affectionate,3.0,Frustrated,151.0
Angry,11.0,Analytical,1.0,Aggressive,15.0,Informal,143.0
Annoyed,1.0,Apologetic,1.0,Agitated,2.0,Casual,139.0
Apologetic,2.0,Assertive,7.0,Amused,1.0,Derogatory,135.0
Appreciative,1.0,Blameful,1.0,Anger,1.0,Confrontational,130.0
Assertive,4.0,Blaming,2.0,Angry,46.0,Neutral,110.0
Authoritative,1.0,Blunt,1.0,Annoyance,13.0,Offensive,106.0
Belittling,1.0,Bold,1.0,Annoyed,31.0,Dismissive,96.0
Blaming,1.0,Casual,109.0,Apathetic,1.0,Critical,88.0
Boastful,1.0,Coarse,2.0,Apology,1.0,Disrespectful,82.0
Casual,29.0,Colloquial,67.0,Appreciative,2.0,Disparaging,70.0
Comparative,3.0,Combative,1.0,Approval,1.0,Sarcastic,69.0
Complaining,1.0,Complimentary,1.0,Arrogant,1.0,Colloquial,67.0
Concerned,1.0,Condemnatory,2.0,Awkward,1.0,Contemptuous,66.0
Condemning,2.0,Condemning,1.0,Belittling,1.0,Mocking,65.0
Condescending,10.0,Condescending,9.0,Betrayed,1.0,Angry,57.0
Confrontational,22.0,Confrontational,107.0,Blame,1.0,Disdainful,40.0
Confused,3.0,Contentious,1.0,Blaming,2.0,Accusatory,40.0
Contemptuous,3.0,Contradictory,1.0,Casual,1.0,Positive,39.0
Contrasting,1.0,Controversial,2.0,Cautionary,1.0,Annoyed,32.0
Conversational,1.0,Critical,29.0,Cautious,2.0,Formal,26.0
Cordial,1.0,Crude,12.0,Chiding,1.0,Derisive,21.0
Critical,31.0,Cynical,1.0,Comparative,1.0,Frustration,20.0
Criticism,1.0,Defamatory,2.0,Complimentary,1.0,Condescending,19.0
Criticizing,3.0,Defeatist,1.0,Concern,1.0,Informative,19.0
Crude,3.0,Defensive,1.0,Condemnatory,3.0,Profane,18.0
Curious,2.0,Demanding,1.0,Condemning,2.0,Defensive,16.0
Cynical,2.0,Demeaning,2.0,Conflicted,2.0,Crude,15.0
Defamatory,1.0,Derisive,4.0,Confrontational,1.0,Disapproving,14.0
Defensive,10.0,Derogatory,67.0,Confused,2.0,Provocative,14.0
