Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abrasive,1.0,Abusive,83.0,Aggressive,46.0,Insulting,578.0
Abusive,18.0,Accusatory,12.0,Amused,1.0,Aggressive,389.0
Accusatory,92.0,Advisory,1.0,Anger,4.0,Derogatory,349.0
Admonishing,4.0,Aggressive,59.0,Angry,23.0,Hostile,289.0
Aggravated,1.0,Assertive,3.0,Animosity,1.0,Offensive,236.0
Aggressive,284.0,Authoritative,3.0,Annoyance,2.0,Contemptuous,232.0
Angry,7.0,Blaming,1.0,Blameful,1.0,Disrespectful,170.0
Assertive,2.0,Blunt,1.0,Condemnatory,2.0,Vulgar,153.0
Casual,14.0,Casual,22.0,Condemning,2.0,Confrontational,150.0
Casual/Sarcastic,1.0,Challenging,1.0,Contempt,1.0,Accusatory,104.0
Cautionary,1.0,Coarse,1.0,Contemptuous,204.0,Abusive,101.0
Commanding,5.0,Colloquial,6.0,Contentious,1.0,Negative,84.0
Comparative,1.0,Commanding,1.0,Controlling,1.0,Dismissive,63.0
Condemnatory,2.0,Condemning,2.0,Critical,16.0,Disparaging,59.0
Condescending,8.0,Condescending,4.0,Curious,2.0,Sarcastic,46.0
Confrontational,11.0,Confrontational,139.0,Cynical,3.0,Neutral,45.0
Contemptuous,23.0,Contemptuous,5.0,Dangerous,1.0,Critical,43.0
Critical,14.0,Controversial,1.0,Defamatory,1.0,Disdainful,43.0
Criticizing,1.0,Critical,13.0,Defiant,2.0,Casual,36.0
Crude,1.0,Criticizing,1.0,Degrading,1.0,Threatening,34.0
Curious,2.0,Crude,7.0,Dehumanizing,1.0,Mocking,32.0
Cynical,3.0,Curious,1.0,Demanding,1.0,Angry,30.0
Defamatory,1.0,Defamatory,3.0,Derisive,2.0,Informal,25.0
Defensive,3.0,Degrading,12.0,Derogatory,50.0,Disapproving,23.0
Derisive,6.0,Demanding,2.0,Disappointment,1.0,Violent,22.0
Derogatory,123.0,Demeaning,20.0,Disapproval,3.0,Demeaning,20.0
Determined,1.0,Derisive,2.0,Disapproving,19.0,Degrading,13.0
Directive,1.0,Derogatory,176.0,Discontent,3.0,Provocative,13.0
Disappointed,1.0,Descriptive,1.0,Disdain,1.0,Malicious,12.0
Disapproval,1.0,Deterministic,1.0,Disdainful,38.0,Condescending,12.0
Disapproving,3.0,Direct,3.0,Disgust,3.0,Frustrated,11.0
Disdainful,5.0,Disapproving,1.0,Dismissive,1.0,Derisive,10.0
Disgust,2.0,Discriminatory,2.0,Disparaging,7.0,derogatory,9.0
Dismissive,56.0,Dismissive,6.0,Disrespectful,80.0,Profane,9.0
Disparaging,25.0,Disparaging,27.0,Distrustful,2.0,Formal,9.0
Disrespectful,49.0,Disrespectful,41.0,Doubtful,2.0,Questioning,9.0
Dominating,1.0,Domineering,1.0,Friendly,1.0,Crude,8.0
Excited,1.0,Dramatic,1.0,Frustrated,5.0,Insensitive,8.0
Fatalistic,1.0,Educational,1.0,Frustration,5.0,Informative,8.0
Forceful,2.0,Explicit,2.0,Hateful,6.0,Hateful,7.0
Frustrated,5.0,Explicitly,1.0,Hostile,270.0,Colloquial,6.0
Graphic,1.0,Extreme,1.0,Hostility,1.0,Commanding,6.0
Hateful,1.0,Formal,9.0,Hurtful,1.0,Cynical,6.0
Hostile,16.0,Frustrated,1.0,Impatient,1.0,Judgmental,6.0
