Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,57.0,Abusive,4.0,Accusatory,1.0,Insulting,532.0
Admonitory,1.0,Accusatory,9.0,Aggressive,16.0,Aggressive,404.0
Aggressive,305.0,Aggressive,83.0,Aggressively,1.0,Hostile,321.0
Agitated,1.0,Arrogant,1.0,Aggressiveness,1.0,Derogatory,272.0
Alarmist,2.0,Assertive,9.0,Agitated,1.0,Confrontational,252.0
Angry,23.0,Authoritative,2.0,Alarmed,1.0,Contemptuous,216.0
Annoyed,1.0,Belittling,2.0,Anger,4.0,Offensive,201.0
Assertive,2.0,Blaming,3.0,Angry,45.0,Vulgar,192.0
Authoritative,2.0,Blunt,1.0,Annoyance,1.0,Dismissive,173.0
Bitter,1.0,Casual,44.0,Annoyed,9.0,Negative,81.0
Blaming,2.0,"Casual,",1.0,Apathetic,1.0,Disrespectful,81.0
Casual,10.0,Casually,1.0,Approving,1.0,Angry,68.0
Casual/Sarcastic,1.0,Cautious,1.0,Blaming,1.0,Accusatory,67.0
Commanding,5.0,Coarse,1.0,Boastfulness,1.0,Disdainful,62.0
Condemnatory,3.0,Colloquial,17.0,Challenging,1.0,Sarcastic,59.0
Condemning,1.0,Commanding,3.0,Compassion,1.0,Casual,54.0
Condescending,12.0,Condemnatory,2.0,Compassionate,1.0,Informal,53.0
Confrontational,15.0,Condemning,1.0,Complimentary,1.0,Disparaging,51.0
Confused,1.0,Condescending,10.0,Concerned,1.0,Frustrated,49.0
Contemptuous,35.0,Confrontational,236.0,Condemnatory,1.0,Critical,45.0
Critical,14.0,Contemptuous,5.0,Condemning,3.0,Neutral,32.0
Crude,1.0,Criminal,1.0,Condoning,1.0,Mocking,30.0
Cynical,2.0,Critical,9.0,Confrontational,1.0,Threatening,29.0
Defeatist,2.0,Criticizing,1.0,Confusion,1.0,Derisive,28.0
Defensive,4.0,Crude,11.0,Contempt,4.0,Violent,25.0
Defiant,2.0,Defamatory,2.0,Contemptuous,176.0,Condescending,22.0
Dehumanizing,2.0,Defensive,1.0,Critical,22.0,Demeaning,21.0
Demanding,1.0,Degrading,5.0,Curious,1.0,Malicious,18.0
Demeaning,2.0,Dehumanizing,3.0,Cynical,2.0,Colloquial,17.0
Derisive,9.0,Demanding,1.0,Defamatory,1.0,Hateful,16.0
Derogatory,76.0,Demeaning,19.0,Defensive,2.0,Resentful,16.0
Despairing,1.0,Derisive,7.0,Defiant,2.0,Rude,12.0
Disappointed,2.0,Derogatory,157.0,Degrading,1.0,Crude,12.0
Disapproving,4.0,Direct,3.0,Derisive,12.0,Disapproving,11.0
Disbelief,1.0,Discriminatory,2.0,Derogatory,39.0,Assertive,11.0
Disdainful,9.0,Disdainful,2.0,Disappointed,2.0,Annoyed,10.0
Disgust,2.0,Dismissive,17.0,Disapproval,4.0,Vindictive,9.0
Dismissive,154.0,Disparaging,26.0,Disapproving,7.0,Profane,9.0
"Dismissive,",1.0,Disrespectful,28.0,Discriminatory,1.0,Judgmental,8.0
Disparaging,14.0,Divisive,1.0,Disdain,2.0,Informative,8.0
Disrespectful,23.0,Emotional,5.0,Disdainful,51.0,Commanding,8.0
Exasperated,1.0,Ethnic,1.0,Disgust,5.0,Irritated,7.0
Exclusionary,1.0,Expletive,1.0,Disgusted,1.0,Defensive,7.0
Frustrated,35.0,Explicit,1.0,Dismissive,2.0,Disgust,7.0
Harsh,1.0,Extremely,1.0,Disparaging,11.0,Blaming,6.0
Hostile,16.0,Forceful,1.0,Displeased,2.0,Condemnatory,6.0
Humorous,1.0,Formal,5.0,Disrespectful,30.0,Harsh,6.0
Imperative,1.0,Harm,1.0,Dissatisfied,1.0,derogatory,6.0
Incensed,1.0,Harsh,5.0,Distrustful,3.0,Frustration,6.0
Indignant,2.0,Hateful,2.0,Doubtful,1.0,Degrading,6.0
Informative,2.0,Highly,3.0,Envious,1.0,Emotional,5.0
Inquisitive,3.0,Homophobic,4.0,Exclusionary,1.0,Provocative,5.0
Insulting,77.0,Hostile,8.0,Exclusive,1.0,Formal,5.0
Irritated,2.0,Impolite,1.0,Frustrated,14.0,Dehumanizing,5.0
Jealous,1.0,Inappropriate,1.0,Frustration,6.0,Condemning,5.0
Judgmental,4.0,Incendiary,1.0,Frustration/Annoyance,1.0,Slightly,5.0
Malevolent,1.0,Inflammatory,1.0,Hateful,14.0,Abusive,4.0
Malicious,3.0,Informal,53.0,Hatred,1.0,Indifferent,4.0
Mocking,21.0,"Informal,",1.0,Hopeless,1.0,Homophobic,4.0
