Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abrasive,1.0,Abusive,4.0,Aggravated,2.0,Vulgar,432.0
Abusive,1.0,Acknowledging,1.0,Aggressive,15.0,Insulting,334.0
Accusatory,21.0,Aggressive,41.0,Aggrieved,1.0,Aggressive,323.0
Advisory,3.0,Agitated,1.0,Agitated,4.0,Confrontational,238.0
Aggressive,267.0,Appreciative,1.0,Amused,3.0,Hostile,223.0
Agitated,3.0,Assertive,1.0,Anger,1.0,Frustrated,186.0
Amused,1.0,Blaming,1.0,Angry,62.0,Offensive,156.0
Angry,20.0,Blasphemous,1.0,Annoyance,2.0,Informal,152.0
Annoyed,1.0,Blunt,2.0,Annoyed,44.0,Casual,139.0
Apologetic,2.0,Casual,81.0,Antagonistic,1.0,Negative,124.0
Arrogant,1.0,"Casual,",1.0,Anxious,2.0,Dismissive,118.0
Assertive,1.0,Cautionary,1.0,Apathetic,4.0,Derogatory,97.0
Casual,58.0,Coarse,1.0,Appreciation,1.0,Disrespectful,90.0
Casual/Informal,1.0,Coercive,1.0,Appreciative,1.0,Angry,82.0
Casual/Slang,1.0,Colloquial,24.0,Arrogant,2.0,Contemptuous,72.0
Cautionary,1.0,Confrontational,228.0,Assertive,1.0,Sarcastic,47.0
Combative,1.0,Contemptuous,4.0,Betrayed,1.0,Neutral,46.0
Commanding,4.0,Contradictory,1.0,Bitterness,1.0,Annoyed,45.0
Complaining,2.0,Critical,6.0,Blame,1.0,Profane,43.0
Condescending,4.0,Crude,21.0,Cautionary,2.0,Frustration,41.0
Confrontational,10.0,Cursing,1.0,Colloquial,1.0,Disdainful,39.0
Confused,1.0,Demeaning,8.0,Comparative,1.0,Mocking,28.0
Contemptuous,7.0,Derisive,1.0,Concerned,1.0,Colloquial,25.0
Critical,14.0,Derogatory,37.0,Condescending,2.0,Disparaging,25.0
Crude,3.0,Direct,4.0,Confident,1.0,Critical,24.0
Curious,1.0,Disapproving,1.0,Confused,2.0,Crude,24.0
Cynical,5.0,Discriminatory,1.0,Contemptuous,61.0,Accusatory,21.0
Defamatory,1.0,Dismissive,20.0,Critical,4.0,Indifferent,18.0
Defeatist,1.0,Disparaging,7.0,Curious,4.0,Resentful,17.0
Defensive,8.0,Disrespectful,23.0,Cynical,3.0,Defensive,17.0
Defiant,12.0,Emotional,6.0,Defeated,1.0,Defiant,16.0
Derisive,5.0,Emotionally,1.0,Defensive,9.0,Violent,14.0
Derogatory,37.0,Exaggeration,1.0,Defiant,4.0,Self-deprecating,12.0
Desirous,1.0,Excited,1.0,Deflecting,1.0,Threatening,12.0
Despairing,3.0,Expletive,1.0,Demanding,2.0,Derisive,12.0
Desperate,3.0,Explicit,7.0,Derisive,6.0,Discontent,12.0
Disappointed,1.0,Explicitly,4.0,Derogatory,23.0,Irritated,11.0
Disapproval,1.0,Expressive,1.0,Despair,2.0,Rude,11.0
Disapproving,2.0,Extremely,1.0,Despairing,1.0,with,11.0
Disbelief,1.0,Formal,6.0,Desperate,4.0,Disapproving,10.0
Disdainful,6.0,Grating,1.0,Desperation,2.0,Playful,9.0
Disgusted,1.0,Hostile,4.0,Despondent,1.0,Inappropriate,9.0
Dismissive,95.0,Impatient,1.0,Detached,1.0,Cynical,8.0
Disparaging,8.0,Inappropriate,7.0,Disappointed,4.0,Agitated,8.0
Displeased,1.0,Inciteful,1.0,Disappointment,1.0,Provocative,8.0
Disregard,1.0,Indifferent,1.0,Disapproval,4.0,Positive,8.0
Disregardful,1.0,Informal,142.0,Disapproving,7.0,Demeaning,8.0
Disrespectful,29.0,Informative,2.0,Disbelief,1.0,offensive,7.0
Distressed,2.0,Insensitive,3.0,Discontent,12.0,Desperate,7.0
