Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,54.0,Abusive,5.0,Adversarial,1.0,Derogatory,283.0
Advisory,3.0,Accusatory,9.0,Aggressive,4.0,Insulting,251.0
Aggressive,85.0,Advising,1.0,Amused,3.0,Dismissive,228.0
Ambiguous,1.0,Aggressive,38.0,Anger,1.0,Hostile,212.0
Amused,2.0,Alarmist,1.0,Angry,6.0,Confrontational,170.0
Angry,2.0,Argumentative,1.0,Annoyance,1.0,Contemptuous,168.0
Annoyed,1.0,Assertive,6.0,Annoyed,10.0,Neutral,165.0
Anxious,1.0,Attack,1.0,Antagonistic,5.0,Casual,141.0
Apologetic,1.0,Authoritative,1.0,Apprehensive,1.0,Critical,134.0
Appreciative,2.0,Belittling,2.0,Arrogant,2.0,Aggressive,127.0
Assertive,8.0,Bias,1.0,Assertive,1.0,Disparaging,94.0
Blame,1.0,Blaming,9.0,Belittling,1.0,Offensive,93.0
Blaming,3.0,Blunt,1.0,Bias,1.0,Sarcastic,92.0
Casual,52.0,Caring,1.0,Biased,1.0,Negative,87.0
Cautious,1.0,Casual,89.0,Blameful,1.0,Mocking,68.0
Challenging,1.0,Casually,1.0,Blaming,3.0,Accusatory,63.0
Combative,1.0,Challenging,1.0,Caring,1.0,Informal,61.0
Commanding,1.0,Colloquial,11.0,Cautionary,1.0,Informative,58.0
Comparative,9.0,Commanding,1.0,Cautious,1.0,Disdainful,58.0
Compassionate,1.0,Common,1.0,Concerned,2.0,Discriminatory,52.0
Complimentary,1.0,Comparative,3.0,Condemnatory,1.0,Disrespectful,50.0
Concerned,2.0,Competitive,1.0,Condemning,5.0,Judgmental,43.0
Condemnatory,3.0,Complex,1.0,Condenscending,1.0,Derisive,41.0
Condemning,4.0,Concerned,1.0,Condescending,1.0,Prejudiced,33.0
Condescending,16.0,Condemnatory,1.0,Conflicted,3.0,Condescending,32.0
Conflicted,2.0,Condemning,6.0,Confrontational,1.0,Disapproving,27.0
Confrontational,7.0,Condescending,15.0,Confused,2.0,Racist,27.0
Confused,4.0,Confrontational,162.0,Confusion,1.0,Insensitive,23.0
Contemptuous,17.0,Conspiratorial,1.0,Contempt,1.0,Violent,22.0
Controversial,3.0,Contemptuous,9.0,Contemptuous,142.0,Disgust,21.0
Critical,52.0,Controversial,1.0,Contentious,1.0,Frustrated,20.0
Criticizing,3.0,Conversational,4.0,Contradictory,1.0,Demeaning,20.0
Curious,2.0,Critical,42.0,Controversial,1.0,Questioning,19.0
Cynical,3.0,Criticism,1.0,Critical,40.0,Defensive,18.0
Defensive,7.0,Crude,1.0,Criticism,1.0,Hateful,17.0
Degrading,1.0,Cynical,7.0,Cruel,1.0,Blaming,15.0
Dehumanizing,1.0,Debating,1.0,Curiosity,1.0,Formal,15.0
Demeaning,2.0,Defamatory,2.0,Curious,11.0,Condemning,15.0
Denigrating,2.0,Defensive,1.0,Cynical,4.0,Assertive,15.0
Derisive,12.0,Degrading,7.0,Defensive,10.0,Cynical,14.0
Derogatory,90.0,Dehumanizing,5.0,Degrading,1.0,Provocative,14.0
Direct,1.0,Demeaning,18.0,Dehumanizing,1.0,Positive,13.0
Directive,1.0,Derisive,20.0,Derisive,9.0,Curious,13.0
Disapproving,4.0,Derogatory,166.0,Derogatory,27.0,Skeptical,12.0
Discriminatory,10.0,Descriptive,5.0,Determined,2.0,Comparative,12.0
Disdainful,11.0,Detailed,1.0,Disagreement,1.0,Colloquial,11.0
Disgust,10.0,Direct,6.0,Disapproval,4.0,Vulgar,11.0
Disgusted,8.0,Disapproving,2.0,Disapproving,21.0,Annoyed,11.0
Dismissive,166.0,Discriminatory,31.0,Discontent,2.0,Playful,11.0
Disparaging,36.0,Disdainful,1.0,Discriminatory,11.0,Disgusted,10.0
Disrespectful,12.0,Disgusted,1.0,Disdainful,46.0,Malicious,10.0
Encouraging,1.0,Dismissive,55.0,Disgust,11.0,Degrading,9.0
Excited,1.0,Disparaging,41.0,Disgusted,1.0,Indifferent,8.0
Exclusionary,2.0,Disrespectful,17.0,Dismissive,7.0,Threatening,8.0
Factual,1.0,Distrustful,1.0,Disparaging,17.0,Sexist,8.0
Fearful,4.0,Divisive,2.0,Displeasure,1.0,Angry,8.0
Forgiving,1.0,Elements,1.0,Disrespectful,21.0,with,8.0
Frustrated,18.0,Eloquent,1.0,Dissatisfaction,1.0,Inquisitive,8.0
Frustration,1.0,Emotional,2.0,Dissatisfied,1.0,derogatory,7.0
Harsh,1.0,Evasive,1.0,Distressed,1.0,Slightly,7.0
Hateful,2.0,Exclusionary,1.0,Distrustful,3.0,Patronizing,7.0
Hostile,16.0,Exclusive,1.0,Dominating,1.0,Pejorative,7.0
Indifferent,1.0,Exhortative,1.0,Doubtful,1.0,Direct,7.0
Informative,10.0,Explanation,1.0,Elitist,1.0,Frustration,7.0
Inquiry,1.0,Expressive,1.0,Empathetic,1.0,Dehumanizing,7.0
Inquisitive,6.0,Factual,1.0,Empowered,1.0,Exclusionary,7.0
Insensitive,2.0,Feminist-critical,1.0,Encouraging,2.0,Harsh,6.0
Insinuating,1.0,Firm,1.0,Exclusionary,4.0,Stereotyping,6.0
Instructive,1.0,Formal,15.0,Fear-Mongering,1.0,Confused,6.0
Insulting,11.0,Frustrated,1.0,Fearful,1.0,Reflective,6.0
Judgemental,1.0,Gender,1.0,Forgiving,1.0,Controversial,5.0
Judgmental,16.0,Gender-specific,1.0,Friendly,3.0,Objective,5.0
Malicious,1.0,Generalizing,5.0,Frustrated,1.0,Condemnatory,5.0
Mixed,1.0,Harsh,4.0,Frustration,6.0,Concerned,5.0
Mocking,41.0,Hateful,2.0,Fun,1.0,Observational,5.0
Nationalistic,1.0,Highly,1.0,Gender,2.0,Descriptive,5.0
Negative,6.0,Hostile,8.0,Grateful,1.0,Nationalistic,5.0
Neutral,59.0,Humorous,1.0,Harsh,1.0,Generalizing,5.0
Nonchalant,1.0,Ignorant,1.0,Hate,1.0,Amused,5.0
Nostalgic,1.0,Implicative,2.0,Hateful,13.0,Fearful,5.0
Observational,2.0,Implicitly,1.0,Helpful,1.0,of,5.0
Offensive,9.0,Implying,1.0,Homophobic,2.0,Antagonistic,5.0
Passive-Aggressive,1.0,Impolite,1.0,Hopeful,1.0,Abusive,5.0
Patronizing,1.0,Inappropriate,3.0,Hopeless,1.0,Conflicted,5.0
