Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,57.0,Abusive,9.0,Admonishing,1.0,Insulting,170.0
Accusing,1.0,Accusative,1.0,Aggressive,4.0,Hostile,110.0
Admonishing,2.0,Accusatory,25.0,Angry,3.0,Derogatory,98.0
Advisory,2.0,Action-Oriented,1.0,Annoyed,2.0,Aggressive,96.0
Affirmative,1.0,Admonitory,1.0,Antagonistic,2.0,Critical,89.0
Aggressive,69.0,Advisory,3.0,Apprehensive,1.0,Accusatory,82.0
Alarmist,1.0,Aggressive,23.0,Belittling,5.0,Confrontational,79.0
Assertive,3.0,Alarmist,1.0,Blame,1.0,Disparaging,62.0
Authoritative,1.0,Analytical,1.0,Concerned,2.0,Contemptuous,55.0
Belittling,6.0,Assertive,1.0,Condemnatory,5.0,Disapproving,47.0
Casual,1.0,Authoritative,1.0,Condemning,3.0,Dismissive,45.0
Cautionary,4.0,Belittling,3.0,Condescending,2.0,Sarcastic,45.0
Challenging,2.0,Blameful,2.0,Confrontational,2.0,Negative,30.0
Commanding,2.0,Blaming,1.0,Constructive,1.0,Offensive,23.0
Condascending,1.0,Candid,1.0,Contemptuous,48.0,Disrespectful,23.0
Condemnatory,4.0,Casual,14.0,Controlling,1.0,Disdainful,22.0
Condemning,2.0,Cautionary,1.0,Critical,14.0,Neutral,20.0
Condescending,10.0,Challenging,2.0,Criticism,1.0,Derisive,19.0
Confrontational,5.0,Coercive,1.0,Curious,1.0,Condescending,16.0
Congratulatory,1.0,Colloquial,2.0,Cynical,2.0,Mocking,16.0
Constructive,1.0,Commanding,2.0,Demeaning,1.0,Inquisitive,16.0
Contemptuous,4.0,Comparative,1.0,Derision,1.0,Casual,15.0
Critical,45.0,Comparatively,1.0,Derisive,4.0,Belittling,14.0
Criticizing,1.0,Concerned,1.0,Derogatory,11.0,Skeptical,13.0
Critique,1.0,Condemnatory,4.0,Determined,1.0,Condemnatory,13.0
Critiquing,1.0,Condescending,4.0,Disapproval,2.0,Threatening,12.0
Curious,1.0,Confrontational,72.0,Disapproving,35.0,Frustrated,11.0
Cynical,1.0,Constructive,1.0,Discontent,4.0,Judgmental,11.0
Defensive,1.0,Contemptuous,3.0,Disdain,1.0,Provocative,11.0
Degrading,1.0,Critical,30.0,Disdainful,18.0,Questioning,10.0
Demeaning,1.0,Criticism,1.0,Dismissive,4.0,Formal,9.0
Denigrating,1.0,Criticizing,3.0,Disparaging,7.0,Slightly,9.0
Derisive,7.0,Critiquing,1.0,Displeased,1.0,Violent,9.0
Derogatory,39.0,Cynical,2.0,Disrespectful,10.0,Abusive,9.0
Disappointed,1.0,Defamatory,1.0,Dissatisfied,1.0,Demeaning,8.0
Disapproving,3.0,Degrading,6.0,Distrustful,3.0,Degrading,7.0
Disbelieving,1.0,Dehumanizing,2.0,Divisive,1.0,Advisory,5.0
Disdainful,3.0,Demeaning,6.0,Doubtful,1.0,Malicious,5.0
Dismissive,25.0,Derisive,8.0,Encouraging,2.0,with,5.0
Disparaging,16.0,Derogatory,48.0,Frustrated,8.0,Condemning,5.0
Disrespectful,2.0,Descriptive,5.0,Hateful,1.0,Positive,5.0
Disrespective,1.0,Direct,2.0,Hostile,98.0,Cautionary,5.0
Emotional,1.0,Directive,1.0,Indignant,1.0,Descriptive,5.0
Encouraging,1.0,Disapproving,9.0,Insensitive,1.0,Cynical,5.0
Frustrated,3.0,Discriminative,1.0,Irritated,1.0,Reflective,4.0
Harsh,1.0,Disdainful,1.0,Judgmental,1.0,Encouraging,4.0
Hint,1.0,Dismissive,16.0,Malevolent,2.0,Challenging,4.0
Hostile,8.0,Disparaging,39.0,Malicious,4.0,Criticizing,4.0
Imperative,1.0,Disrespectful,11.0,Menacing,1.0,Doubtful,4.0
Indignant,1.0,Dissatisfied,1.0,Mildly,1.0,Resentful,4.0
Informative,4.0,Divisive,1.0,Mixed,1.0,Informative,4.0
Inquisitive,12.0,Doubtful,3.0,Mocking,1.0,Warning,4.0
Instructional,1.0,Emotional,1.0,Negative,29.0,Commanding,4.0
Insulting,11.0,Encouraging,1.0,Neutral,9.0,Assertive,4.0
Interrogative,1.0,Exclusionary,1.0,Nostalgic,1.0,Discontent,4.0
Irreverent,1.0,Expressive,1.0,Objective,1.0,Mixed,3.0
Judgmental,4.0,Firm,1.0,Outraged,2.0,Informal,3.0
Malicious,1.0,Formal,9.0,Patriotic,1.0,Admonishing,3.0
Manipulative,1.0,Highly,1.0,Positive,4.0,Distrustful,3.0
Mocking,11.0,Hinting,1.0,Prejudiced,1.0,Angry,3.0
Narrative,1.0,Hostile,4.0,Protective,1.0,Suspicious,3.0
Negative,1.0,Hypocritical,1.0,Questioning,2.0,Concerned,3.0
Neutral,4.0,Impolite,1.0,Regret,1.0,Respectful,3.0
Observational,1.0,Incendiary,1.0,Resentful,3.0,of,3.0
Offensive,4.0,Inclusive,1.0,Respectful,1.0,Patronizing,3.0
Persuasive,1.0,Indirectly,2.0,Ridiculing,1.0,Narrative,3.0
Pleading,1.0,Informal,3.0,Self-serving,1.0,Constructive,3.0
Provocative,2.0,Informational,1.0,Serious,1.0,Critiquing,2.0
Questioning,6.0,Inquiry,1.0,Skeptical,5.0,Divisive,2.0
Reflective,3.0,Inquisitive,4.0,Slightly,2.0,Annoyed,2.0
Reproachful,1.0,Insistent,1.0,Stern,1.0,Malevolent,2.0
Ridiculing,1.0,Insulting,159.0,Suspicious,2.0,Curious,2.0
Sarcasm,1.0,Interrogative,1.0,Threatening,3.0,Vulgar,2.0
Sarcastic,32.0,Judgemental,2.0,Vindictive,1.0,Blameful,2.0
Scornful,1.0,Judgmental,6.0,Violent,4.0,Outraged,2.0
Skeptical,6.0,Mildly,1.0,Warning,1.0,Alarmist,2.0
