Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,37.0,Abusive,1.0,Admiration,1.0,Insulting,143.0
Admonishing,1.0,Accusatory,2.0,Aggressive,13.0,Aggressive,127.0
Aggressive,57.0,Aggressive,57.0,Anger,6.0,Neutral,81.0
Angry,4.0,Assertive,8.0,Angry,36.0,Offensive,73.0
Appreciative,1.0,Authoritative,3.0,Antagonistic,3.0,Negative,73.0
Assertive,2.0,Blaming,5.0,Arrogant,1.0,Hostile,68.0
Authoritative,1.0,Blasphemous,1.0,Betrayed,1.0,Derogatory,54.0
Blaming,2.0,Blunt,1.0,Competitive,1.0,Disrespectful,51.0
Casual,19.0,Casual,16.0,Concerned,1.0,Contemptuous,50.0
Celebratory,1.0,Challenging,1.0,Condescending,1.0,Critical,47.0
Challenging,1.0,Clinical,1.0,Contempt,1.0,Dismissive,45.0
Commanding,5.0,Colloquial,4.0,Contemptuous,45.0,Angry,40.0
Comparative,2.0,Commanding,1.0,Critical,16.0,Accusatory,39.0
Concerned,2.0,Complimentary,1.0,Curious,2.0,Casual,35.0
Condemnatory,2.0,Condemnatory,1.0,Cynical,1.0,Confrontational,31.0
Condemning,1.0,Condemning,6.0,Deceptive,1.0,Vulgar,31.0
Condescending,15.0,Condescending,12.0,Defeatist,1.0,Condescending,28.0
Confrontational,7.0,Confrontational,24.0,Defensive,1.0,Informal,27.0
Contemptuous,3.0,Contemptuous,2.0,Demeaning,1.0,Informative,24.0
Controlling,1.0,Critical,24.0,Derogatory,26.0,Sarcastic,21.0
Critical,7.0,Cursing,1.0,Disapproval,3.0,Harsh,19.0
Cursing,1.0,Dehumanizing,1.0,Discriminatory,1.0,Formal,18.0
Dehumanizing,1.0,Demanding,1.0,Disdain,1.0,Threatening,14.0
Derogatory,4.0,Demeaning,12.0,Disdainful,11.0,Demeaning,13.0
Disappointed,1.0,Derogatory,24.0,Disgust,2.0,Disdainful,13.0
Disapproval,1.0,Descriptive,1.0,Dismissive,2.0,Judgmental,13.0
Disapproving,4.0,Direct,6.0,Disregard,1.0,Assertive,10.0
Disdainful,2.0,Discriminatory,2.0,Disrespectful,17.0,Mocking,9.0
Disgust,1.0,Dismissive,4.0,Dominant,1.0,Positive,8.0
Dismissing,1.0,Disrespectful,12.0,Frustrated,2.0,Violent,8.0
Dismissive,39.0,Emotional,1.0,Frustration,3.0,Blaming,7.0
Disparaging,3.0,Exclusionary,1.0,Hateful,6.0,Condemning,7.0
Disrespectful,22.0,Firm,1.0,Hostile,60.0,Hateful,7.0
Encouraging,2.0,Formal,18.0,Hostility,1.0,Provocative,6.0
Exhausted,1.0,Harsh,17.0,Humorous,1.0,Direct,6.0
Factual,1.0,Hostile,1.0,Hurt,1.0,Commanding,6.0
Frustrated,1.0,Inflammatory,2.0,Intensely,1.0,Anger,6.0
Harsh,2.0,Informal,27.0,Intimidating,2.0,Questioning,5.0
Hateful,1.0,"Informal,",1.0,Jealousy/Insecurity,1.0,Authoritative,4.0
Hopeful,1.0,Informative,13.0,Judgmental,1.0,Disapproving,4.0
Hostile,7.0,Insensitive,2.0,Light-hearted,1.0,Disapproval,4.0
Informative,11.0,Insulting,76.0,Malicious,1.0,Colloquial,4.0
Insulting,67.0,Judgmental,12.0,Mildly,2.0,Frustration,3.0
"Insulting,",1.0,Manipulative,1.0,Mockery,2.0,Discriminatory,3.0
Jovial,1.0,Negative,11.0,Mocking,2.0,Concerned,3.0
Mocking,7.0,Neutral,17.0,Negative,51.0,Condemnatory,3.0
Negative,11.0,Objective,1.0,Neutral,41.0,Frustrated,3.0
Neutral,23.0,Offensive,69.0,Offensive,2.0,with,3.0
Offensive,2.0,Praising,1.0,Oppressive,1.0,Disparaging,3.0
Patronizing,2.0,Provocative,6.0,Playful,1.0,Respectful,3.0
Playful,1.0,Racist,2.0,Positive,7.0,Disgust,3.0
Positive,1.0,Reflective,1.0,Prejudiced,1.0,Antagonistic,3.0
Questioning,5.0,Respectful,3.0,Proud,1.0,Inflammatory,2.0
Rude,1.0,Rude,1.0,Resentful,1.0,Insensitive,2.0
Sarcastic,3.0,Sarcastic,18.0,Revengeful,2.0,derogatory,2.0
Supportive,1.0,"Sarcastic,",1.0,Sad,1.0,Racist,2.0
Surprised/Amused,1.0,Slang,1.0,Serious,1.0,insulting,2.0
Threatening,5.0,Slightly,2.0,Slight,2.0,Curious,2.0
Urgent,1.0,Straightforward,1.0,Strict,1.0,Slightly,2.0
Vindictive,1.0,Strong,1.0,Teasing,1.0,Intimidating,2.0
behavior,1.0,Strongly,1.0,Threatening,1.0,negative,2.0
insulting,1.0,Superior,1.0,Uncertain,1.0,Rude,2.0
negative,1.0,Threatening,8.0,Vengeful,2.0,Playful,2.0
,,Violent,6.0,Violent,2.0,Slight,2.0
,,Vulgar,31.0,mockery,1.0,Mildly,2.0
,,aggressive,1.0,negative,1.0,Mockery,2.0
,,critical,1.0,,,Vengeful,2.0
,,deceitful,1.0,,,Dehumanizing,2.0
,,demeaning,1.0,,,Revengeful,2.0
,,derogatory,2.0,,,Challenging,2.0
,,disrespectful,1.0,,,Comparative,2.0
,,insulting,1.0,,,Encouraging,2.0
,,labeling,1.0,,,Cursing,2.0
,,mocking,1.0,,,Patronizing,2.0
,,playful,1.0,,,Betrayed,1.0
,,sarcasm,1.0,,,Strict,1.0
,,sarcastic,1.0,,,Contempt,1.0
,,slang,1.0,,,Competitive,1.0
,,undertones,1.0,,,Malicious,1.0
,,with,3.0,,,Arrogant,1.0
,,,,,,Teasing,1.0
,,,,,,Admiration,1.0
,,,,,,Uncertain,1.0
,,,,,,undertones,1.0
,,,,,,slang,1.0
,,,,,,sarcastic,1.0
,,,,,,Cynical,1.0
,,,,,,Defeatist,1.0
,,,,,,Serious,1.0
,,,,,,playful,1.0
,,,,,,Jealousy/Insecurity,1.0
,,,,,,Intensely,1.0
,,,,,,Hurt,1.0
,,,,,,Humorous,1.0
,,,,,,Oppressive,1.0
,,,,,,Hostility,1.0
,,,,,,Prejudiced,1.0
,,,,,,Dominant,1.0
,,,,,,Deceptive,1.0
,,,,,,Disregard,1.0
,,,,,,Proud,1.0
,,,,,,Resentful,1.0
,,,,,,Disdain,1.0
,,,,,,Sad,1.0
,,,,,,Defensive,1.0
,,,,,,Light-hearted,1.0
,,,,,,sarcasm,1.0
,,,,,,Firm,1.0
,,,,,,mocking,1.0
,,,,,,labeling,1.0
,,,,,,Clinical,1.0
,,,,,,Blunt,1.0
,,,,,,Blasphemous,1.0
,,,,,,Abusive,1.0
,,,,,,behavior,1.0
,,,,,,Vindictive,1.0
,,,,,,Urgent,1.0
