Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,27.0,Accusatory,5.0,Admiration,1.0,Aggressive,132.0
Affectionate,1.0,Acusatory,1.0,Aggressive,1.0,Negative,104.0
Aggressive,69.0,Aggressive,62.0,Amused,1.0,Insulting,103.0
Alarmist,1.0,Assertive,9.0,Anger,3.0,Derogatory,92.0
Analytical,1.0,Authoritative,1.0,Angry,40.0,Critical,74.0
Angry,14.0,Belittling,1.0,Antagonistic,1.0,Contemptuous,67.0
Assertive,3.0,Blaming,4.0,Assertive,1.0,Hostile,66.0
Authoritarian,1.0,Casual,23.0,Betrayal,1.0,Offensive,65.0
Callous,1.0,Colloquial,1.0,Blaming,1.0,Dismissive,58.0
Casual,7.0,Commanding,2.0,Concerned,1.0,Angry,54.0
Comparative,1.0,Condemnatory,1.0,Condescending,1.0,Disrespectful,47.0
Condemnatory,1.0,Condemning,3.0,Confusion,1.0,Sarcastic,46.0
Condescending,8.0,Condescending,16.0,Contempt,2.0,Accusatory,32.0
Confident,1.0,Confrontational,20.0,Contemptuous,56.0,Casual,30.0
Confrontational,6.0,Conspiratorial,4.0,Controversial,1.0,Mocking,30.0
Conspiratorial,3.0,Contemptuous,3.0,Critical,12.0,Informal,29.0
Contemptuous,8.0,Controversial,2.0,Curious,1.0,Confrontational,26.0
Contradictory,1.0,Critical,34.0,Cynical,2.0,Condescending,25.0
Critical,28.0,Cruel,1.0,Defensive,1.0,Vulgar,25.0
Curious,2.0,Cynical,1.0,Defiant,4.0,Hateful,24.0
Cynical,2.0,Defamatory,1.0,Dehumanizing,1.0,derogatory,19.0
Defensive,3.0,Dehumanizing,4.0,Derisive,1.0,Neutral,16.0
Defiant,3.0,Demanding,1.0,Derogatory,5.0,Disdainful,15.0
Dehumanizing,2.0,Demeaning,2.0,Disapproval,1.0,Assertive,13.0
Demanding,2.0,Derogatory,56.0,Disapproving,2.0,Discriminatory,13.0
Demeaning,1.0,Direct,5.0,Discriminatory,1.0,Formal,11.0
Derogatory,31.0,Discriminatory,11.0,Disdain,4.0,Harsh,10.0
Descriptive,1.0,Disgusted,1.0,Disdainful,11.0,Disgust,8.0
Disapproving,2.0,Dismissive,19.0,Disgust,2.0,Violent,8.0
Discriminatory,1.0,Disparaging,5.0,Dismissive,1.0,Judgmental,8.0
Disdainful,4.0,Disrespectful,20.0,Disregard,1.0,Dehumanizing,7.0
Disgust,6.0,Encouraging,1.0,Disrespectful,10.0,Informative,7.0
Dismissive,38.0,Fearmongering,1.0,Distrustful,1.0,Disparaging,7.0
