Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,8.0,Abusive,1.0,Accusatory,1.0,Aggressive,127.0
Admiring,1.0,Accusatory,1.0,Aggressive,5.0,Vulgar,123.0
Admonishing,1.0,Aggressive,38.0,Agreement,1.0,Informal,80.0
Aggressive,84.0,Assertive,3.0,Anger,2.0,Negative,74.0
Alerting,1.0,Blaming,2.0,Angry,43.0,Insulting,72.0
Angry,15.0,Casual,23.0,Annoyance,2.0,Casual,71.0
Assertive,5.0,Colloquial,4.0,Apologetic,1.0,Hostile,61.0
Blunt,2.0,Commanding,5.0,Assertive,1.0,Angry,58.0
Casual,47.0,Condemning,1.0,Authoritative,1.0,Derogatory,57.0
Casual/Informal,1.0,Condescending,5.0,Casual,1.0,Offensive,55.0
Casual/Sarcastic,1.0,Confrontational,14.0,Challenging,1.0,Contemptuous,42.0
Commanding,5.0,Contemptuous,2.0,Condemning,1.0,Dismissive,38.0
Condemning,2.0,Controlling,1.0,Condescending,1.0,Critical,37.0
Condescending,3.0,Critical,15.0,Confused,1.0,Disrespectful,37.0
Confrontational,1.0,Criticizing,1.0,Confusion,2.0,Neutral,30.0
Confused,2.0,Cursing,3.0,Contempt,1.0,Frustration,22.0
Confused/Inquisitive,1.0,Deceptive,1.0,Contemptuous,38.0,Frustrated,22.0
Conspiratorial,1.0,Defamatory,1.0,Critical,11.0,Sarcastic,17.0
Contemptuous,2.0,Dehumanizing,2.0,Curiosity,1.0,Confrontational,15.0
Critical,11.0,Demeaning,5.0,Curious,1.0,Defensive,14.0
Cynical,2.0,Derogatory,36.0,Cynical,2.0,Defiant,13.0
Defensive,12.0,Direct,2.0,Dangerous,1.0,Disdainful,11.0
Defiant,9.0,Disdainful,1.0,Defensive,2.0,Accusatory,10.0
Dehumanizing,1.0,Dismissive,10.0,Defiant,4.0,Commanding,10.0
Demanding,2.0,Disparaging,1.0,Defiant/Provocative,1.0,Hateful,9.0
Derogatory,17.0,Disrespectful,9.0,Denial,1.0,Assertive,9.0
Direct,1.0,Expletive,1.0,Derisive,1.0,Positive,9.0
