Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,15.0,Accusatory,1.0,Admiration,2.0,Insulting,139.0
Aggressive,46.0,Admirative,1.0,Admiring,1.0,Negative,96.0
Analytical,1.0,Aggressive,32.0,Aggressive,11.0,Neutral,93.0
Angry,5.0,Alarmist,1.0,Angry,29.0,Aggressive,89.0
Appreciative,1.0,Analytical,1.0,Appreciative,1.0,Derogatory,66.0
Assertive,3.0,Assertive,7.0,Approval,1.0,Hostile,62.0
Authoritative,1.0,Blaming,1.0,Cautious,2.0,Offensive,60.0
Casual,12.0,Casual,47.0,Chiding,1.0,Casual,59.0
Comparative,2.0,Colloquial,6.0,Concern,1.0,Critical,49.0
Complaining,1.0,Combative,1.0,Contempt,1.0,Confrontational,47.0
Concerned,1.0,Condemning,1.0,Contemptuous,36.0,Vulgar,41.0
Condemning,1.0,Condescending,5.0,Controversial,1.0,Contemptuous,38.0
Condescending,10.0,Confrontational,30.0,Critical,12.0,Dismissive,35.0
Confrontational,17.0,Controversial,2.0,Criticism,2.0,Angry,34.0
Contemptuous,2.0,Critical,22.0,Curious,1.0,Disrespectful,34.0
Contrasting,1.0,Defamatory,1.0,Defensive,1.0,Sarcastic,31.0
Conversational,1.0,Demeaning,2.0,Defiant,1.0,Informal,26.0
Critical,15.0,Derogatory,26.0,Derisive,1.0,Mocking,23.0
Curious,1.0,Direct,2.0,Derogatory,31.0,Formal,23.0
Defamatory,1.0,Directive,1.0,Despair,1.0,Positive,18.0
Defensive,8.0,Discriminatory,1.0,Disapproval,7.0,Informative,18.0
Derogatory,9.0,Dismissive,2.0,Disbelief,2.0,Accusatory,16.0
Disbelief,1.0,Disparaging,5.0,Disdain,2.0,Disdainful,15.0
Discriminatory,1.0,Disrespectful,10.0,Disdainful,7.0,Condescending,15.0
Disdainful,8.0,Emotional,2.0,Disgust,1.0,Disparaging,13.0
Disgust,3.0,Emphatic,1.0,Dislike,1.0,Assertive,10.0
Disgusted,1.0,Encouraging,3.0,Dismissive,1.0,Defensive,9.0
Dismissive,32.0,Expletive-laden,1.0,Disrespectful,16.0,Disapproval,7.0
Disparaging,8.0,Firm,2.0,Distrustful,1.0,Frustrated,6.0
Disrespectful,8.0,Forceful,1.0,Frustrated,1.0,Frustration,6.0
Encouraging,1.0,Formal,23.0,Frustration,6.0,Supportive,6.0
Excited,1.0,Generous,1.0,Frustration/Discontent,1.0,Colloquial,6.0
Fact-based,1.0,Harsh,1.0,Frustration/Disgust,1.0,Respectful,5.0
Flippant,1.0,Hostile,1.0,Hateful,4.0,derogatory,5.0
Frustrated,5.0,Inclusive,1.0,Helpful,1.0,Playful,5.0
Harsh,1.0,Informal,26.0,Hostile,54.0,Strong,5.0
Hopeful,1.0,Informative,10.0,Hostility,1.0,Encouraging,4.0
Hostile,7.0,Insensitive,1.0,Impersonal,1.0,Hateful,4.0
Humorous,1.0,Insulting,89.0,Informative,2.0,Polite,4.0
Impatient,1.0,Judgemental,1.0,Inquisitive,1.0,Questioning,4.0
Informative,6.0,Menacing,1.0,Insensitive,1.0,Provocative,4.0
Inquisitive,2.0,Mockery,1.0,Insulting,1.0,Disgust,4.0
Insulting,49.0,Nationalistic,1.0,Joking,1.0,Threatening,3.0
Interrogative,1.0,Negative,7.0,Judgmental,2.0,Profane,3.0
Mocking,18.0,Neutral,20.0,Light-hearted,1.0,Welcoming,3.0
Negative,20.0,Offensive,56.0,Malicious,2.0,Controversial,3.0
Neutral,33.0,Opinonated,1.0,Mockery,1.0,Serious,3.0
Offensive,1.0,Playful,1.0,Mocking,5.0,with,3.0
Playful,3.0,Polite,4.0,Negative,69.0,Skeptical,3.0
Positive,8.0,Political,2.0,Neutral,40.0,Inquisitive,3.0
Positive/Supportive,1.0,Positive,1.0,Observational,1.0,Disbelief,3.0
Praising,1.0,Profane,3.0,Offensive,3.0,Political,2.0
Questioning,4.0,Provocative,4.0,Optimistic,1.0,Direct,2.0
"Racist,",1.0,Radical,1.0,PP,1.0,Emotional,2.0
Respectful,4.0,Respectful,1.0,Playful,1.0,Firm,2.0
Sarcastic,12.0,Rude,1.0,Positive,9.0,Curious,2.0
Serious,1.0,Sarcasm,1.0,Praise,1.0,Insensitive,2.0
Supportive,1.0,Sarcastic,18.0,Praising,1.0,Mockery,2.0
Surprised,1.0,Serious,2.0,Rational,1.0,Condemning,2.0
Threatening,3.0,Straightforward,1.0,Ribbing/Teasing,1.0,Comparative,2.0
Uncertain,1.0,Strong,4.0,Sadness,1.0,Disdain,2.0
Urgent,2.0,Strongly,1.0,Sarcastic,1.0,Appreciative,2.0
Vulgar,1.0,Supportive,3.0,Skeptical,3.0,Violent,2.0
derogatory,1.0,Tense,1.0,Slightly,1.0,Analytical,2.0
matter-of-fact,1.0,Violent,1.0,Strong,1.0,Criticism,2.0
,,Vulgar,40.0,Superiority,1.0,Cautious,2.0
,,Welcoming,2.0,Supportive,2.0,Admiration,2.0
,,comparison,1.0,Teasing,1.0,strong,2.0
,,demeaning,1.0,Uncertain,1.0,Demeaning,2.0
,,derogatory,4.0,Vengeful,1.0,Defamatory,2.0
,,discriminatory,1.0,Violent,1.0,Judgmental,2.0
,,dismissive,1.0,Welcoming,1.0,Harsh,2.0
,,generalization,1.0,choices,1.0,Discriminatory,2.0
,,negative,1.0,disrespect,1.0,Malicious,2.0
,,offensive,1.0,of,1.0,Praising,2.0
,,opinion,1.0,politicians,1.0,Uncertain,2.0
,,strong,2.0,the,1.0,Urgent,2.0
,,term,1.0,their,1.0,their,1.0
,,undertone,1.0,towards,1.0,Despair,1.0
,,vulgar,1.0,,,vulgar,1.0
,,with,3.0,,,Derisive,1.0
,,,,,,Defiant,1.0
,,,,,,Praise,1.0
,,,,,,Slightly,1.0
,,,,,,Dislike,1.0
,,,,,,Contempt,1.0
,,,,,,Concern,1.0
,,,,,,Chiding,1.0
,,,,,,Approval,1.0
,,,,,,Admiring,1.0
,,,,,,Rational,1.0
,,,,,,Sadness,1.0
,,,,,,Superiority,1.0
,,,,,,the,1.0
,,,,,,PP,1.0
,,,,,,Teasing,1.0
,,,,,,Light-hearted,1.0
,,,,,,Joking,1.0
,,,,,,Impersonal,1.0
,,,,,,Hostility,1.0
,,,,,,Observational,1.0
,,,,,,Helpful,1.0
,,,,,,Optimistic,1.0
,,,,,,choices,1.0
,,,,,,disrespect,1.0
,,,,,,of,1.0
,,,,,,Vengeful,1.0
,,,,,,Frustration/Disgust,1.0
,,,,,,Frustration/Discontent,1.0
,,,,,,Distrustful,1.0
,,,,,,politicians,1.0
,,,,,,Ribbing/Teasing,1.0
