Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abusive,14.0,Abusive,29.0,Aggressive,32.0,Insulting,164.0
Accusatory,23.0,Accusatory,1.0,Anger,4.0,Offensive,156.0
Aggravated,1.0,Aggressive,34.0,Angry,17.0,Aggressive,155.0
Aggressive,89.0,Assertive,2.0,Contemptuous,87.0,Derogatory,124.0
Assertive,2.0,Authoritative,3.0,Controlling,1.0,Vulgar,112.0
Casual,14.0,Blaming,1.0,Critical,3.0,Contemptuous,102.0
Casual/Sarcastic,1.0,Blunt,1.0,Curious,2.0,Negative,65.0
Commanding,5.0,Casual,17.0,Defamatory,1.0,Disrespectful,62.0
Comparative,1.0,Condemning,1.0,Derogatory,20.0,Hostile,56.0
Condescending,5.0,Condescending,2.0,Disappointment,1.0,Abusive,43.0
Confrontational,3.0,Confrontational,6.0,Disapproval,3.0,Neutral,43.0
Contemptuous,11.0,Contemptuous,4.0,Disapproving,1.0,Casual,31.0
Critical,5.0,Controversial,1.0,Disdain,1.0,Accusatory,24.0
Curious,2.0,Critical,7.0,Disdainful,7.0,Angry,17.0
Defamatory,1.0,Curious,1.0,Disgust,3.0,Sarcastic,16.0
Defensive,1.0,Defamatory,2.0,Disrespectful,29.0,Critical,15.0
Derogatory,48.0,Degrading,1.0,Distrustful,1.0,Informal,15.0
Directive,1.0,Demeaning,10.0,Doubtful,2.0,Dismissive,13.0
Disappointed,1.0,Derogatory,56.0,Friendly,1.0,Demeaning,10.0
Disapproval,1.0,Direct,3.0,Frustrated,1.0,derogatory,9.0
Disapproving,2.0,Discriminatory,1.0,Hateful,6.0,Violent,9.0
Disdainful,1.0,Dismissive,1.0,Hostile,52.0,Confrontational,9.0
Disgust,2.0,Disparaging,1.0,Hurtful,1.0,Mocking,9.0
Dismissive,12.0,Disrespectful,9.0,Inappropriate,1.0,Informative,8.0
Disparaging,2.0,Dramatic,1.0,Informational,1.0,Formal,8.0
Disrespectful,24.0,Educational,1.0,Inquisitive,2.0,Questioning,8.0
Dominating,1.0,Explicit,2.0,Insensitive,1.0,Disdainful,8.0
Excited,1.0,Explicitly,1.0,Insulting,1.0,Threatening,7.0
Forceful,2.0,Extreme,1.0,Intense,3.0,Malicious,7.0
Graphic,1.0,Formal,8.0,Light-hearted,1.0,Hateful,7.0
Hateful,1.0,Harsh,2.0,Malicious,7.0,Condescending,7.0
Hostile,4.0,Informal,15.0,Mocking,3.0,Profane,6.0
Humorous,1.0,Informative,5.0,Negative,56.0,Curious,5.0
Informative,3.0,Insensitive,2.0,Negative/hostile,2.0,Commanding,5.0
Instructional,1.0,Insulting,100.0,Neutral,25.0,Disgust,5.0
Instructive,1.0,Intense,1.0,Non-serious,1.0,Intense,4.0
Insulting,63.0,Intimidating,1.0,Objective,2.0,Disapproval,4.0
Judgmental,1.0,Judgmental,1.0,Offensive,3.0,Anger,4.0
Mocking,6.0,Negative,3.0,Outrage,1.0,Assertive,4.0
Negative,6.0,Neutral,4.0,Passionate,1.0,Provocative,4.0
Neutral,14.0,Non-aggressive,1.0,Positive,1.0,Defamatory,4.0
Offensive,5.0,Observation,1.0,Questioning,1.0,offensive,3.0
Persuasive,1.0,Offensive,148.0,Resentful,1.0,Authoritative,3.0
Playful,1.0,Playful,2.0,Sarcastic,1.0,Slang,3.0
Questioning,7.0,Polite,1.0,Serious,1.0,Insensitive,3.0
Sarcastic,7.0,Profane,6.0,Sexually,1.0,Direct,3.0
Sexual,1.0,Profanity,1.0,Spiteful,1.0,Disparaging,3.0
Taunting,1.0,Provocative,4.0,Teasing,1.0,Playful,3.0
Threatening,6.0,Respectful,2.0,Violent,4.0,Disapproving,3.0
Vulgar,1.0,Rude,2.0,derogatory,1.0,Harsh,2.0
,,Sarcastic,8.0,explicit,1.0,Forceful,2.0
,,Sexist,1.0,or,1.0,Inquisitive,2.0
,,Slang,3.0,,,Doubtful,2.0
,,Threatening,1.0,,,Negative/hostile,2.0
,,Violent,5.0,,,Explicit,2.0
,,Vulgar,111.0,,,Objective,2.0
,,Vulgarity,1.0,,,Respectful,2.0
,,abusive,1.0,,,Rude,2.0
,,derogatory,8.0,,,Judgmental,2.0
,,offensive,3.0,,,Inappropriate,1.0
,,terms,1.0,,,Disdain,1.0
,,vulgar,1.0,,,Distrustful,1.0
,,,,,,Disappointment,1.0
,,,,,,Controlling,1.0
,,,,,,Casual/Sarcastic,1.0
,,,,,,Friendly,1.0
,,,,,,Frustrated,1.0
,,,,,,Comparative,1.0
,,,,,,Hurtful,1.0
,,,,,,Sexual,1.0
,,,,,,Informational,1.0
,,,,,,terms,1.0
,,,,,,Light-hearted,1.0
,,,,,,Aggravated,1.0
,,,,,,Non-serious,1.0
,,,,,,Outrage,1.0
,,,,,,Passionate,1.0
,,,,,,Positive,1.0
,,,,,,Resentful,1.0
,,,,,,Serious,1.0
,,,,,,Sexually,1.0
,,,,,,Spiteful,1.0
,,,,,,Teasing,1.0
,,,,,,explicit,1.0
,,,,,,vulgar,1.0
,,,,,,Disappointed,1.0
,,,,,,Defensive,1.0
,,,,,,Extreme,1.0
,,,,,,Persuasive,1.0
,,,,,,Blaming,1.0
,,,,,,Blunt,1.0
,,,,,,Condemning,1.0
,,,,,,Controversial,1.0
,,,,,,Degrading,1.0
,,,,,,Instructive,1.0
,,,,,,Instructional,1.0
,,,,,,Discriminatory,1.0
,,,,,,Dramatic,1.0
,,,,,,Educational,1.0
,,,,,,Explicitly,1.0
,,,,,,Humorous,1.0
,,,,,,Directive,1.0
,,,,,,Graphic,1.0
,,,,,,Excited,1.0
,,,,,,Intimidating,1.0
,,,,,,Non-aggressive,1.0
,,,,,,Observation,1.0
,,,,,,Polite,1.0
,,,,,,Dominating,1.0
,,,,,,Profanity,1.0
,,,,,,Sexist,1.0
,,,,,,Taunting,1.0
,,,,,,Vulgarity,1.0
,,,,,,abusive,1.0
,,,,,,or,1.0
