Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,16.0,Abusive,1.0,Aggressive,11.0,Aggressive,183.0
Aggressive,120.0,Accusatory,1.0,Aggressively,1.0,Insulting,182.0
Angry,7.0,Aggressive,52.0,Aggressiveness,1.0,Vulgar,118.0
Assertive,1.0,Assertive,7.0,Anger,3.0,Offensive,117.0
Authoritative,2.0,Authoritative,2.0,Angry,34.0,Derogatory,95.0
Blaming,1.0,Belittling,1.0,Challenging,1.0,Contemptuous,85.0
Casual,8.0,Blaming,2.0,Compassion,1.0,Hostile,76.0
Casual/Sarcastic,1.0,Blunt,1.0,Compassionate,1.0,Negative,62.0
Commanding,5.0,Casual,26.0,Complimentary,1.0,Dismissive,61.0
Condescending,7.0,"Casual,",1.0,Concerned,1.0,Disrespectful,44.0
Confrontational,5.0,Cautious,1.0,Confusion,1.0,Angry,41.0
Confused,1.0,Colloquial,1.0,Contempt,1.0,Confrontational,35.0
Contemptuous,5.0,Commanding,3.0,Contemptuous,78.0,Casual,34.0
Critical,4.0,Condescending,7.0,Critical,11.0,Neutral,30.0
Defensive,1.0,Confrontational,30.0,Curious,1.0,Sarcastic,25.0
Defiant,1.0,Contemptuous,2.0,Defamatory,1.0,Informal,23.0
Dehumanizing,2.0,Critical,8.0,Defensive,1.0,Critical,23.0
Demanding,1.0,Crude,2.0,Derisive,1.0,Accusatory,17.0
Demeaning,1.0,Defamatory,1.0,Derogatory,21.0,Condescending,14.0
Derogatory,35.0,Defensive,1.0,Disapproval,4.0,Hateful,13.0
Disappointed,1.0,Dehumanizing,1.0,Discriminatory,1.0,Disdainful,12.0
Disapproving,1.0,Demeaning,10.0,Disdainful,8.0,Demeaning,11.0
Disbelief,1.0,Derogatory,39.0,Disgust,4.0,Mocking,10.0
Disdainful,4.0,Direct,3.0,Disrespectful,16.0,Threatening,9.0
Disgust,2.0,Discriminatory,1.0,Distrustful,1.0,Malicious,9.0
Dismissive,57.0,Dismissive,4.0,Frustrated,1.0,Commanding,8.0
"Dismissive,",1.0,Disrespectful,12.0,Frustration,6.0,Violent,8.0
Disparaging,2.0,Emotional,3.0,Frustration/Annoyance,1.0,Assertive,8.0
Disrespectful,16.0,Forceful,1.0,Hateful,13.0,Informative,7.0
Exclusionary,1.0,Formal,5.0,Hostile,71.0,Rude,6.0
Frustrated,2.0,Harsh,4.0,Informative,1.0,Frustration,6.0
Harsh,1.0,Hostile,2.0,Insulting,2.0,derogatory,6.0
Hostile,3.0,Informal,23.0,Malicious,8.0,Disgust,6.0
Humorous,1.0,"Informal,",1.0,Mixed,1.0,Harsh,5.0
Imperative,1.0,Informal/Slang,1.0,Mocking,4.0,Formal,5.0
Informative,1.0,Informative,5.0,Negative,57.0,Resentful,5.0
Insulting,64.0,Insulting,116.0,Neutral,15.0,Disapproval,4.0
Judgmental,1.0,Judgmental,2.0,Objective,1.0,Playful,4.0
Malicious,1.0,Mocking,1.0,Observational,1.0,Authoritative,4.0
Mocking,5.0,Nationalistic,1.0,Offensive,1.0,Questioning,3.0
Negative,3.0,Negative,2.0,Patronizing,1.0,Slightly,3.0
Neutral,9.0,Neutral,6.0,Playful,1.0,Anger,3.0
Nostalgic,1.0,Offensive,110.0,Positive,1.0,Emotional,3.0
Offensive,6.0,Playful,1.0,Prejudiced,1.0,Direct,3.0
Playful,2.0,Reflective,1.0,Remorseful,1.0,Defensive,3.0
Polite,1.0,Rude,5.0,Resentful,5.0,Dehumanizing,3.0
Provocative,1.0,Sarcastic,17.0,Respectful,1.0,Sympathetic,3.0
Questioning,3.0,Skeptical,1.0,Sarcastic,3.0,Blaming,3.0
Regretful,1.0,Slang,1.0,Skeptical,1.0,Frustrated,3.0
Rude,1.0,Slightly,3.0,Teasing,2.0,Judgmental,3.0
Sarcastic,5.0,Stern,1.0,Vengeful,2.0,Disparaging,2.0
Surprising,1.0,Threatening,7.0,Violent,1.0,Crude,2.0
Sympathetic,3.0,Violent,7.0,vengeful,1.0,Vengeful,2.0
Threatening,2.0,Vulgar,116.0,,,Skeptical,2.0
Vulgar,2.0,colloquial,1.0,,,Teasing,2.0
derogatory,1.0,derogatory,5.0,,,Discriminatory,2.0
,,disrespectful,1.0,,,Defamatory,2.0
,,offensive,2.0,,,offensive,2.0
,,,,,,Respectful,1.0
,,,,,,Derisive,1.0
,,,,,,Aggressively,1.0
,,,,,,Aggressiveness,1.0
,,,,,,Mixed,1.0
,,,,,,Patronizing,1.0
,,,,,,Positive,1.0
,,,,,,Challenging,1.0
,,,,,,Compassion,1.0
,,,,,,Compassionate,1.0
,,,,,,Complimentary,1.0
,,,,,,Concerned,1.0
,,,,,,Prejudiced,1.0
,,,,,,Confusion,1.0
,,,,,,Frustration/Annoyance,1.0
,,,,,,Remorseful,1.0
,,,,,,Objective,1.0
,,,,,,disrespectful,1.0
,,,,,,Distrustful,1.0
,,,,,,Contempt,1.0
,,,,,,Curious,1.0
,,,,,,Observational,1.0
,,,,,,Informal/Slang,1.0
