Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Abrasive,1.0,Aggressive,24.0,Aggressive,14.0,Vulgar,203.0
Accusatory,8.0,Agitated,1.0,Anger,1.0,Aggressive,157.0
Aggressive,119.0,Appreciative,1.0,Angry,46.0,Offensive,99.0
Amused,1.0,Assertive,1.0,Appreciation,1.0,Negative,90.0
Angry,8.0,Blaming,1.0,Appreciative,1.0,Insulting,86.0
Assertive,1.0,Casual,35.0,Arrogant,1.0,Casual,79.0
Casual,44.0,"Casual,",1.0,Assertive,1.0,Informal,70.0
Casual/Informal,1.0,Colloquial,2.0,Bitterness,1.0,Angry,54.0
Casual/Slang,1.0,Confrontational,12.0,Comparative,1.0,Hostile,52.0
Combative,1.0,Contemptuous,2.0,Condescending,1.0,Disrespectful,48.0
Commanding,4.0,Critical,4.0,Confident,1.0,Neutral,41.0
Condescending,2.0,Crude,1.0,Contemptuous,34.0,Dismissive,39.0
Confrontational,4.0,Cursing,1.0,Critical,1.0,Contemptuous,38.0
Confused,1.0,Demeaning,5.0,Curious,3.0,Derogatory,38.0
Contemptuous,2.0,Derogatory,9.0,Defensive,3.0,Frustration,30.0
Critical,9.0,Direct,4.0,Defiant,1.0,Sarcastic,23.0
Crude,1.0,Discriminatory,1.0,Demanding,1.0,Frustrated,21.0
Cynical,1.0,Dismissive,16.0,Derogatory,12.0,Confrontational,16.0
Defamatory,1.0,Disparaging,1.0,Detached,1.0,Critical,14.0
Defeatist,1.0,Disrespectful,13.0,Disappointed,1.0,Profane,12.0
Defensive,4.0,Emotional,2.0,Disappointment,1.0,Disdainful,10.0
Defiant,8.0,Emotionally,1.0,Disapproval,4.0,Defiant,9.0
Derogatory,17.0,Exaggeration,1.0,Disbelief,1.0,Rude,8.0
Desirous,1.0,Excited,1.0,Discontent,2.0,Playful,8.0
Desperate,1.0,Explicit,3.0,Disdainful,9.0,Accusatory,8.0
Disappointed,1.0,Explicitly,4.0,Disgust,2.0,Defensive,7.0
Disapproval,1.0,Extremely,1.0,Dislike/,1.0,Informative,7.0
Disapproving,1.0,Formal,6.0,Dismissive,2.0,Positive,7.0
Disbelief,1.0,Grating,1.0,Disregard,1.0,offensive,7.0
Disdainful,1.0,Hostile,1.0,Disrespectful,16.0,Mocking,6.0
Dismissive,21.0,Impatient,1.0,Enthusiastic,1.0,disrespectful,6.0
Disparaging,2.0,Inappropriate,3.0,Friendly,1.0,Formal,6.0
Disregard,1.0,Indifferent,1.0,Frustrated,13.0,Inappropriate,5.0
Disrespectful,19.0,Informal,66.0,Frustration,30.0,Demeaning,5.0
