Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
Accusatory,19.0,Accusatory,1.0,Aggressive,1.0,Neutral,136.0
Advisory,1.0,Advising,1.0,Amused,2.0,Casual,104.0
Aggressive,28.0,Aggressive,23.0,Anger,1.0,Derogatory,76.0
Amused,1.0,Assertive,6.0,Angry,6.0,Negative,66.0
Anxious,1.0,Attack,1.0,Arrogant,2.0,Critical,56.0
Apologetic,1.0,Authoritative,1.0,Assertive,1.0,Insulting,55.0
Assertive,5.0,Belittling,1.0,Caring,1.0,Contemptuous,54.0
Blame,1.0,Bias,1.0,Cautious,1.0,Dismissive,54.0
Blaming,2.0,Blaming,5.0,Concerned,1.0,Aggressive,52.0
Casual,49.0,Blunt,1.0,Confrontational,1.0,Informative,50.0
Cautious,1.0,Caring,1.0,Confusion,1.0,Informal,47.0
Challenging,1.0,Casual,55.0,Contemptuous,48.0,Offensive,38.0
Commanding,1.0,Challenging,1.0,Contentious,1.0,Sarcastic,33.0
Comparative,5.0,Commanding,1.0,Controversial,1.0,Disrespectful,25.0
Compassionate,1.0,Common,1.0,Critical,14.0,Mocking,21.0
Concerned,2.0,Comparative,1.0,Cruel,1.0,Accusatory,20.0
Condescending,5.0,Complex,1.0,Curious,9.0,Disdainful,19.0
Confrontational,1.0,Condemning,5.0,Cynical,3.0,Disgust,16.0
Confused,3.0,Condescending,10.0,Defensive,9.0,Hostile,16.0
Contemptuous,3.0,Confrontational,14.0,Dehumanizing,1.0,Confrontational,16.0
Critical,16.0,Contemptuous,3.0,Derogatory,13.0,Judgmental,15.0
Curious,1.0,Conversational,1.0,Determined,2.0,Disparaging,15.0
Defensive,4.0,Critical,26.0,Disapproval,4.0,Condescending,15.0
Derogatory,25.0,Cynical,1.0,Disapproving,2.0,Discriminatory,14.0
Direct,1.0,Debating,1.0,Discriminatory,3.0,Formal,13.0
Directive,1.0,Defamatory,1.0,Disdainful,13.0,Defensive,13.0
Disapproving,3.0,Degrading,1.0,Disgust,6.0,Hateful,12.0
Discriminatory,3.0,Dehumanizing,1.0,Dismissive,3.0,Racist,12.0
Disdainful,6.0,Demeaning,4.0,Disparaging,1.0,Assertive,12.0
Disgust,10.0,Derogatory,38.0,Disrespectful,7.0,Questioning,10.0
Disgusted,4.0,Detailed,1.0,Distressed,1.0,Playful,10.0
Dismissive,35.0,Direct,5.0,Distrustful,2.0,Curious,10.0
Disparaging,11.0,Discriminatory,8.0,Empathetic,1.0,Violent,9.0
Disrespectful,10.0,Dismissive,16.0,Encouraging,1.0,Insensitive,9.0
Encouraging,1.0,Disparaging,3.0,Fearful,1.0,Positive,8.0
Excited,1.0,Disrespectful,8.0,Forgiving,1.0,Blaming,7.0
Factual,1.0,Eloquent,1.0,Friendly,2.0,Prejudiced,7.0
Fearful,1.0,Emotional,2.0,Frustration,5.0,derogatory,7.0
Forgiving,1.0,Exclusive,1.0,Fun,1.0,Malicious,7.0
Frustrated,4.0,Explanation,1.0,Hateful,11.0,Comparative,6.0
Frustration,1.0,Factual,1.0,Homophobic,1.0,Frustration,6.0
Harsh,1.0,Firm,1.0,Hopeful,1.0,Direct,6.0
Hateful,1.0,Formal,13.0,Hostile,16.0,Angry,6.0
Indifferent,1.0,Frustrated,1.0,Indifferent,2.0,Vulgar,6.0
Informative,9.0,Gender,1.0,Inquisitive,1.0,Frustrated,5.0
Inquiry,1.0,Harsh,2.0,Inspiring,1.0,Inquisitive,5.0
Inquisitive,4.0,Ignorant,1.0,Intense,1.0,Condemning,5.0
Instructive,1.0,Inappropriate,1.0,Joyful,1.0,Slightly,5.0
Insulting,5.0,Incoherent,2.0,Judgmental,2.0,Disapproving,5.0
Judgmental,5.0,Informal,47.0,Light-hearted,3.0,Provocative,5.0
Mocking,12.0,Informative,41.0,Malicious,7.0,Threatening,4.0
Nationalistic,1.0,Insensitive,9.0,Mockery,1.0,Skeptical,4.0
Negative,5.0,Insulting,50.0,Mocking,4.0,Disapproval,4.0
Neutral,48.0,Intellectual,1.0,Negative,49.0,Slang,4.0
Nonchalant,1.0,Internet,1.0,Neutral,76.0,Objective,4.0
Observational,1.0,Judgemental,1.0,Objective,4.0,Light-hearted,4.0
Offensive,2.0,Judgmental,8.0,Observational,2.0,Cynical,4.0
Playful,5.0,Light-hearted,1.0,Offensive,2.0,Demeaning,4.0
Poetic,1.0,Manipulative,1.0,Patronizing,2.0,Disgusted,4.0
Positive,2.0,Mocking,5.0,Playful,2.0,Concerned,3.0
Positive/Complimentary,1.0,Nationalistic,1.0,Poking,1.0,Confused,3.0
Prescriptive,1.0,Negative,12.0,Positive,5.0,Harsh,3.0
Provocative,1.0,Neutral,12.0,Preference,1.0,Indifferent,3.0
Questioning,7.0,Objectifying,1.0,Prejudiced,6.0,Sexist,3.0
Racist,1.0,Offensive,34.0,Provocative,2.0,Observational,3.0
Reflective,1.0,Playful,3.0,Racist,6.0,Rude,3.0
Repetitive,1.0,Pleading,1.0,Repulsion,1.0,Reflective,3.0
Sarcastic,9.0,Poetic,1.0,Resentful,1.0,Amused,3.0
Serious,1.0,Polite,1.0,Resigned,1.0,Teasing,3.0
Sexist,1.0,Positive,1.0,Resolute,1.0,a,2.0
Sighing,1.0,Prejudiced,1.0,Sarcastic,1.0,Encouraging,2.0
Skeptical,2.0,Profane,1.0,Self-critical,1.0,Stereotyping,2.0
Superior,1.0,Protective,1.0,Sexist,1.0,Incoherent,2.0
Surprised,1.0,Provocative,2.0,Skeptical,2.0,Straightforward,2.0
Threatening,1.0,Questioning,3.0,Skepticism,1.0,Understanding,2.0
Violent,2.0,Racist,5.0,Supportive,1.0,Commanding,2.0
Warning,2.0,Rational,1.0,Suspicious,1.0,of,2.0
,,Reflective,2.0,Teasing,3.0,Challenging,2.0
,,Repetitive,1.0,Uncertain,1.0,Dehumanizing,2.0
,,Requesting,1.0,Unclear,1.0,offensive,2.0
,,Respectful,1.0,Uncomfortable,1.0,with,2.0
,,Rude,3.0,Vengeful,1.0,Cautious,2.0
,,Sarcastic,23.0,Violent,1.0,Arrogant,2.0
,,Sexist,1.0,Worried,1.0,Determined,2.0
,,Slang,4.0,Xenophobic,1.0,Distrustful,2.0
,,Slightly,5.0,,,Friendly,2.0
,,Standard,1.0,,,Patronizing,2.0
,,Stereotyping,2.0,,,Emotional,2.0
,,Straightforward,2.0,,,Poetic,2.0
,,Structured,1.0,,,Caring,2.0
,,Threatening,3.0,,,Fearful,2.0
,,Understanding,2.0,,,Factual,2.0
,,Violent,6.0,,,Nationalistic,2.0
,,Vulgar,6.0,,,Forgiving,2.0
,,a,2.0,,,Warning,2.0
,,accusatory,1.0,,,Repetitive,2.0
,,colloquial,1.0,,,Apologetic,1.0
,,derogatory,7.0,,,Hopeful,1.0
,,descriptive,1.0,,,Homophobic,1.0
,,disrespectful,1.0,,,Fun,1.0
,,hint,1.0,,,Empathetic,1.0
,,language,1.0,,,Instructive,1.0
,,mocking,1.0,,,Distressed,1.0
,,of,2.0,,,Blame,1.0
,,offensive,2.0,,,Debating,1.0
,,sarcasm,1.0,,,Cruel,1.0
,,slang,1.0,,,Inspiring,1.0
,,threatening,1.0,,,Contentious,1.0
,,touch,1.0,,,Confusion,1.0
,,with,2.0,,,Inquiry,1.0
,,,,,,Serious,1.0
,,,,,,Anger,1.0
,,,,,,Sighing,1.0
,,,,,,touch,1.0
,,,,,,threatening,1.0
,,,,,,Controversial,1.0
,,,,,,Intense,1.0
,,,,,,sarcasm,1.0
,,,,,,Self-critical,1.0
,,,,,,Worried,1.0
,,,,,,Vengeful,1.0
,,,,,,Uncomfortable,1.0
,,,,,,Unclear,1.0
,,,,,,Uncertain,1.0
,,,,,,Positive/Complimentary,1.0
,,,,,,Suspicious,1.0
,,,,,,Supportive,1.0
,,,,,,Skepticism,1.0
,,,,,,Resolute,1.0
,,,,,,Joyful,1.0
,,,,,,Resigned,1.0
,,,,,,Resentful,1.0
,,,,,,Repulsion,1.0
,,,,,,Preference,1.0
,,,,,,Poking,1.0
,,,,,,Prescriptive,1.0
,,,,,,Nonchalant,1.0
,,,,,,Mockery,1.0
,,,,,,Anxious,1.0
,,,,,,slang,1.0
,,,,,,mocking,1.0
,,,,,,Superior,1.0
,,,,,,Ignorant,1.0
,,,,,,Objectifying,1.0
,,,,,,Manipulative,1.0
,,,,,,Directive,1.0
,,,,,,Judgemental,1.0
,,,,,,Internet,1.0
,,,,,,Intellectual,1.0
,,,,,,Common,1.0
,,,,,,Complex,1.0
,,,,,,Inappropriate,1.0
,,,,,,Gender,1.0
,,,,,,Surprised,1.0
,,,,,,Excited,1.0
,,,,,,Firm,1.0
,,,,,,Explanation,1.0
,,,,,,Exclusive,1.0
,,,,,,Conversational,1.0
,,,,,,Eloquent,1.0
,,,,,,Detailed,1.0
,,,,,,Advisory,1.0
,,,,,,Degrading,1.0
,,,,,,Pleading,1.0
,,,,,,Polite,1.0
,,,,,,Profane,1.0
,,,,,,Protective,1.0
,,,,,,Defamatory,1.0
