uniq sequences,number appears
none,273
bad,17
unaware,1
don't care,2
nonsense,2
sorry,1
wrong,4
misspell,1
chaos,1
baffle,1
dense,1
poor,2
bullied,1
didn’t care,1
over hunting,1
stolen,1
sad,3
lonely,1
wish,1
kicked,1
mannerless,1
crazy,2
barely,1
bad guy,1
violent,1
ebola,1
really,1
naive,1
crash,1
issue,1
messed up,5
justify,1
loud,1
scared,1
unsatisfactory,1
hard,1
brutal,1
upsetting,1
forcefully,1
don't like,2
at risk,1
old lady,1
more interested,1
instead of trying,1
keep quiet,1
mistake,1
weak,1
isn't good,1
tired,1
inconvenient,1
never,2
silly,1
super aggressive,1
doesn't taste good,1
own all the money,1
mean,1
weird,1
not meaningful,1
affecting,1
not pleasant,2
desecrate,1
illogical,1
throw,1
upset,1
speculation,1
dull,1
freak out,1
badly,1
spook,1
dark,1
not good,1
those,1
political cohorts,1
punking,1
careless,1
god,1
filled,1
ads,1
deleted,1
again,1
censorship,1
non reporting,1
bad decisions,1
worst,1
ranting,1
outrage,1
propaganda,1
blindly,1
dire consequences,1
overwhelming,1
consequences,1
non essentials,1
scaring,1
problem,2
trouble,1
not appropriate,1
not mature enough,1
complaining,1
oversimplified,1
going wrong,1
depressed,1
bother,1
biased,1
low pay,1
long working hours,1
random,1
like this,1
tax,1
want to tax you,1
horrible,1
cost,1
nobody,1
those people,1
treason,1
rude,1
shady,1
nothing,1
not so good,1
shouldn't,1
avoid,1
worse,2
absurd,1
not grounded,1
insane,1
heartbreaking,1
losing,1
god knows what,1
flaming things,1
hurting,1
accused,1
interfering,1
vandalism,1
look bad,1
who cares,1
feel sorry,1
him,1
unsecured,1
useless,1
strangers,1
not like,1
block,1
disrupting,1
sadder,1
prank,1
inaccurate,1
unfriendly,1
