uniq sequences,number appears
ምንም የወታደር ስነምግባር የሌለው,1
ይሳቅልኛል,1
የማይመጥን,2
ቀልድ,1
ይሞክራል,1
ዜሮ,2
አቋም,1
ሕይወት ሲጠፋ,1
የንጹኃን እንባ,1
አደጋ,5
ቁመና,1
አይደለም,9
ትክክል ያልሆነ,2
ችግር,30
ግምት,1
none,160
የማይታመን,1
ንጹሀን ደም,1
እዳ,1
ድብቅ ፍላጎታችሁን,1
ሌላ የለመደ አመል,1
መተው አልቻላችሁም,1
ማንነቱን አጥቶ ተቸገረ,1
በሰብሰ,1
ባንዳ,1
ሲቃይ,1
ሳይሳካ,1
መረዳት ትንሽ ይከብድሃል,1
ሹምነት,1
ካድሬነት,1
አለመውደድ,1
አትጋፋኛ,1
block,1
ኮንትሮባንድ,1
ጀምሯል,1
ተናፍቀሃል,1
ሰይጣን,2
ዘነበ,1
ከበደ,1
ጃል,1
የምትገርም,1
እፈሩ,1
አንደማፈልጋችሁ,1
በግድ,2
ውይ,1
ውርደት,1
ወርውረው,1
ጣሉት,1
ጥሩ ሰው አይደለም,2
የለህም,2
የማይመስል,1
ክፍተት,1
መጥፎነቱ,1
አይመስለኝም,3
አረዳድ,1
ምናምን,2
ቀና አመለካከት መጥፋት,1
እያጠፉ,1
ነፍስ,2
አይገባህም,1
ሽንጥህን,1
ገትረህ,1
ይኬ ስው,1
ወገንተኝነት,4
ንፁሃን,2
ወግዘት,1
ገዳዩ,1
ውግዘት ፍትሀዊ አይደለም,1
ጉዳት,5
ትንኮሳ,2
አይጠላም,1
አጨክኚ አይደሉም,1
እንደቆየን,1
ያክል ድምፁ የጠፈው,1
የሴት ልጅ,1
አልመለስም,1
ወንጀል,2
ድብቅ,2
እያሳሳቀ,1
ትልቅ ወንጀል,1
መጎደት,1
ወንጀሉ,1
አይመሰለኝም,2
ጥላቻ,3
መጥፎ,8
መጥፌ,1
ሀይ,1
ማጥፋት,3
አልተማርክም,1
ተጎዳ,1
ያሚካፋው,1
ተጠያቂ,4
አላዋቂ,2
ጋጭ,1
አለመወቅ,1
የሙጥኝ,1
የወያኔ,1
ደገፊዎች,2
ህይወት ህልፈት,1
ለህግ ሊቀርቡ,1
ከስራ በማገድ,1
ከተጠያቂነት ለማዳን,1
አሰራር,1
ግርማ,1
ጥርጥር,1
መፍራት,1
ሊሆን እይችልም,1
ላፕቶፕ ላይ ተቀምጦ,1
እንዳንተ አይነቱ,1
እንዳንቺ ያለ,1
ቀራቢ,1
የቆራቢ ልጅ,1
በቀናነት,1
ዝም አላሉም,1
ከቆየ,1
አይኖርም,1
ልዩ ክ/ጦር,1
ውሸት,2
የተነቀሰው,1
ንቅሳትን,1
የማይጠቅም,1
አይመለከትም,2
ጥፋት,1
ስህተት,3
ጥቅመኛ,1
ራስ ወዳድ,4
አይምሮ,1
አስር ሚልዮን,1
ሀዝብ የለም,1
ፈሪ,3
ግፍ,3
ታኬም,1
በቀላሉ የማይገባ,1
ነገር,1
ሹሞች,1
ስትጽፍ,1
የምትታየው,1
ሞት,5
አንተ አልገባህም,1
ቀላል መሰለህ,1
ጦርነት,4
አይሰራም,1
አይደለህም,2
እንዴት እንለወጣለን,1
የለየኋቸው,1
ክብር ባለመስጠት,1
ልታጠፋ,1
እንዳንታይነት,1
የማያስብ,2
መፈታት,1
አይስፈልግም,1
ውድቀት,1
ትለፋለህ መልፋትም አለብህ መቃብር,1
የማይችል,2
አታውቅም,1
አንተ,5
ያዘንሽ,1
ውስን ሀሳብ,1
ሲጎድል,1
ሲጠፋ,1
ሲያገለግል እንስት,1
ፍላጎት,1
የሚያራምዱ,1
አልገባህን,1
ሳንቲም,1
ተደብቄ,1
አልነበረ,1
አይመለሱም,1
አደለም,1
አይደላችሁም,1
ስልጣንን,1
ለማራዘም,1
በጦርነት ውስጥ,1
ቢሆን ኖሮ,1
ይቀጣሽ,1
ተቆርቋሪዎች,1
ኮሮናቫይረስ,1
ከእግዚአብሄር,1
ከየት እንደሆንክ,1
ኑዛዜሽ,1
ህልፈት,1
ተግባር,1
መሞትህ,1
ዝም,7
በደል,4
እፍፍ እስትራፖ,1
አማራጭ የላትም,1
ግን,1
መሻት ትክክል አይደለም,1
አይቻለሁ,1
ትክክል ያልሆነን,1
ስርአት የለህም,2
ሞግት,1
ያለን,1
ጥሩ ያልሆነ,2
ጅማሮ,1
ክብር ያሳጣል,1
ፆታዊ በደል,1
መፈከር,1
ክብር አሳጥተው,1
አባረውህ,1
ተጽኖ,3
ግራ,2
ይፍረደን,1
ሃዘን,1
የሚያጥላሉት,1
የሚያጠፋ,1
መሳሪያ,1
ይከብዳል,5
እምነት ያፈረሰ,1
ያስነውራል,1
እዚህ,2
ከተተሽ,1
አልነበረም,2
የለመድከውን,1
አታሰድበን,1
መቃወም,2
ጥሩ ያልሆኑ ነገሮች,1
የሚያፈርስ ከህግ ውጪ በምናለብኝነት የውጪ ሀይሎች,1
ቅቡልነት,1
ትገርማለህ,1
ተለዋዋጭ እይታህን,1
ታነሳለህ,1
,1
በትዕግስት አናልፈውም,1
ደጋፊን ደጋፊ እንዲያወግዝ,1
ተሳሳተ,1
ተገንዝበዉ,1
ትገርማላችሁ,1
አይመስላችሁም,1
ያ ምንም አያቅም,1
ስህት,1
ክንግዲ,1
ሽር ሽር,1
አትናገር,3
ጥሩ ያልሆነውን,1
ወስደው,1
ተመልሶ,1
እግዚአብሔርን ትክዳለህ,1
ኃጢአቶች,1
አለመታዘዝ,1
ቀለሜ,1
እይነቶቹ,1
አይቀርልህም,1
ምንም የሚያቀው ነገር የለም,1
እራሱ,1
ጠቁሞ,1
ያጠፋው,1
ያሳዝናል,4
ይበሳጫል,1
ሁከት,3
ተነሳ,1
አቁም,2
አስቸጋሪ ፖለቲከኞች,1
ኣጣ,1
ክክ,1
ብስቅም,1
አዙሩል፤ ስለማይኖረው፤ ሽቀላ። ትቶዋል። ተጠንቀቁ።,1
አሰርክ,1
ይፋረዳል,1
እምባ,2
እራስህን ሆነህ,1
አይሰማኝም,1
ንፁኀንን,1
በድልሀል,1
ሴት,2
ምንድን,1
ነው,2
የምታጨሰው,1
ግጭት,2
ሲሯሯጡ,1
አይደል,2
አስቸጋሪ,1
እየፎከርክ,1
ኮቪድ,1
ልዩ ሃይል,1
መርጦ አልቃሽ,1
ወገንተኛ,7
ስትል,1
ተቃራኒወ,1
መልሱ,1
ሰው ገደለ,1
አፈናቀለ,1
ብዙ ሰው ህይወቱ አለፈ,1
የሴት ጥቃት አይግረማቹ,1
ልጅ ለናቷ ምጥ,1
ይገርማል,2
መፎከር,1
ይሄ አወሉ,1
በትክክል የማይሰሩለት,1
ሰው አለ,1
ደገፊ,2
በሬ,1
ማስፈራሪያዎችን,1
ሰነዘረ,1
አላምንም,1
አያስፈልግም,4
እንደ ፀጉር ማስተካከል ቢሆንማ,1
ቀላል ነው,1
ጠባብ,1
ሞተው,1
ሰብአዊነት,1
ጋብዘው,1
ያስገቡት,1
ብዙም ከማያቁት,1
ጠላክ,1
በዘሩ,1
ይሄ ጉድ,1
የክፉ መንፈስ,1
በጎ ለማይወድ,1
ወንጀለኛ,1
ፍርድ ቤት,1
ይቅርና,1
ህዝበ,1
ወያኔን,1
ሚያስጨንቅበት,1
ወያኔ,4
መጠበቅ,1
ድንጋይ,1
አይወረውርም,1
ጥራ ግራ,1
ማመሳሰል,1
ይቅርታ,2
መጠየቅ,1
አሉባልታ,1
አይቋጥርም,1
ተው,1
አንገቱን እንደደፋ,1
ማን የሚረሳው,1
አልቀበልም,1
ጉራጌን,1
ጠርታኛለች,1
አወራን,1
አይደርስ,1
ነገሮችን ለማለስለስ,1
የ ጀዋርንም ጉዳይ,1
አረጋ,1
አሳልፈህ ሰጠህ,1
አትገምት,1
መታ,1
ደንዳና,3
አድርባይነትህ,1
አይጠቅምም,2
ተምረህ,1
ባትማር,1
ወድቆ,1
እንዳንተ,1
የሌለችህ,1
ጣልቃ,1
አለኝ,1
ያለው,2
ደካማነት,1
ምስኪን,4
ነብስ አጥፍቶ,1
አይመችህም,1
ጠላት,3
ሸውዶ,1
እንገዳነት,1
መለካከት,1
አልጠቀማትም,1
መጥፎ ድርጊት,1
ቢደርስስ,1
የስልጣን ፍላጎት,1
ይታዘብሻል,1
ጠላህ,1
ህመም,1
አዕምሮህ ትክክል አለመሆኑን,1
ቁጣ,1
ያርበኧ,1
ወይም,1
አያቅታትም,1
አይጠበቅም,3
ያልፋል,1
ማንኳኳቱ,1
ጥሎ,1
ተዘግተዋል,1
ዙምባብዌ,1
ለቅሶ,2
ፍርዱን ይስጥ,1
ውስን ጭንቅላት,1
አርቆ ማሰብ,1
የምታስቸግር,1
ስድብ,5
ምንም የማታውቅ,1
አስገኘ,1
ያብጠለጥሉት,1
ደህና መሪ አላገኘችም,1
ብዙ ችግሮች,1
ዝቅ,1
ጨነቀን,1
የሚታየኝ ጥሩ ያልሆነ መንፈስ,1
መልካም ሰዉ አይደለም,1
የተቃወሙትን,1
ለጥጋብ,1
ቅርቃር,1
ባረጁ,1
ብቀላ,1
የመነስተውለው,1
የምናወረው,1
ጥሩ አይደለም,1
ያዝን,1
ተጎንጨ,1
አይታይም አይመስልም,1
ተጠግቶ,1
ምን,5
አንጠብቅም,1
ፀያፍ,6
አልገባሽም,2
ናፋቂ,1
ያልገባቸው,1
ተወው,1
የዘር ፖለቲካ,1
አለመሆኑ,1
መልካም አይደለም,1
ብዙም ቆንጆ አይደለሽ,1
አሳቢ,1
ሰይገበሽ,1
አሸባሪነት,1
የከፋ አደጋ,1
መቸ,2
እምትለው,1
ማስተዋል ትተሀል,1
ጠፋ,2
አትግደሉ,1
ገዳዮችን,1
የተበዳይን,1
ይሙት,1
ክፉ,2
ተሰወረ,1
አልፈልግም,2
አይችልም,5
እንዲህ አይነት,1
አይታወቅም,1
ዝም ማለት,2
የሚጎዱ,1
እርምጃ,1
ታወራለህ,2
ነገር የማይጠቅም,1
opportunist,1
ተናጋሪ,1
ውዥንብር,1
ከአደጋ ላይ,1
እየተፈጠረ,1
ድህነትን,1
ስለሚጠላ,1
ትቸኩያለሽ,1
ቅስቀሳ,1
በፊት,1
ይቅርታ ጠይቅ,1
ፀረ ካፒታሊዝም,1
ፀረ ዘረኝነት,1
ርህራሄ የሌላቸው,1
ብዙኃኑ,1
አትፈልግም,1
ሸሚዝ,1
አብዝተሀል,1
አይሰጥህም,1
ትሰለቻለህ,1
አክራሪ,1
ብሔርተኝነት,1
ልጅ በትንሽ በትልቁ ሆድ ይብሳቸዋል,1
ተመስገን,1
ፍሬ የሌለው ዜና,1
አይከብደውም,1
አይችሉም,1
አይፈቀድላቸውም,1
ጹሁፍ,1
ጁንታ,1
አይፈጥርም,1
የውጭ ዜጋ,1
እንትን,1
ልትዘፍን,1
አታምንም,1
ወጣ ያለ,1
ተራ ነገሮች,1
ጊዜዬን የማጠፋ,1
የማያስቡ,1
የማያይ,2
ያስደነግጣል,1
ጉዳይ,1
ስላልከው,1
መቼም አያልቅም,1
መረጋጋት አጣህ,1
ተራ ወሬዎች,1
የራሱ ያልሆነን,1
ስራን የማይወድ,1
ትህትና የሌለው,1
ወገንተኛነት,1
ልትደበቅ,1
ፈላጊ,1
መግደል,2
መሸነፍ,3
ደካማ,1
ማሳያው,1
ተደብቆ,1
ነፍስ ግድ,1
ፍርዱ,2
ስለት,1
ማጣት,1
ገዢ (ተገዢ),1
ማስመሰል,1
ጥቃት,5
ጎበዝ,1
ገለፅካት,1
ፍረዱኝ,1
ፈረንጅ,2
ቀጭን,1
ቅጥነቷ,1
ቦምብ,1
አህያን,1
እየመሰሉ,1
የተጠመዱ,1
እውን አንተ,1
እንተ የገበህ አይመስለኝም,1
ምን እንደሆነ ግንዛቤው ስለሌለክ,1
ማስረዳት መሞከሩ ትርፉ ልፋት ስለሆነ,1
ከበድ,1
ፈሪሃ,1
የእውቀት ወሬ የለም,1
የልመናና የእርዳታ,1
ያሳፍራል,1
እኩል,1
ተግኝተህ,1
ተገቢ አይደለም,1
ጎጠኝነቱ,1
አረፋ,1
ሰውዬ,4
ችግሩ,4
የለም,1
በጣም ነው የገረመኝ,1
የህዋሀት ደጋፊ,2
ሳይታጠብ,1
የባሰ,2
ጠረን,1
አንተ ላይ ይሁን,1
ወህኒ,1
አፀያፊ,1
አታዛነጋ,1
ስራ ፈት,1
ስራ አጥ,1
አበረታች,1
አሳሳቢ,2
የምትቸገር,1
ምንም አያፍሩም እኮ,1
ሰውዬው,1
አይችሉ,1
መጠጥ,1
አቅሽም,1
ይወተውታት,1
ጠጋ ጠጋ,2
ገለልተኛ,1
ዝምብለህ,2
የለ,1
መውራት,1
ምን ታረግ,1
አንተ ከገባህማ,1
ስህተቱ,1
እናገሩ አይመስልም,1
እንዴት አየከብዳቸውም,1
ይጨንቀኛል,1
የተሳሳተ,1
ማታለል,1
ታፈርሳለህ,1
ሠይጣን,1
ሕዝብ,1
አስፈላጊ,1
ማንንም ማታለል አትችሉም,1
ምንም የማያውቅ,1
እኔ አላምንም,1
እንደ ዓይነቱ ሰው,1
የማይመስል ምኞት,1
ሰከን,1
ለምንድነው,1
ትንሹ,1
የማይገባት,1
መች,1
ጠፋው,1
ጥቂቶች,1
እነዲይዙ,1
መሆን የለበትም,1
መጠግያየ,1
ውንጂ,1
መንቀሳቀስ,1
ተክዜ,1
ቃኤል,1
ይመልስ,1
ተቃራኒ,2
ያነተን ራሽናልነት,1
ማን ነበር ሲደግፋቸው የነበረው,1
የሰው ሀብት የሚወስደ,1
ነፍስ የሚያጠፋ,1
ፈጥራችሁ,1
የአዞ እንባ,1
ውጭ አስቀምጦ,1
አይዛቹ,1
የውሸት,1
ፕሮፓጋንዳ,1
ጠጥተሽ,1
ዋናዋ ሰካራም,1
መፀለይ,1
በውሸት ላይ,1
ጎጂ የሆኑ ነገሮች,1
እፍረት,2
ተቆርቁሪ,1
የምን ልጅና,1
ዋንጫ,1
አታቀውም,1
ደጋፊ,1
ነበር,2
ዞር ብለህ,1
እራስሽን እነ የምታወሪውን,1
የማላይበትን,1
ታች,1
ወርዶና ተዋርዶ,1
ኣሳቢ,1
እየተጎዱ,1
ከህዝብ ጋር ካለያያችሁ,1
ተፃራሪ,1
ከለከላቸው,1
ከባድ,3
ከጥቅም ውጪ,1
መተቸት,1
ጎጠኛ,1
አልጠብቅም,1
ይከብደኛል,1
ጠቅ ማድረግ,1
አለመወቃቸው,1
ትቆረቆራለህ,1
ምን አይነት የ ሰው ነህ,1
እኔ እሻልሻለው,1
አለመቻልህ,1
እንደሌለህ,1
ራስ ወዳዶች,1
ማሸማቀቅ,1
ሌት,1
ከማገልገል,1
ለተፃረረ አላማ,1
በውቅቱ,1
አይገርምም,1
ይበልጣል,1
ነበረ,1
ስብእና,1
ረስተህ,1
ንፁኀኖች,1
አድካሚ,1
አትችይም,1
አይደግፉትም,1
ዘሬ,1
ወነግ,1
ክፋት,2
አያውቀውም,1
ትተኸዋል,1
እኔንም ያስቁኛል,1
ጥርግ,1
ቧሊሏ,1
ሚያሳፍር,1
