uniq sequences,number appears
سمينة,13
قتل,5
اعاجم,1
يقتل,1
طفل,1
وحده,1
ساذج,21
none,212
يحاولون اخافتك,1
ما عمره بيتعلم,1
تطقطق,1
كارثة,1
الحقد,1
الحسد,1
الدلاخة,1
وبعده عن الدين,1
متحيز سياسيًا,1
يتظاهر,1
الصهاينة,2
يا له من سلام,1
خذوهم,1
عقلهم,1
حاسبوهم,1
الجهل,1
كابوس,1
سبك,1
شتمك,1
يموت,1
النزع الأخير,1
مات حلم,1
فقد الأمل,1
التنمر,1
التشمت,1
أزعلك,4
شبعنا كلام,1
خلصنا,1
معاملة سيئة,1
مجرمين,1
منافقين,1
اصحاب المصالح,1
عميل,1
مرتزق,2
ماتسوي شئ,1
تأخذ ضريبه,1
لا نبي فلوس اكثر,1
مثير للاشمئزاز,1
لا يتوافق,1
يعيب,1
الدرك الاسفل,1
مشكلة,4
سيئون,1
سلبيين,1
حسبي الله,14
الاخبار الكاذبه,1
الرعب,2
يسب,1
بزارين,1
مو محترم,1
أسوأ,2
شفتها بهذا الوجود,1
حوثيه,1
🤢🤢,1
غير لائقة,1
ساقطات,6
تخسر أولادك,1
مو عارف يوظف,1
ياكورونا,1
الغير حكيمين,1
فاشلين,14
تكالبو,1
تستنقص,1
متشدد,1
مثير للقلق,1
خسارة,1
حداد,1
غضب,1
يفترسكم,1
لست ذكيًا بما فيه الكفاية,1
شراء، الشعبية,1
تعبت,1
أكاذيبك,1
الخبث,1
الخبائث,1
هالاشكال,1
حسبي الله عليكم,10
اسمر,2
تقتل بدم بارد,1
بايدي ناس كنا نحسبهم وطنيين,1
مستحية,1
مليانة,4
غير مدروس,3
النرجسيون,1
ضايع,1
كذب,1
موت,1
ما ينطاقون,1
قديم,1
معندهاش تجديد,1
ساذجين,3
الاستخفاف,1
غير ذكي,1
الغير مناسبة,1
المسيئة,1
بالجفا,1
تقطعونه,2
القذارة,1
الرذيلة,2
تدمير,1
السذاجة,1
القاتل,1
رافع صغطي,1
تنتهك,2
ليس,1
لا أعتقد,1
لست واثقا,1
ضيقا,1
لم يكن ناجحا,1
لا يبدو وكأنه خاسر,1
الكيان الصهيوني,1
تضرب,1
عشوائي,1
الهجوم,1
غير عادلة,1
الغريبة المجنونة,1
غير مناسبة,1
تندم,1
سب,2
امه المتوفيه,1
فهمان,1
نكذبه,1
فاسدين,4
البذائه,1
النصيب الأكبر,1
مش راضي,1
تتكل,1
لا نريدك,1
بسيط,2
يعبثون,1
حقيقة,1
لم يعد لهم مفر,1
مع الإيرانيين,1
قصفتم,1
عحسبي الله,1
هز,1
سحب,1
سقط,1
يبكي,1
حصار,1
يعاني,1
احتلال,1
السجون,1
يهودي,1
النصر عليكم,1
تنصل,1
كلام وبس,1
حاقد,1
سخية,1
حظرتني,1
غير ناضج,1
يا فتاة,1
اذهبي,1
بنتخانق,1
ليست,1
مكانا جيدا,1
خسران,1
منهار,1
العيد,1
اشوف امثالك,1
العصملي,1
لا تهتم,2
هطف,1
احاسبك,1
ذي الكلمة,1
الأشياء الخاطئة,1
بريء,1
الخاسرين,1
يسيئون الظن,1
لا يستحقون,2
لست شجاعا,1
منت حق كوره,1
حكم ظلم,1
حسبي الله و نعم الوكيل,1
يجيك الدور - implies a negative or threatening situation,1
لا يحبك,1
اسباب الدمار,1
بخيمة,1
منشان,1
يأخذ,1
بلنتي,1
الكل عرف الا انت,1
رخيصه,2
ما يهمك,1
مات,2
السياسه,1
السياسيين,2
قنبله موقووته,1
ليسوا أذكياء,1
شر,1
حسودهم,1
شياطين,1
الاختباء,1
فلاحين سُمر,1
ع الديق,1
جرارين,1
كذبه,1
لعبه سياسه,1
تجرؤ,1
ضحوا,1
لستم أذكياء,1
يشرمها,1
سيئة,5
مسكناه,1
إعدامه,1
مضحك جداً,1
يعايرون,1
يحلمون بالسفر,1
جاهل,2
للأسف,3
جهلة,1
لا يفقهون,1
بمصاري,1
مانتي مليانة,1
ما تفكر,1
الغلط,1
هبد,1
تضحكون,1
غازيا,1
بيوت الدعاره,1
الشذوذ الجنسي,1
لا,1
جد,1
العار,2
اتباع الإيرانيين,1
فسادا,1
مزايدة,1
الشيوعيين,1
ملزمون,1
غبيون,1
قصير,5
مافي خير,1
انت,1
عيطلك,1
خليك فى حالك,1
بدون تربية,1
طاح,1
السبب,1
طفيتيها,1
يرحم أبوك,1
تهدد,1
ياويلك,1
اتقي الله,1
مقتل,1
مجرم,2
اغتصب,1
عويل,1
يقسو,1
المتهالك,1
سيء,3
مفلسة,1
الرحيل,1
اعداء الله,1
ورسوله,1
اللهم ارينا فيهم عجائب قدرتك,1
عاجلا غير آجل,1
مقبوله,1
الفاسدين,2
الظالمين,1
فاسد,3
صح النوووووم,1
ليش مادعيتونا,1
مواجهة,1
الاستعمار التركي,1
متسولون,1
اصحاب فتن,1
يبيعون ارضهم,1
وشرفهم,1
وضمائرهم بأي ثمن,1
يعاقب,1
متسولين,1
مش نافعين,1
مبتدئ,2
بالغلط,1
الفاسدة والفاشلة,1
اهمالكن,1
فسادكن,1
سافله,1
دمر,1
ضحايا,1
مفقودين,1
مثل أبيك,1
جهلكم,1
بكفركم,1
قصار,2
يموتون,1
يفلت,1
متعرفش,1
عاوز يحط رجله,1
بأي طريقة,1
حب يجرب القوة,1
عقل,1
ضربه,1
ليست الأفضل,1
ضاعت,1
ببلاش,1
يستخف,1
تقطع,1
هههههههه,1
يرحم امك,3
متطرفون,1
صلعت,1
كسرها,1
يبيع ارضه,1
الإيرانيين,1
معادي,1
حربكم قتل ضعيفة,1
ورطه,1
لا تثق ابدا,1
أمثالكم,1
