uniq sequences,number appears
islamischen barbarei,1
schlecht,10
hartes klopapier,1
rot,1
kapiert es nicht,1
wollen keine #asylbewerber,1
schwierigkeiten,2
alimentiert,1
islamisierung,5
abwählen,2
krankheiten,1
überhaupt untersucht,1
zu uns lassen,1
leugenachtige,2
beroepspolitici,1
zakken vullen,1
muschpoke,1
davonjagen,1
wegnehmen,1
verschwinden,3
fake-news,1
verantwortlich,3
geen toegang,1
alleenstaanden,1
asylbewerber,11
tierasyl,1
linke anarchisten,1
endlich mal durchgegriffen,1
alle gutmenschen,1
rentnerin ins gefängnis schicken,1
beschadigen,1
egal,11
spielt vor,1
unsinn,4
schon gar nicht die einwanderer,1
none,96
fakenews,2
naiv,20
auszubeuten,1
bremsen,1
göbbels,1
himmler,1
schlechte,3
schwachte,1
herumführt,1
machtverlust,1
unfassbar,2
prügelt,1
verlogenen politikern,1
kriminelle,4
#asylbewerber-welle,1
höhlen,1
nicht richtig nachdenken,1
sind geklaut,1
mag nicht,1
bauern,1
probleme,4
raus,5
ab dafür,1
verdammt nochmal,1
einwanderer ohne rechte,1
terug,2
iedereen,1
keine ahnung,3
nur ein paar euronen,1
nebenbei verdienen,1
haut doch nicht ab,1
angelegenheiten,1
linker lügner,1
ungebildete,2
empört,1
türke,1
nichts wichtigeres,1
linker anarchist,1
einsperren,1
übergangen,1
keine volksentscheidung,1
nicht wählerwille,1
sitzengeblieben,1
nicht geeignet,1
hetze,3
schuld,5
ignorant,2
stetigen menschlichen abwärtsspirale,1
raub,1
mord,2
vergewaltigung,2
strafe,2
abschiebung,2
keiner,1
offen,1
registriert,1
interessiert niemanden,1
peinlich,2
ungeeignetste,1
belästigung,1
flüchtlingsfrauen,1
flüchtlingsheimen,1
vorfälle,1
refugees,1
moslems,2
heulst,1
ohne kontrolle rein,1
ignoriert,3
pubertierende,1
offensichtlichen lügen,1
unmöglich,1
linker,3
solche leute,3
invasion,1
kulturell inkompatible gruppe,1
verbrecherischer,1
triebgesteurt,1
