uniq sequences,number appears
done,3
insane,4
none,300
revenge,2
inappropriate,3
bad,42
harmful,1
hard,4
not smart,3
unsuitable,3
unaware,1
go away,5
sending people home,1
cared,2
lack of understanding,1
showing again,1
don't care,6
doesn't care,2
racist,2
vigilantes,1
bad people,1
limits,1
funding,2
arming,1
bin laden,1
punishable,1
firing,1
messed up,8
nonsense,6
sorry,1
wrong,16
ruin,3
lying,2
wars,2
waged,1
your hero (in a sarcastic context),1
tragedy,1
attention,1
misspell,1
insecure,1
genital organ,1
naïve,2
chaos,1
punish,1
aggressors,1
cold blood,1
persecute,1
talking bad,1
supplying weapons,1
lies,3
ignorant,3
baffle,1
improper,1
reported,1
dense,1
mess,4
unpleasant,17
walk away,1
poor,5
bullied,1
didn’t care,1
over hunting,1
dont care,1
sanctimonious,1
moralizing,1
stolen,1
sad,6
lonely,1
unintelligent,3
arrogant,2
up himself,1
treats badly,1
incorrect,1
spoil,1
needs to be put in his place,1
mess up,2
worst,5
richer,1
not well informed,1
rips off,1
abusing,2
tired,3
take a hike,1
ban,2
wish,1
kicked,1
get rid of,1
lacks,1
stopped,1
still talking,1
no idea,1
incompetent,4
mannerless,1
don't,5
cult,2
blame,3
lose my temper,1
crazy,4
barely,1
bad guy,1
how dare you,2
innocent,1
who cares,4
republicans,1
pcp,1
violent,2
ebola,1
not,4
mistakes,3
poverty,1
doubtful,1
embarrassing,1
destined,1
repeat,1
untill we die,1
rarely,1
care,6
fired,1
really,1
use,1
power,1
farce,1
complained,2
making it all up,1
dishonest,1
assaulting,1
calling him names,1
fabricating stories,1
naive,4
liars,2
bad words,1
inappropriate names,1
out of touch with reality,1
better,1
than him,1
locked,1
up,1
hatefully,1
tear down,1
blames,1
should not have,1
waspy,1
bad things,2
no minority,1
intolerant,1
destroyed,2
bankers,1
lobbyists,1
congressmen women,1
nsa,1
big corp,1
expensive healthcare,1
crash,1
issue,2
don't have an idea,1
forget,1
missiles,1
launching,1
overthinker,1
tough,2
not being helpful,1
cowardly,1
invade,2
wouldn't be able to do anything,1
risk,1
power hungry,1
justify,1
loud,1
forgot,1
way before,1
bad person,2
afraid,1
unwise,2
steps out,1
gets absolutely destroyed,1
deserves,1
suffering,2
subjected,1
not acceptable,1
ignorance,1
mean,6
whatever,1
clockwork orange,1
thing,1
scared,1
retarded,1
disappointment,1
price gouging,1
serious,2
unsatisfactory,1
two faced,1
confront,1
revert,1
stay away,7
corrupt,2
lied,1
foolish,1
anything,1
cover,1
deal,1
disqualify,1
intermixing,1
blocked,4
fact,1
puffing up,1
blowing smoke,1
aggrandizing,1
few accomplishments,1
hrassing,1
total waste,1
rude,5
pushing,2
agenda,1
instead of being neutral,1
forced,1
brutal,1
destroy,1
destroying,1
get out of the number th century,1
punished,2
severely,1
war crimes,1
murder,3
stop,12
acting like this,1
are you his mom or something,1
hurts,1
character,1
not of high quality,1
slanderous,1
upsetting,1
not nice,1
sink,1
self-centered,1
not useful,3
forcefully,1
attack,2
double standard,1
leave me alone,2
stalk,1
so-called,1
not the smartest,2
cp,1
not good,4
don't like,4
self-respecting,1
hateful,1
bureaucrats,1
keeps adding zeros,1
open their mouths,1
at risk,1
get a life,1
kid,1
black people,1
sue,2
old lady,1
more interested,1
instead of trying,1
keep quiet,2
vandalizing,3
mistake,1
get,1
nerves,1
war,1
real prison,1
problem,6
never leaves me alone,1
enemy,1
self-righteous,1
pretentious,2
consequences,3
incredibly bad,1
reprehensible,1
abusive,1
unfair,1
can't,4
unfairly,1
weak,1
isn't good,1
take themselves back to their country,1
worthwhile,1
quiet,1
complain,1
monkey,1
against,1
wage war,1
hate,3
inconvenient,1
never,3
slow,1
silly,1
super aggressive,1
missed,1
vandalism,3
don't matter,1
waste,1
deconstructing,1
effusions,1
cops,1
doesn't taste good,1
these feminists,1
think they are,1
don't know,1
worse,4
own all the money,1
weird,1
rob,1
jail,3
starve to death,1
no knowledge,1
buy into,1
stuff,2
msm,1
not meaningful,1
no one really cares,1
on you,1
affecting,1
passed away,1
glad,1
twice declined,1
drunk driving,1
not pleasant,2
criminal,1
desecrate,1
don’t care,1
terrorism,2
sick assuming paid,1
minorities don't like uphold,1
murdering,1
got away,1
doesn't do anything,1
escaped,1
angry mob,1
illogical,1
reverting,1
not have a clue,1
fatuorum,1
bribery,1
throw,1
bright,1
arrogant unfortunately,1
manufactured,1
upset,1
annoy,1
speculation,1
dull,2
not qualified,1
freak out,1
random,2
just,1
get out,2
biased,2
filled children,1
too busy,1
drinks and drives,1
barbarian,1
gooks,1
removed,1
even,1
torture,1
philosophy for teenagers,1
dead,2
not clever,1
useless,2
do not support,1
that's that,1
mind their own business,1
away,1
refuse,1
ditching,1
badly,2
spook,1
can't see you,1
getting any action,1
let off,1
meaningless,5
forgive,1
rich,1
thinking they are the better,1
going to jail,1
masculine,1
darwinism,1
more knowledgeable,1
inherit,1
shot,3
dark,1
warning,2
supports hitler,1
out of towners,1
dropping bucketsey,1
suicide bombings,1
dislike,5
those,1
joke,2
extremely played out,1
not funny,1
bloated,1
political cohorts,1
mexican,1
liable,1
break,1
shouldn't touch,1
selfish,2
punking,1
careless,1
hinder,1
needed white people,1
hinder people of color,1
not so intelligent,1
establish this fact,1
bunch,1
target,1
police state,1
wake up,1
god,1
filled,1
ads,1
neo-nazis,1
defending (in this context),1
berates,1
deleted,2
again,1
accusatory,1
ignore,3
attacking,1
censorship,1
non reporting,1
bad decisions,1
bound,1
determined,1
start a civil war,1
nothing,2
means nothing,1
vandalized,3
the chinese,1
not normal,1
force,1
intolerable,1
fight,1
ranting,1
outrage,1
lacks credibility,1
the same goes for you,1
bad street,1
dangerous,1
fatal,1
accident,1
execution,1
for god's sake,1
send that person to the chair,1
overreacting,1
propaganda,1
blindly,1
dire consequences,1
blowing things up,1
tiresome,1
manipulating,1
overwhelming,1
repugnant,1
non essentials,1
inflammatory,1
victims,1
pretending,1
still at it,1
thats what they do,1
sabotage,1
damage,1
tolerant,1
foster hate,1
death penalty,1
scaring,1
not a nice person,1
denigrating,1
cheap,1
very bad quality,1
not so good,2
belittling,1
tinfoil wearing,1
tax evader,1
trouble,1
not appropriate,1
not mature enough,1
no idea of business,1
lacks ability of forward thinking,1
of all time,1
complaining,1
oversimplified,1
coming on here,1
saying all these things,1
self selected,1
as if it were a real statistic,1
loads,1
offshore,1
hidden,1
smart accountants,1
lost,1
intense,1
out of your mind,1
no clue,1
vandalize,2
bother,2
