uniq sequences,number appears
none,392
frustrada,1
castigar,1
frustración,4
ataque,1
saqueos,1
duele,1
tipo,3
insignificantes,1
racistas,1
régimen,1
habladera,1
dejando mal,1
vergüenza,5
regalado,1
duela,1
malgeniado,1
nudes,1
afecte,1
sériales,1
pistola,2
chao,1
heavy,1
merecido,1
defecar,2
molesto,2
burlan,1
echen la culpa,1
criminal,1
resisto,1
llorando,4
problemas,6
error,2
innecesarios,1
limitada,1
adormecido,1
demeritar,1
arruinar,2
decepcionante,3
mejor manera,1
bloquearon,1
ridículos,1
bajeza,1
muerto,1
dudosa reputación,1
da risa,1
no tienen ni idea,1
corruptas,1
abusos sexuales,1
desastre,1
bloquear,2
molesta,8
denunciamos,1
echaron,1
culpa,2
socialista,1
izquierda,1
no somos independientes,1
nacimiento,1
papel,1
odio,1
abandones,1
mala,18
viejo,2
malos,5
harta,1
vida,1
caos,2
muerte,1
ingenuas,1
incómoda,1
desagradable,1
consecuencias,1
fina,1
pesitos,1
nadie,2
sin suficiente valentía,1
desconsiderado,1
insoportable,1
aprendiz,1
intenta transferir,1
dejan,1
covid,2
ubicación,1
enoja,1
matando,1
mal,17
contrario,2
enojar,2
tomen a la ligera,1
perdí,1
hinchados,1
quilombo,1
trizas,1
ninguno,3
problema,5
absoluto,1
morir,1
celosa,1
llevados,1
pésimo,1
pierde seriedad,1
coquetear,1
sujeto,2
destruyó,1
mil pedazos,1
arrogancia,1
harto,3
insoportables,1
molestarloz,1
romperse el lomo,1
no fuiste capaz,1
mal humor,2
preocupa,1
entendido,1
cara,1
peor,6
mirar chicas,1
deje de hablar,1
en eso si son buenos,1
habla sin saber,1
irresponsablemente,1
juego,1
inmunes,1
no sirve,1
avariciosos,1
despreciable,2
irte,1
horrible,2
insomnio,1
solo,2
bien,1
destrozan,1
cualquiera,1
crímenes,1
violencia,2
molestar,6
desilusionó,1
corrupto,2
obligatorio,1
no quiero,1
ninguna,1
sufro,1
sufra,1
paja,1
se me parte,1
m corto todas,1
lamentable,3
atacando,1
malo,8
desquiciada,1
largarme,1
cambio,1
cansada,1
muertes,1
historial,1
cárcel,3
coraje,1
spoilers,1
no se esfuerzan lo suficiente,1
caro,1
chavomadurista,1
😡,1
raro,1
reclama,1
constantemente,1
perdiendo el tiempo,1
despertaron,2
no saben lo que les vienen,1
aplazamientos,1
esta cosa,1
no compatible,1
locos,1
tiembla,1
corre,1
tomarte,1
parte posterior y baja de tu cuerpo,1
de esa manera,1
fastidio,4
prendemos,1
no entender,2
miedo,2
embriagarme,1
quemar,1
no,3
son,1
buenos,1
enfrentarlas,1
puntos débiles,1
expulsaba,1
luto,1
muero,1
nada,4
no me gusta,1
desgaste,1
costar,1
despiden,1
emborracho,1
cometieron,1
crimen,1
rajaron,1
rabia,2
ignorado,1
dañar,1
metiendo terceros,1
encerrar,1
imprudentes,1
dejas,1
tristemente,1
avergüenza,1
atrapados,1
conservador,1
pira,1
personaje,2
agredir,1
merezco,1
lo peor,1
bloquea,1
culpar,1
no entendéis,1
llevadas al extremo,1
celos,1
muerta de la risa,1
hundimos,1
olor a axila,1
sexo,1
indigna,1
falsos,1
doble cara,1
amenazas,2
furibundas,1
extrema derecha,3
jaja,1
burlándose,1
tirando molotov,1
embriagado,1
cometer errores,1
santo,1
actitud,1
frio,1
cansado,4
complicado,1
renunciado,1
arrepentir,1
tumbas,1
agotando,2
no tiene que hacerlo,1
inconsistente,1
denuncias,1
enfurece,1
ultranacionalista,1
mucho,1
tensa,1
limpiar,2
ocupando,1
zasca,1
bolivariano,1
queja,2
mal escritos,1
nunca,4
aprovecharse,1
molestando,1
no gana,1
mato,1
matan,1
diversión,1
imposible,1
extrema izquierda,1
anarquista,1
prendo fuego,1
todo mal,1
así,1
estropearon,1
malisimo,1
pereza,1
tirar dinero,1
dificulta,1
no quiero contigo,1
me da igual,1
gratis,1
sin importarle,1
dejan de alabar,1
pegue,1
paipe,1
weta,1
droga,1
bandas criminales,1
construcción,1
todo el año,1
alcohol,1
prejuicios,1
vaina,1
injusta,1
verguenza,1
malograrme,1
dañada,1
enfermedad,1
mandaba,1
indebido,1
se limpian las manos,1
daño,5
penado,1
enojada,2
engordar,1
tapón,1
no soy suficiente,1
me lo recuerden constantemente,1
todo,1
hizo,1
demandas,1
castigos severos,1
juzgando,1
tirarle,1
muere,1
descuidada,1
no se quieren ni un poquito,1
golpe de estado,1
oxidado,1
preocupada,1
tentación,1
mute,1
sin laburo,1
córtenle el tw,1
quiere,1
incómodo,2
cállate,2
patera,1
cambian de identidad,1
burla,1
políticos,1
sentimientos,1
callar,1
sufriendo,1
poco informadas,1
manía,2
pobret,1
infamia,1
sin ropa,1
venenosos,1
ansioso,1
excesiva,1
discutiendo,1
preocupante,1
gestión,1
bajón,1
botan,1
enfadarse,1
sin respeto,1
no le gusta,1
no entiendes,2
qué te pasa,1
mongolo,1
barbaridad,1
hipócritas,1
países en desarrollo,1
políticos simpatizantes,1
exagerado,1
chepas,1
boikot,1
infierno,1
ocasionados,1
menos mal,1
cuatro gatos,1
chinos,1
tirarte abajo,1
sin licencia,1
ni siquiera,1
baño,1
parcializado,1
ilegales,1
justicia medieval,1
terrorista,1
deriva,1
preocupación,1
eres mía,1
enojo,1
travesos,1
travesuras,1
zozobra,1
no tiene sentido,1
ningún gasto,1
desilusiona,1
monguers,1
mafia,2
progres,1
efecto llamada,1
fascistas,1
hueás,1
robotización,1
adoctrinamiento,1
ningún,2
buena,2
conmebol,1
manipular,1
vil,1
pena,2
qué clase de gente,1
peste,1
asqueroso,1
tenían que ser,1
bilis,1
patológico,1
ilegal,2
delicuncial,1
usurpante,1
na,1
robó,1
robará,1
jajaja! xd,1
no catalán,1
comunista,3
fake,1
bromas,1
jamás,1
dejen,1
personas como éste,1
andate,1
olvidate,1
rudo,1
👿,1
votar,1
sin educación,1
groserías,1
se oponen,1
disfrutar la vida,1
top furcia,1
apocalipsis,1
ex_marido,1
sinvergüenzas,1
irrespetuoso,1
rumana,1
forrando,1
democrática (used sarcastically),1
aliado,1
contradictorio,1
inválido,1
dogmatismo,1
falta del sentido común,1
elemento,1
cuesta,1
no es natural,1
riesgo,1
cadáveres,1
joder,1
cadeser de razonamiento,1
podemita,4
quisiste imponer,1
mala organización,1
no pudiste,1
propaganda,2
dictadura,1
débil,1
horror,1
contraste,1
ofender,1
sospechar,1
fachas,2
asco,1
loco,2
sobrevaloradisimo,1
dar pena,1
comediante,1
rojos,2
innecesario,1
boicot,1
provocando,1
basta ya,1
delitos,1
no te defiendas,1
invasores,1
regalarles dinero,1
machistas,1
desprecian,1
cerrar,1
ineficiente,1
protegendo,1
destacados,1
molestarme,1
cuidado,1
escaso,1
hipócrita,1
su salida,1
mas rápido que su nombramiento,1
expulsar,1
no ser normal,1
'importa' in this context,1
tu no sabes lo que es,1
cargamento,1
necesitamos,1
asegurar,1
creyéndose los reyes,1
lesiones graves,1
enfado,1
no soporto,1
franquismo,1
manada,1
quejaros,1
no te sale bien,1
payasada,1
inconciente,1
robar,1
vomitar,1
apariencia,1
reducidos,1
rabiar,1
pp,1
toleran,1
afecta,1
basta,1
terrible,1
hembrismo,1
depresión,1
olvidarnos,1
envenenan,1
eso,1
mujer,1
no quieres,1
bastantes,1
decente,1
cambiar de profesión,1
pretende,1
izquierdas,1
cultura del odio,1
justificando,1
desgastan,1
salvar,1
ridiculous,1
espumajaros,1
sudamericano,1
mentiras,2
ablandaron en exceso,1
boliviano,1
traición,1
no se perdona,1
inapropiada,1
molestia,1
paguita,1
irse,1
no son honrados,1
vencer,1
delictivo,1
político,1
silenciarme,1
preocupo,1
vendiendo corbatas en los bares,1
capacidades diferentes,1
burguesa,1
okupas,3
graves disturbios,2
recurre,1
no eres refinado,1
confundas,1
dictadores,2
nada que celebrar,1
comunistas,1
asumen,1
ultraderechista,1
asusta,1
incultura,1
españistán,1
equivocado,1
extremistas,1
desaparezcan,1
prisión,1
condena,1
deportación,1
dispara,1
grita,1
no les permitirá,1
extraño,2
españolazo,1
coaccionando,1
secesionista,1
expulsado,1
cosas de hippies,1
arruinandome,1
sureñito,1
petrista,1
inapropiadas,1
rayao,1
no le des publicidad,1
gringos,1
