uniq sequences,number appears
बेकार,79
अरेस्ट,1
कड़ी कार्रवाई,3
तेरी अजेंडा,1
डाल के छोड़ेंगे,1
बेवकूफ,9
बर्बाद,4
none,155
तमाशा,18
मचाया,1
रोना,2
भाड़ में डालो,1
बुरा इंसान,1
शंका,1
तू,14
हो नहीं सकता,1
मारते,2
बुरी तरह,2
मुश्किल,2
गलती,4
हारे,1
खामोश,2
कुछ भी बोलते,1
अंधभक्त,2
शाषन,1
बुरे,84
बुराई,3
पक्षपात,11
पक्षपाती,13
गाली,5
नहीं दिखा,1
गुमराह,1
बर्दाश्त नहीं,1
आतंकवादी,1
बहिष्कार,1
जबर्दस्ती,1
झुका रहा है,1
भाग,6
समझे,2
नही,5
अच्छे लोग नहीं,1
परेशान,5
लायक नहीं,1
हद,3
खिलाफ,2
बुरा भला,2
पैदा होते हैं,1
राजनीति,2
बिका हुआ,1
हिफ़ाज़त नहीं करेंगे,1
,1
चेतावनी,1
देशद्रोही,1
मरे,1
जबाब दो,1
वहिष्कार,1
बुरा,20
मादा सम्भोग,1
मर जाना,1
अच्छा,1
तेरे,4
अबे,16
गुरुर,1
तोड़,1
बलात्कार,1
आरोपित,2
सुधार देंगे,1
अधिकार नहीं,1
धर्म विशेष,1
बिका,1
बिकाऊ,2
अपमान,3
शर्म ना आया,1
कलंक,2
बुरी,15
औरत,4
शर्म आनी चाहिए,1
चापलूसी,7
सो गया,1
ज़मीर,1
ठिकाने लगाए,1
चला,1
सिखाने जुबानी,1
चुप कर डालें,1
चुप कर,3
बुरी औरत,4
सिखाओ,1
सबक,1
बतमीजी,1
रिश्वत,1
बिकी हुई,2
शरारती तत्व,1
बर्दाश्त,1
पार,1
कोर्ट,1
कानून,1
एक्शन,1
बे...,1
छिपकर,1
बकवास,4
गिर सकता है,1
झूठी,2
दुष्ट,2
छेद करते हो,1
भीख मांगने,1
हमेशा आगे,1
ख़ुश करने,1
बदलवा दो,1
निकलो,1
चापलूस,10
गुलाम,1
तुम्हारा मूड खराब,1
ताली मारने को बैठै रहते हैं,1
होश नहीं,1
निकल,4
बुरी तरह शांत कर दिया,1
फ़टी,1
रे,1
हार चुका,1
ज़ुल्म,1
हरकत,2
ख़राब,3
चुप हो जा,2
चिल्ला,1
क़त्ल,2
फूफा,1
गलत काम,2
तकलिफ,1
फर्जी,3
विपरीत,1
जाहिल,1
अपहरण,1
मिर्ची भरे,1
लालची,2
मारा,2
अंधभक्तों,1
बुरी हरकत,1
हारना चाहिए,1
मार,4
चुडिया पहन कर बैठ गया,1
अंजाम अच्छा नहीं होगा,2
एजेंडा,1
मर्यादा भूल जाते,1
बिगाड़,1
ढोंगी,4
हंगामा,1
मार डाला,1
जिताया,1
विकास,1
मजाक उड़ाते हुए,1
अच्छा आदमी नहीं,2
भूखे छोड़ दो,1
पागल,2
दारु,1
रईस,1
लुटा,1
सुन,2
गलत,11
समर्थन,1
घटिया,2
बाप,2
गुस्सा,2
नहि,2
नौटंकी,4
थप्पड़,1
जूता,1
बुरे आदमी,5
तेरा,3
स्तर नहीं,1
शर्म,6
जानवरों,1
सुधार नहीं सकते,1
मना,1
तेरी,4
बदनाम,7
पागलों,1
बेचैन,1
