uniq sequences,number appears
нормальных женщин,1
по другому рассуждать,1
не хватало,1
none,213
бритого,1
минус,1
ерунду,3
смешно,1
блин,2
убирайте,1
надоела,2
покинет,1
глупых,1
надоели,9
ругаете,1
нокаут,1
убежали,1
фи,1
отстаньте,2
вирусом,1
несёте чушь,1
убил,4
отрицает,1
уезжать,1
быстро,1
не успокаивается,1
посадить,5
игнорировать,1
уся,1
слезно,1
выпрашивает,1
плохие,6
завалить,1
предал,1
плохой,15
невесело,1
упразднил,1
не точто,1
не имеет права,1
зомбированная,1
агрессивных,1
бедный,2
ненависть,1
взяла,1
человек без морали,1
бандитов,1
трогаете религию,1
наказывайте,1
нарушает,1
совсем с ума сошли,1
загнаться,1
травля,1
не умна,1
срочно,1
надоело,2
нет,5
жалко,1
полицию,1
надо,2
не даром,1
пустослов,1
приелся,1
вцепился,1
корыто,1
позорник,1
такие как ты,1
дорожает,1
завидуйте,1
неприятные,2
подставляешь,1
наказать,14
глупцов,1
преднамеренно,1
угнетает,1
властный,1
ни о чем,1
масла в огонь,1
не стыдно,2
наживаются,1
плох,1
вообще,1
не нужен,4
зачем,3
такие люди,3
загорелось,1
разрушило,1
лишним весом,1
глупым,1
страдают,2
таких людей,3
открывает свой рот,1
войну,2
наказывать,8
убили,2
увласти,1
сидят в думе,1
отменил,1
проплаченных,1
не работать,1
нервировать,1
укусит,1
разорется,1
виновата,1
глупо,2
нельзя,1
не достойно,1
отталкивает,1
странных,1
цепляешь,1
не угодишь,1
сдулся,1
лег,1
не встал,1
не так,2
обзываешь,2
сам такой,1
с ума сошли,2
канализацию,1
не в себе,1
исключить,1
неслабо,1
забашляли,1
родственнички,1
дружки,1
наказала,1
судят,2
хотят выростить,1
запугало,1
бегают,1
демократией,1
спец места,1
фейк,1
неукладывается,1
такие,1
провокатор,2
провокационные,1
умники,1
западным шаблонам,1
какой,1
придумывает,1
угробить,1
повыделываться,1
погибают,1
ерунда,4
ничего,2
все равно,3
докопались,1
плохих,7
бездействует,1
либеральной партии,1
конец,2
ленивый,1
волновать не должно,1
поработал,1
аферистов,1
обманывают,1
судить,2
чудо,1
пресекать,1
не особо умный,1
заглушены,1
визгом,1
нищие,1
доедают,1
феминистски,1
некрасивые,2
дурь,1
макак,1
потерять,1
не прав,1
о чём можно с тобой,1
ужасен,1
нелеп,1
виноват,1
жестокая,1
глупости,1
призываешь,1
навязывай,1
вечно,1
компромисса нет,1
к стенке,1
нужно ставить,1
опущен,1
ниже некуда,1
врешь,1
драку,1
тюрская кровь,1
интеллигент,1
забыть,1
недураки,1
вылезет,1
оскорбление,1
безнаказано,1
плохие люди,2
возмездие,1
убрать,2
разогнать,1
нервничает,1
отношение ненаказуемо,1
не нужны,1
невозможно,2
поговори,1
долетались,1
неугодил,1
нехороший человек,1
лезть,1
отсюда,2
совсем того,1
прикрепил кота,1
не умная,1
распродали,1
враньё,2
чушь,3
вранье,2
бедным,1
воровали,1
не разрешать,1
больше,1
позорит,2
предателем,1
растащили,1
прожиточный минимум,1
не осознавая,1
поступать (in a negative sense),1
лениво,1
бакланить,1
ужас,5
творят,1
поднимают руку,1
клянут,1
диванные бойцы,1
вы с ума сошли,1
непойми что,1
выйди,1
взяли,1
плохо,5
таких,5
уходите,2
нагуляется,1
совести,1
таким женщинам,1
олигархи,1
уничтожили,1
противостояние,1
толпа,1
пьяных,2
дебоширов,1
приписывай,1
шоке,3
не чувствует,1
разрез,1
заплатили,1
протрезвел,1
будет выкручиваться,1
деньги тянуть,1
хитрые,1
преступников,1
глупыми,1
непонятно во что,1
раздают своим,1
катится страна,1
сидит,1
никак не поймут,1
террористов,1
истребляют,1
коррупцию,1
трудная,1
зря,1
не нужна,1
не умеют работать,2
хорошо что ты водила маршрутки,1
не понимаю,2
клонируют,1
чужую,1
самого этого государства,1
потеряла,1
не заслуживает доверия,1
нагло,1
украли,2
ни отдаешь свои материалы,1
ложь,1
глупые,3
неправда,1
врет,1
ни о чём,1
орать,1
нечего,4
адмистрация,1
это к вам,1
кошмар,1
поведение,1
этого человека,2
проблем,1
законы,1
гордись,1
ужасно,1
дурят,1
налог,1
либералы,1
воду мутят,1
хотят америку устроить,1
это лицо,1
палач,1
сказочно,1
нет другим месте вести такие разговоры,1
ненавижу,1
презираю,1
врагам,1
не верила,1
не доверяла,1
москвичей,1
вывести за грань,1
