uniq sequences,number appears
гулящих дівок,1
цирк,2
глупі,1
жінки,2
жахливо,1
жах,8
пошлю,1
ногами били,1
none,337
бєспрєдєл,1
погану,1
нафiг,1
вигнати,1
нісенітниці,4
расистський,1
йдутьу куди подалі,1
напиватися,1
доторкнутися,1
байдуже,6
тупим,1
вмерти,1
тріпати мозок,1
погано,13
фігня,4
самотні,1
городити дурницю,1
жахливо неграмотними,1
підгорати,1
казна-що,1
посилати,1
нафіг,1
непотрібної,1
не шарю,1
залякані,1
збайдужілі,1
страхом,1
какати,1
перестану (stop),1
байдуже (indifferent),1
відкрий рота,1
повиривати волосся,1
жінкам легкої поведінки,1
ідіть звідси,3
дурити (deceive),1
нісенітниця,6
погані,5
зноситися,1
поганою,3
міні-інфаркт,1
злягаються,1
бояться,1
накатати,1
бабла,1
все одно,4
безсердечна,2
далеко,2
бісить,4
чорт,2
вибішує,1
було,1
йди звідси,1
не добра,1
зіпсувала,1
тараторять,1
не потрібні,1
продається,1
гроші,1
стукаюсь,1
таскають,1
100500 раз,1
не вміють,1
норм кохатися,1
погана,8
не дадуть,1
бороти корупцію,1
вкради,1
позбавляти,1
божевільним,1
несамітницю,1
веди,1
завжди все одно,1
окупації,1
фiгню,2
лагає,1
депресія,1
поганий,12
злий,1
нічого,2
нада,1
злочин,1
безбожно,1
брехати,1
надурила,1
блин,1
гадити,1
олігархічного беззаконня,1
ненавиджу,2
факт існування,1
безглуздя,1
бєдних,1
померти,1
помилився,1
тікайте,1
села,1
не розумiю,1
карму,1
жінко,1
втікти,1
негайно,1
не розумна,1
нудне,1
чудний,1
так ну його,1
редиска,1
прокляття,1
надавати,1
маячня,2
ніхто не торкався,1
зіллє інфу,1
злить,1
зовсім не хеппі,1
дивний,1
порвані,1
поранивши,1
нісенітницю,3
вирок,1
біда,1
не поганих,1
бреше,1
напастой,1
ніяка,1
капець,2
ужас,1
зла,1
чомусь,1
мозком,1
знущання,2
йди геть,1
бити,3
треба,1
тараторіла,1
зіпсувати,1
погане,5
