Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
a,1.0,a,8.0,AfD,1.0,negative,430.0
accusatory,114.0,accusative,5.0,Grün,1.0,critical,344.0
advisory,1.0,accusatory,81.0,Team,1.0,informal,341.0
aggressive,138.0,admonishing,1.0,accusative,1.0,informative,231.0
"aggressive,",1.0,advisory,2.0,accusatory,3.0,accusatory,198.0
agitated,1.0,aggressive,40.0,aggressive,11.0,aggressive,189.0
alarmist,8.0,alarming,1.0,amused,1.0,hostile,156.0
angry,6.0,alarmist,2.0,an,1.0,sarcastic,148.0
argumentative,1.0,analytical,1.0,anger,3.0,derogatory,142.0
assertive,40.0,anecdotal,1.0,angry,3.0,dismissive,120.0
"assertive,",1.0,argumentative,3.0,annoyance,2.0,colloquial,96.0
authoritative,1.0,assertive,25.0,another,1.0,neutral,73.0
benevolent,1.0,authoritative,3.0,antagonistic,6.0,assertive,65.0
casual,13.0,bias,3.0,at,1.0,provocative,60.0
cautionary,1.0,biased,45.0,authoritarian,1.0,confrontational,54.0
celebratory,1.0,blaming,2.0,biased,1.0,disapproving,46.0
challenging,1.0,blunt,2.0,blameful,1.0,biased,46.0
cheerful,1.0,but,18.0,casual,4.0,disparaging,44.0
colloquial,1.0,casual,16.0,cautionary,2.0,inflammatory,37.0
commanding,2.0,"casual,",1.0,charged,1.0,opinionated,37.0
comparative,2.0,charged,5.0,complaining,1.0,mocking,35.0
concerned,1.0,coercive,1.0,concerned,2.0,judgmental,34.0
condescending,9.0,colloquial,95.0,condemnatory,1.0,casual,33.0
confrontational,15.0,"colloquial,",1.0,condescending,5.0,frustrated,32.0
contemptuous,1.0,commanding,6.0,confrontational,2.0,emotional,31.0
contentious,1.0,condescending,2.0,conspiratorial,1.0,discriminatory,26.0
critical,111.0,confrontational,37.0,contemptuous,8.0,offensive,25.0
"critical,",1.0,connotation,1.0,contrarian,1.0,skeptical,20.0
critical/sarcastic,1.0,conversational,15.0,controversial,1.0,positive,20.0
criticizing,1.0,critical,152.0,critical,81.0,frustration,19.0
curious,1.0,criticizing,1.0,criticism,1.0,expressive,19.0
cynical,3.0,cynical,1.0,critique,1.0,but,18.0
defensive,7.0,defensive,2.0,curiosity,1.0,defensive,16.0
demanding,1.0,demanding,1.0,curious,1.0,condescending,16.0
derisive,6.0,derisive,5.0,cynical,7.0,conversational,15.0
derogatory,56.0,derogatory,82.0,defensive,7.0,direct,15.0
"derogatory,",1.0,descriptive,4.0,defiance,1.0,with,15.0
directive,1.0,determined,1.0,defiant,1.0,derisive,14.0
disappointed,1.0,direct,15.0,demanding,1.0,questioning,13.0
disapproving,9.0,directive,12.0,derisive,3.0,disrespectful,13.0
discontented,1.0,disapproving,1.0,derogatory,4.0,directive,13.0
discriminatory,3.0,discriminatory,15.0,disappointed,2.0,emotive,12.0
