Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
abrupt,1.0,abrupt,1.0,a,1.0,informal,341.0
accusatory,72.0,abusive,1.0,accusatory,2.0,negative,328.0
admiring,1.0,accusative,2.0,affirmative,2.0,critical,258.0
advisory,3.0,accusatory,64.0,aggressive,5.0,neutral,236.0
aggressive,24.0,advisory,3.0,agreement,1.0,informative,194.0
alarming,1.0,affirmative,1.0,alarmed,1.0,dismissive,143.0
angry,1.0,affirming,2.0,alarming,1.0,accusatory,138.0
anxious,1.0,aggressive,9.0,amazed,1.0,assertive,123.0
apologetic,3.0,analytical,1.0,anger,3.0,direct,115.0
assertive,76.0,appreciative,2.0,angry,2.0,colloquial,76.0
authoritative,5.0,assertive,44.0,annoyance,1.0,conversational,57.0
blunt,2.0,authoritative,7.0,annoyed,5.0,confrontational,56.0
casual,16.0,biased,7.0,antagonistic,4.0,casual,55.0
cautionary,5.0,blunt,1.0,anxiety,1.0,sarcastic,51.0
cautious,1.0,candid,1.0,anxious,1.0,positive,49.0
challenging,3.0,casual,33.0,apathetic,1.0,inquisitive,44.0
colloquial,1.0,cautionary,5.0,apathy,1.0,frustrated,43.0
commanding,21.0,cautioning,1.0,apologetic,1.0,hostile,42.0
concerned,5.0,celebratory,1.0,appreciative,3.0,directive,40.0
condemnatory,2.0,challenging,2.0,assertive,3.0,judgmental,40.0
condescending,20.0,clarifying,1.0,assuring,1.0,frustration,40.0
confrontational,15.0,coercive,2.0,authoritative,2.0,defensive,39.0
considerate,1.0,colloquial,75.0,but,1.0,disapproving,38.0
contemplative,1.0,commanding,4.0,casual,6.0,aggressive,38.0
contemptuous,1.0,comparative,2.0,cautionary,4.0,questioning,32.0
conversational,2.0,complaint,1.0,cautious,2.0,condescending,29.0
critical,107.0,complimentary,2.0,challenging,3.0,skeptical,28.0
criticizing,2.0,concerned,1.0,coercive,1.0,commanding,26.0
curious,6.0,concise,8.0,commanding,1.0,straightforward,25.0
cynical,1.0,condemning,1.0,concern,4.0,derogatory,20.0
defensive,11.0,condescending,3.0,concerned,14.0,opinionated,20.0
defiant,3.0,confident,1.0,condescending,6.0,curious,20.0
demanding,9.0,confrontational,38.0,confident,1.0,concerned,20.0
demeaning,1.0,conversational,55.0,confrontational,3.0,formal,19.0
derogatory,3.0,corrective,2.0,confused,4.0,provocative,16.0
descriptive,2.0,courteous,1.0,confusion,2.0,disparaging,16.0
direct,5.0,critical,89.0,constraint,1.0,slightly,15.0
directive,13.0,curious,1.0,contemptuous,2.0,polite,15.0
disappointed,1.0,declarative,7.0,controversial,2.0,expressive,15.0
disbelief,1.0,defensive,5.0,corrective,1.0,imperative,14.0
dismissive,67.0,demanding,2.0,critical,62.0,authoritative,14.0
disparaging,4.0,derogatory,14.0,curiosity,13.0,serious,14.0
disrespectful,2.0,descriptive,6.0,curious,13.0,cautionary,14.0
emotional,1.0,direct,110.0,curt,1.0,curiosity,13.0
empathetic,3.0,directive,27.0,cynical,5.0,threatening,12.0
encouraging,1.0,disapproving,1.0,decision,1.0,warning,12.0
expressive,4.0,disbelieving,1.0,decisive,1.0,demanding,11.0
factual,1.0,dismissive,46.0,defensive,23.0,factual,11.0
firm,1.0,disparaging,3.0,defiant,5.0,indifferent,11.0
formal,9.0,disrespectful,1.0,denial,1.0,supportive,10.0
friendly,5.0,disturbing,1.0,derisive,2.0,simple,10.0
frustrated,21.0,divisive,1.0,derogatory,3.0,disapproval,9.0
hopeful,1.0,dramatic,1.0,descriptive,1.0,reflective,9.0
hostile,12.0,emotional,6.0,desperate,1.0,personal,9.0
imperative,5.0,emotive,3.0,determined,1.0,descriptive,9.0
informal,124.0,encouraging,3.0,disappointed,4.0,urgent,8.0
informative,13.0,enthusiastic,4.0,disappointment,1.0,defiant,8.0
inquiring,4.0,evaluative,7.0,disapproval,9.0,concise,8.0
inquisitive,31.0,exclusionary,4.0,disapproving,37.0,challenging,8.0
irritated,1.0,exclusive,1.0,disbelief,1.0,declarative,7.0
judgmental,10.0,explanatory,1.0,discontent,2.0,evaluative,7.0
matter-of-fact,2.0,expressive,11.0,discriminatory,2.0,emotional,7.0
melancholic,1.0,factual,5.0,disdain,2.0,biased,7.0
mocking,1.0,firm,1.0,disdainful,6.0,encouraging,7.0
negative,7.0,forceful,1.0,disinterest,1.0,advisory,6.0
neutral,92.0,formal,10.0,disinterested,3.0,exclusionary,6.0
nostalgic,1.0,frustrated,1.0,dislike,3.0,subjective,6.0
objective,1.0,generalizing,3.0,dismissive,30.0,objective,6.0
opinionated,2.0,harsh,2.0,disparaging,9.0,inquiring,6.0
passive-aggressive,2.0,historical,1.0,displeased,2.0,cynical,6.0
pessimistic,1.0,hostile,3.0,displeasure,1.0,disdainful,6.0
philosophical,1.0,humorous,2.0,disregard,2.0,appreciative,5.0
polite,10.0,imperative,9.0,disrespectful,2.0,enthusiastic,5.0
positive,6.0,inflammatory,4.0,dissatisfied,1.0,surprised,5.0
provocative,2.0,informal,217.0,distrustful,1.0,friendly,5.0
questioning,26.0,informative,179.0,divisive,1.0,suspicious,5.0
rebellious,1.0,inquiring,1.0,domineering,1.0,annoyed,5.0
reflective,3.0,inquisitive,8.0,doubtful,2.0,disrespectful,5.0
reproachful,1.0,insensitive,1.0,elitist,1.0,disappointed,5.0
respectful,1.0,instructive,2.0,empathetic,1.0,mild,4.0
sarcastic,42.0,insulting,1.0,encouraging,3.0,or,4.0
self-deprecating,1.0,interrogative,4.0,enthusiastic,1.0,regretful,4.0
serious,9.0,judgemental,1.0,entitled,1.0,interrogative,4.0
skeptical,4.0,judgmental,27.0,exclusionary,2.0,empathetic,4.0
slightly,1.0,negative,29.0,exposing,1.0,matter-of-fact,4.0
speculative,1.0,neutral,80.0,factual,5.0,mocking,4.0
stern,1.0,objective,2.0,fearful,1.0,apologetic,4.0
strategic,1.0,observational,1.0,forceful,1.0,concern,4.0
supportive,1.0,offensive,1.0,frustrated,21.0,passive-aggressive,4.0
threatening,4.0,opinionated,18.0,frustration,40.0,suggestive,4.0
urgent,4.0,optimistic,1.0,frustrative,1.0,antagonistic,4.0
vindictive,1.0,passive-aggressive,2.0,genuine,1.0,confused,4.0
warning,6.0,personal,9.0,grateful,1.0,inflammatory,4.0
,,persuasive,3.0,gratitude,1.0,angry,3.0
,,perturbed,1.0,hopeful,1.0,emotive,3.0
,,plain,1.0,hostile,27.0,corrective,3.0
,,playful,1.0,humorous,1.0,coercive,3.0
,,pleading,1.0,hurt,1.0,affirmative,3.0
,,polite,4.0,impatience,1.0,contemptuous,3.0
,,positive,6.0,impatient,3.0,disinterested,3.0
,,possessive,1.0,inappropriate,1.0,potentially,3.0
,,pragmatic,1.0,indifference,1.0,pessimistic,3.0
,,professional,1.0,indifferent,11.0,mildly,3.0
,,provocative,13.0,informative,2.0,instructive,3.0
,,questioning,6.0,innocence,1.0,persuasive,3.0
,,reflective,6.0,inquiring,1.0,humorous,3.0
,,repetitive,1.0,inquisitive,5.0,impatient,3.0
,,requestive,1.0,instructional,1.0,anger,3.0
,,restrictive,2.0,instructive,1.0,generalizing,3.0
,,sarcastic,7.0,intense,1.0,cautious,3.0
,,sensitive,1.0,judgmental,3.0,blunt,3.0
,,sentimental,1.0,light-hearted,1.0,dislike,3.0
,,simple,10.0,malevolent,1.0,pragmatic,2.0
,,simplistic,1.0,malicious,2.0,worried,2.0
,,skeptical,6.0,manipulative,1.0,restrictive,2.0
,,slang,1.0,matter-of-fact,2.0,unfriendly,2.0
,,slightly,10.0,measured,1.0,understanding,2.0
