Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
accusatory,37.0,a,4.0,a,3.0,informal,355.0
accusing,1.0,absolute,1.0,acceptance,1.0,informative,330.0
admiring,3.0,accusative,1.0,accusatory,5.0,neutral,319.0
admonishing,1.0,accusatory,30.0,admiration,2.0,critical,220.0
affectionate,2.0,admonishing,2.0,admiring,2.0,negative,218.0
aggressive,24.0,advisory,2.0,advising,1.0,colloquial,109.0
alarmist,1.0,affirmative,1.0,affectionate,1.0,casual,97.0
analytical,1.0,aggressive,6.0,aggressive,2.0,positive,85.0
angry,5.0,alarmist,1.0,alarming,2.0,sarcastic,78.0
anxious,1.0,ambiguous,2.0,ambiguous,2.0,expressive,77.0
apologetic,2.0,annoyance,1.0,amused,1.0,accusatory,72.0
argumentative,1.0,anticipatory,1.0,amusement,2.0,frustration,68.0
assertive,23.0,appreciative,1.0,anger,2.0,dismissive,64.0
authoritative,6.0,argumentative,1.0,angry,2.0,conversational,62.0
candid,1.0,assertive,27.0,annoyance,4.0,assertive,52.0
casual,32.0,authoritative,4.0,annoyed,8.0,frustrated,47.0
celebratory,1.0,biased,8.0,antagonistic,1.0,emotional,47.0
challenging,4.0,blame,1.0,anticipation,2.0,disapproving,43.0
charged,1.0,but,2.0,anticipatory,1.0,confrontational,40.0
colloquial,3.0,caring,1.0,anxiety,1.0,formal,34.0
commanding,3.0,casual,43.0,anxious,2.0,aggressive,32.0
competitive,1.0,caustic,1.0,appreciative,1.0,judgmental,26.0
complaint,1.0,cautionary,3.0,approving,1.0,derogatory,26.0
concerned,9.0,celebratory,1.0,assertive,2.0,opinionated,24.0
condemnatory,1.0,clarifying,1.0,authoritarian,1.0,humorous,24.0
condescending,7.0,colloquial,106.0,awkward,1.0,mocking,23.0
conditional,1.0,commanding,5.0,bias,1.0,direct,23.0
confrontational,18.0,complimentary,1.0,blame,1.0,concerned,22.0
contemplative,1.0,concerning,1.0,boundary,1.0,disparaging,21.0
contemptuous,1.0,concise,2.0,casual,22.0,slightly,20.0
controversial,1.0,condemnatory,2.0,cautionary,2.0,supportive,19.0
conversational,5.0,condescending,1.0,cautious,2.0,inquisitive,19.0
cordial,1.0,confrontational,17.0,challenging,2.0,questioning,18.0
critical,75.0,constructive,2.0,clarifying,1.0,curiosity,17.0
criticism,1.0,contemplative,1.0,commanding,1.0,reflective,17.0
crude,1.0,contrastive,1.0,commendatory,1.0,curious,16.0
curious,5.0,controversial,1.0,compassionate,1.0,encouraging,15.0
cynical,2.0,conversational,57.0,competitive,1.0,serious,15.0
decisive,1.0,cordial,1.0,concern,4.0,playful,14.0
defensive,4.0,critical,75.0,concerned,13.0,directive,14.0
defiant,1.0,criticizing,1.0,condemnatory,2.0,personal,14.0
demanding,4.0,critique,2.0,condescending,5.0,provocative,14.0
derogatory,8.0,curious,1.0,conditional,1.0,descriptive,14.0
despairing,1.0,curt,1.0,confident,1.0,condescending,13.0
direct,2.0,decisive,2.0,conflicted,1.0,hostile,13.0
directive,2.0,declarative,1.0,confrontational,5.0,defensive,11.0
disappointed,3.0,defensive,1.0,confused,4.0,authoritative,10.0
disapproving,3.0,demeaning,1.0,confusion,1.0,subjective,10.0
discouraged,1.0,derisive,2.0,considerate,1.0,disapproval,10.0
discriminatory,1.0,derogatory,15.0,constructive,1.0,commanding,9.0
dismissive,24.0,descriptive,14.0,contemplative,1.0,motivational,8.0
disparaging,6.0,determined,1.0,contemptuous,1.0,annoyed,8.0
disrespectful,1.0,direct,20.0,cooperative,1.0,biased,8.0
emotional,8.0,directive,12.0,corrective,2.0,light-hearted,8.0
emotionally,1.0,disapproving,1.0,critical,70.0,or,7.0
empathetic,1.0,discriminatory,1.0,criticism,3.0,friendly,7.0
encouraging,5.0,dismissive,19.0,criticizing,2.0,warning,7.0
enthusiastic,5.0,disparaging,7.0,curiosity,17.0,a,7.0
excited,2.0,disrespectful,2.0,curious,10.0,threatening,7.0
exclamatory,1.0,divisive,1.0,cynical,2.0,polite,7.0
exclusionary,1.0,dramatic,1.0,danger,1.0,with,7.0
expressive,9.0,emotional,39.0,defensive,6.0,skeptical,7.0
factual,1.0,emotive,3.0,defensive/agitated,1.0,impatient,7.0
firm,1.0,emphatic,4.0,derisive,3.0,angry,7.0
formal,25.0,encouraging,4.0,derogatory,3.0,enthusiastic,7.0
friendly,3.0,endearing,1.0,desire,1.0,pessimistic,6.0
frustrated,25.0,enthusiastic,1.0,desirous,1.0,regretful,6.0
frustration,1.0,evaluative,3.0,despair,1.0,disappointment,6.0
historical,1.0,excited,1.0,detached,2.0,disdainful,6.0
hostile,2.0,explanatory,1.0,determined,2.0,suggestive,6.0
humorous,7.0,explicit,1.0,direct,1.0,challenging,6.0
imperative,3.0,expressive,68.0,disagreement,1.0,of,5.0
implicit,1.0,expressive/emotional,1.0,disappointed,2.0,resentful,5.0
inappropriate,1.0,figurative,2.0,disappointment,6.0,offensive,5.0
indifferent,1.0,formal,9.0,disapproval,10.0,condemnatory,5.0
indignant,1.0,friendly,1.0,disapproving,39.0,discontent,5.0
