Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
accusatory,82.0,a,1.0,America,1.0,informal,351.0
accusing,1.0,accusative,3.0,"USSR,",1.0,critical,310.0
admonishing,3.0,accusatory,41.0,acceptance,1.0,negative,308.0
admonitory,1.0,admonishing,1.0,accusatory,5.0,informative,297.0
advisory,2.0,adversarial,1.0,admonishing,1.0,neutral,241.0
aggressive,59.0,advisory,2.0,adversarial,1.0,colloquial,199.0
alarmist,1.0,aggressive,24.0,advisory,1.0,dismissive,142.0
ambiguous,1.0,alarmist,1.0,aggressive,5.0,accusatory,128.0
angry,1.0,antagonistic,1.0,ambiguous,1.0,sarcastic,101.0
assertive,24.0,argumentative,1.0,anger,1.0,aggressive,88.0
authoritarian,1.0,assertive,23.0,angry,4.0,disapproving,75.0
authoritative,8.0,authoritative,4.0,annoyance,3.0,conversational,70.0
blunt,1.0,biased,4.0,annoyed,4.0,hostile,68.0
casual,23.0,blunt,2.0,antagonistic,2.0,casual,61.0
cautionary,1.0,but,4.0,assertive,2.0,confrontational,61.0
challenging,1.0,casual,30.0,authoritative,3.0,derogatory,52.0
colloquial,1.0,cautionary,4.0,behavior,1.0,judgmental,51.0
commanding,9.0,cautious,1.0,blaming,1.0,assertive,49.0
comparative,1.0,charged,4.0,casual,8.0,frustration,44.0
compassionate,1.0,clinical,1.0,caustic,1.0,frustrated,41.0
concerned,5.0,coercive,1.0,cautionary,2.0,directive,38.0
condemnatory,2.0,colloquial,198.0,challenging,1.0,direct,38.0
condescending,11.0,combative,1.0,commanding,1.0,emotional,35.0
confrontational,13.0,commanding,7.0,compassionate,1.0,inquisitive,30.0
conversational,4.0,complaining,2.0,complaining,1.0,disparaging,23.0
critical,117.0,concern,1.0,complimentary,1.0,slightly,21.0
criticizing,1.0,concerned,1.0,concern,2.0,positive,20.0
curious,4.0,concerning,1.0,concerned,4.0,expressive,19.0
cynical,4.0,condescending,1.0,condemnatory,3.0,condescending,18.0
defensive,1.0,confrontational,44.0,condemning,1.0,provocative,17.0
demanding,3.0,contemplative,1.0,condescending,6.0,commanding,17.0
derisive,2.0,conversational,66.0,conditional,1.0,formal,16.0
derogatory,14.0,corrective,1.0,confrontational,4.0,authoritative,15.0
direct,4.0,critical,102.0,confused,1.0,threatening,15.0
directive,8.0,criticism,1.0,confusion,1.0,questioning,15.0
disappointed,2.0,curious,1.0,contempt,1.0,disrespectful,14.0
disapproving,8.0,cynical,4.0,contemptuous,2.0,opinionated,12.0
disdainful,1.0,decisive,1.0,controversial,1.0,disapproval,12.0
dismissive,65.0,defensive,2.0,convenience,1.0,imperative,12.0
disparaging,11.0,defiant,1.0,critical,91.0,descriptive,11.0
disrespectful,3.0,derisive,1.0,critique,1.0,defensive,11.0
emotional,5.0,derogatory,33.0,cruelty,1.0,skeptical,11.0
emphatic,2.0,descriptive,11.0,curiosity,10.0,mocking,11.0
encouraging,2.0,diagnostic,1.0,curious,5.0,discontent,11.0
enthusiastic,1.0,direct,34.0,cynical,2.0,cynical,10.0
figurative,1.0,directive,30.0,defensive,8.0,curious,10.0
firm,2.0,disapproving,3.0,defiant,1.0,curiosity,10.0
forceful,1.0,discouraging,1.0,derisive,1.0,concerned,10.0
formal,9.0,discriminatory,3.0,derogatory,5.0,disdainful,9.0
frustrated,27.0,dismissive,41.0,despair,1.0,resentful,9.0
frustration,2.0,disparaging,2.0,detached,2.0,serious,7.0
hopeful,1.0,disregarding,1.0,determinative,1.0,disappointment,7.0
hostile,14.0,disrespectful,4.0,disappointed,3.0,emotive,7.0
impatient,1.0,dissatisfied,1.0,disappointment,7.0,subjective,7.0
imperative,4.0,divisive,1.0,disapproval,12.0,cautionary,7.0
indignant,1.0,dramatic,2.0,disapproving,64.0,violent,7.0
informal,176.0,emotional,30.0,disbelieving,1.0,warning,6.0
informative,19.0,emotionally,4.0,discontent,11.0,punitive,6.0
inquiring,2.0,emotive,7.0,discriminatory,1.0,exclusionary,6.0
inquisitive,20.0,emphatic,3.0,disdainful,8.0,suspicious,6.0
interrogative,3.0,evaluative,2.0,disinterested,1.0,encouraging,6.0
irritated,1.0,exclamatory,1.0,dislike,1.0,pessimistic,5.0
judgmental,16.0,explanatory,1.0,dismissive,36.0,offensive,5.0
melancholic,1.0,expressive,19.0,disparaging,10.0,angry,5.0
mixed,1.0,factual,1.0,displeased,3.0,condemnatory,5.0
mocking,3.0,formal,7.0,displeasure,1.0,admonishing,5.0
negative,4.0,frustrated,5.0,disregard,1.0,disappointed,5.0
neutral,71.0,generalized,1.0,disrespectful,7.0,reflective,5.0
nostalgic,2.0,harsh,2.0,dissatisfaction,2.0,patriotic,5.0
offensive,1.0,hint,1.0,divisive,1.0,emphatic,5.0
patriotic,1.0,hostile,9.0,doubtful,2.0,advisory,5.0
pessimistic,1.0,humorous,1.0,empathetic,4.0,interrogative,5.0
positive,1.0,imperative,8.0,empathy,1.0,inflammatory,4.0
potentially,1.0,inciting,1.0,encouraging,4.0,irritation,4.0
provocative,5.0,inflammatory,4.0,exclusionary,6.0,biased,4.0
questioning,11.0,informal,175.0,exclusive,1.0,yet,4.0
reassuring,1.0,informational,1.0,factual,2.0,annoyed,4.0
reflective,3.0,informative,278.0,for,1.0,emotionally,4.0
reminiscent,1.0,inquisitive,6.0,fraudsters,1.0,straightforward,4.0
requesting,1.0,insinuating,1.0,frustrated,9.0,but,4.0
resentful,1.0,insinuative,1.0,frustration,42.0,charged,4.0
sarcastic,79.0,instructive,2.0,guilty,1.0,irritated,4.0
sceptical,1.0,insulting,1.0,harsh,1.0,nationalistic,4.0
scornful,1.0,intense,1.0,hopeful,1.0,empathetic,4.0
serious,5.0,interrogative,2.0,hostile,45.0,derisive,4.0
severe,1.0,ironic,1.0,indifference,2.0,discriminatory,4.0
skeptical,2.0,irritated,1.0,indifferent,4.0,indifferent,4.0
strong,1.0,judgemental,1.0,information,1.0,towards,4.0
strongly,1.0,judgmental,34.0,inquisitive,4.0,harsh,3.0
surprised,1.0,judicial,1.0,interaction,1.0,or,3.0
sympathetic,2.0,mildly,1.0,intimidation,1.0,menacing,3.0
taunting,1.0,mocking,2.0,irritated,2.0,concern,3.0
threatening,9.0,"mocking,",1.0,irritation,4.0,factual,3.0
warning,1.0,narrative,3.0,judgmental,1.0,narrative,3.0
yet,2.0,nationalistic,3.0,malicious,2.0,protective,3.0
,,negative,21.0,melancholic,2.0,antagonistic,3.0
,,neutral,88.0,menacing,3.0,complaining,3.0
,,of,1.0,mild,1.0,displeased,3.0
,,offensive,4.0,misinformed,1.0,somewhat,3.0
,,opinion,1.0,mocking,6.0,demanding,3.0
,,opinion-based,1.0,motivational,1.0,nostalgic,3.0
,,opinionated,12.0,nationalistic,1.0,potentially,3.0
,,patriotic,1.0,negative,283.0,accusative,3.0
,,pejorative,2.0,neutral,82.0,vindictive,3.0
,,personal,1.0,nostalgic,1.0,annoyance,3.0
,,pessimistic,2.0,opportunistic,1.0,melancholic,3.0
,,plain,1.0,optimistic,1.0,blunt,3.0
,,poetic,1.0,or,3.0,resigned,3.0
,,positive,3.0,patriotic,3.0,sympathetic,3.0
,,potentially,2.0,patronizing,1.0,with,2.0
,,pragmatic,1.0,pessimistic,2.0,speculative,2.0
,,prescriptive,1.0,playful,2.0,supportive,2.0
,,provocative,12.0,positive,16.0,suggestive,2.0
,,punitive,1.0,preference,1.0,contemptuous,2.0
,,questioning,4.0,pride,1.0,malicious,2.0
,,reactive,1.0,productive,1.0,doubtful,2.0
,,reflective,1.0,protective,3.0,detached,2.0
,,reproachful,1.0,proud,1.0,instructive,2.0
,,resigned,1.0,punitive,5.0,indifference,2.0
,,rhetorical,2.0,real-life,1.0,slight,2.0
,,sarcasm,1.0,reassuring,1.0,sarcasm,2.0
,,sarcastic,13.0,reflective,1.0,rhetorical,2.0
,,scornful,1.0,regretful,2.0,pejorative,2.0
,,scrutinizing,1.0,relaxed,1.0,dissatisfaction,2.0
,,semi-formal,1.0,relief,1.0,strict,2.0
,,serious,1.0,"relief,",1.0,adversarial,2.0
,,simple,1.0,resentful,8.0,surprised,2.0
,,skeptical,1.0,resignation,1.0,challenging,2.0
,,slang,1.0,resigned,2.0,strong,2.0
,,slight,1.0,resistant,1.0,scornful,2.0
,,slightly,10.0,respectful,2.0,respectful,2.0
,,somewhat,3.0,sadness,1.0,reassuring,2.0
