Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
abrasive,1.0,abrasive,1.0,a,2.0,informal,488.0
accusatory,13.0,accusatory,10.0,accepting,1.0,colloquial,308.0
admonishing,1.0,aggressive,10.0,accusatory,1.0,neutral,300.0
advisory,1.0,assertive,6.0,admiration,1.0,negative,212.0
affectionate,3.0,biased,2.0,admonishing,2.0,informative,210.0
aggressive,48.0,but,1.0,advisory,4.0,casual,195.0
alarming,1.0,candid,1.0,affectionate,1.0,conversational,128.0
analytical,1.0,caring,1.0,affirmative,1.0,dismissive,103.0
angry,2.0,casual,86.0,aggressive,6.0,critical,80.0
anxious,1.0,cautionary,1.0,amused,1.0,sarcastic,76.0
apologetic,2.0,charged,1.0,angry,2.0,frustrated,74.0
"apologetic,",1.0,colloquial,302.0,annoyance,7.0,frustration,71.0
aspirational,1.0,commendatory,1.0,annoyed,11.0,aggressive,64.0
assertive,9.0,comparative,1.0,antagonistic,1.0,positive,47.0
calm,1.0,complaint,1.0,anxious,6.0,expressive,41.0
candid,2.0,confident,1.0,appreciative,2.0,emotional,32.0
casual,79.0,confrontational,17.0,assertive,5.0,slightly,30.0
cautionary,4.0,conversation,1.0,authoritative,1.0,reflective,27.0
celebratory,1.0,conversation-like,1.0,bitterness,1.0,confrontational,25.0
colloquial,6.0,conversational,115.0,but,1.0,hostile,24.0
commanding,4.0,critical,24.0,calm,1.0,accusatory,24.0
concerned,3.0,crude,1.0,casual,30.0,humorous,21.0
condescending,7.0,cynical,1.0,cautionary,3.0,derogatory,21.0
confrontational,6.0,defensive,2.0,cautious,2.0,assertive,20.0
confused,1.0,demeaning,1.0,challenging,2.0,curious,18.0
contemplative,4.0,derisive,1.0,charged,1.0,questioning,17.0
contemptuous,1.0,derogatory,13.0,cheerful,1.0,disapproving,17.0
conversational,13.0,descriptive,15.0,closure,1.0,indifferent,16.0
"conversational,",1.0,direct,6.0,comparative,1.0,descriptive,16.0
critical,24.0,directive,11.0,complaining,1.0,disrespectful,16.0
curious,6.0,directly,1.0,concern,4.0,directive,15.0
cynical,4.0,disapproving,1.0,concerned,8.0,inquisitive,15.0
defensive,4.0,discriminatory,1.0,condemnatory,1.0,playful,13.0
demanding,3.0,dismissive,15.0,condescending,2.0,judgmental,13.0
derisive,2.0,disparaging,2.0,confident,2.0,defensive,12.0
derogatory,3.0,emotional,23.0,conflicted,1.0,confused,12.0
descriptive,1.0,emotive,3.0,confrontational,2.0,or,11.0
despairing,1.0,emphatic,1.0,confused,11.0,annoyed,11.0
desperate,3.0,encouraging,1.0,confusion,2.0,concerned,11.0
determined,1.0,explicit,1.0,controlling,1.0,threatening,11.0
direct,1.0,expressive,38.0,controversial,1.0,resigned,10.0
directive,3.0,factual,1.0,creative,1.0,imperative,10.0
directive/instructive,1.0,familiar,1.0,critical,32.0,self-deprecating,10.0
disapproving,1.0,formal,3.0,criticism,1.0,condescending,9.0
discomfort,1.0,friendly,3.0,curiosity,9.0,offensive,9.0
disdainful,1.0,frustrated,2.0,curious,12.0,curiosity,9.0
disheartened,1.0,harsh,1.0,cynical,2.0,disappointment,9.0
dismissive,36.0,hostile,4.0,defensive,6.0,mocking,8.0
disparaging,2.0,humorous,6.0,defiant,1.0,motivational,8.0
disrespectful,3.0,imperative,5.0,derisive,1.0,personal,8.0
dramatic,3.0,impolite,1.0,derogatory,5.0,disparaging,8.0
emotional,9.0,informal,209.0,desperate,1.0,cautionary,8.0
emotive,1.0,informative,199.0,detached,2.0,provocative,7.0
encouraging,3.0,inquisitive,1.0,determined,3.0,anxious,7.0
enthusiastic,2.0,interrogative,1.0,directive,1.0,light-hearted,7.0
exasperated,1.0,intimate,1.0,disappointed,3.0,direct,7.0
excited,1.0,irritated,1.0,disappointment,9.0,suggestive,7.0
expressing,1.0,judgmental,1.0,disapproving,15.0,cynical,7.0
expressive,3.0,light-hearted,1.0,discomfort,1.0,encouraging,7.0
formal,1.0,literary,1.0,discontent,2.0,annoyance,7.0
friendly,1.0,lyrical,1.0,disdainful,6.0,disdainful,7.0
frustrated,46.0,metaphorical,2.0,disgust,1.0,friendly,6.0
frustration,3.0,mocking,1.0,dismissive,52.0,subjective,6.0
hostile,2.0,motivational,6.0,disparaging,4.0,skeptical,6.0
humorous,5.0,narrative,2.0,dispassionate,1.0,self-critical,5.0
imperative,5.0,negative,9.0,disregard,1.0,inquiring,5.0
informal,278.0,neutral,91.0,disrespectful,13.0,vulgar,5.0
informational,2.0,non-neutral,1.0,dissatisfaction,2.0,mildly,5.0
informative,11.0,offensive,5.0,distressed,4.0,advisory,5.0
inquiring,1.0,opinionated,4.0,doubtful,1.0,surprised,5.0
inquisitive,11.0,optimistic,1.0,embarrassment,1.0,affectionate,4.0
insulting,1.0,pejorative,1.0,empathetic,1.0,distressed,4.0
intense,1.0,personal,8.0,emphatic,1.0,concern,4.0
ironic,1.0,philosophical,1.0,encouraging,3.0,opinionated,4.0
irritated,1.0,playful,1.0,excited,2.0,angry,4.0
judgmental,5.0,poetic,1.0,exclusion,1.0,warning,4.0
lighthearted,1.0,positive,2.0,exclusionary,1.0,supportive,4.0
matter-of-fact,1.0,possessive,1.0,fearful,2.0,relaxed,4.0
melancholic,1.0,provocative,3.0,fetishistic,1.0,with,4.0
mildly,1.0,questioning,1.0,flirtatious,1.0,determined,4.0
mocking,2.0,reassuring,1.0,friendly,2.0,mild,4.0
motivational,1.0,reflective,8.0,frustrated,26.0,formal,4.0
negative,10.0,relaxed,1.0,frustration,68.0,sadness,4.0
neutral,112.0,romantic,1.0,"frustration,",1.0,derisive,4.0
offensive,3.0,sarcastic,9.0,frustration/irritation,1.0,contemplative,4.0
