Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
accusatory,48.0,a,2.0,Critical,1.0,negative,438.0
advising,1.0,accusation,1.0,a,1.0,informal,386.0
advisory,2.0,accusative,1.0,accusatory,2.0,critical,313.0
aggressive,77.0,accusatory,49.0,aggressive,12.0,informative,294.0
angry,2.0,affirmative,1.0,ambiguous,1.0,derogatory,261.0
antagonistic,1.0,aggressive,21.0,amused,1.0,hostile,124.0
apologetic,2.0,alarming,1.0,angry,3.0,colloquial,112.0
argumentative,2.0,alerting,1.0,annoyance,2.0,aggressive,110.0
assertive,15.0,ambiguous,1.0,annoyed,2.0,dismissive,104.0
biased,3.0,analytical,1.0,antagonistic,3.0,accusatory,99.0
casual,14.0,antagonistic,1.0,antipathy,1.0,discriminatory,98.0
comparative,1.0,appreciative,1.0,assertive,1.0,judgmental,97.0
"complaint,",1.0,argumentative,4.0,bias,5.0,neutral,91.0
concerned,2.0,assertive,10.0,biased,5.0,biased,88.0
condescending,14.0,bias,3.0,bitter,1.0,sarcastic,76.0
"condescending,",2.0,biased,80.0,blame,1.0,disapproving,73.0
confrontational,20.0,blameful,1.0,but,3.0,offensive,69.0
contemptuous,3.0,blunt,2.0,casual,10.0,opinionated,57.0
conversational,9.0,but,9.0,cautionary,1.0,confrontational,52.0
critical,110.0,casual,25.0,cautious,2.0,casual,49.0
criticism,1.0,cautionary,2.0,competitive,1.0,disparaging,46.0
critique,1.0,cautious,1.0,concerned,2.0,conversational,46.0
curious,1.0,challenging,2.0,concerning,1.0,subjective,43.0
cynical,2.0,colloquial,112.0,condemnatory,1.0,provocative,37.0
defensive,3.0,commanding,2.0,condemning,2.0,disrespectful,32.0
derisive,2.0,comparative,2.0,condescending,10.0,condescending,29.0
derogative,1.0,condemnatory,1.0,conflict-driven,1.0,assertive,26.0
derogatory,105.0,condescending,5.0,conflicted,2.0,questioning,23.0
direct,1.0,confessional,1.0,confrontational,4.0,disdainful,22.0
directive,1.0,confrontational,28.0,confused,3.0,prejudiced,21.0
disapproving,7.0,contemptuous,1.0,confusion,1.0,slightly,17.0
discriminative,1.0,contrastive,1.0,contemptuous,9.0,expressive,16.0
discriminatory,19.0,conversational,37.0,contentious,1.0,mocking,16.0
disdainful,3.0,critical,140.0,controversial,2.0,formal,15.0
dismissive,34.0,criticism,1.0,critical,63.0,emotional,14.0
disparaging,25.0,criticizing,2.0,"critical,",1.0,contemptuous,13.0
disrespectful,6.0,cynical,1.0,criticism,4.0,personal,12.0
emotional,1.0,defensive,3.0,criticizing,2.0,but,12.0
empathetic,1.0,demeaning,3.0,curiosity,2.0,inflammatory,11.0
exclamatory,1.0,derisive,6.0,curious,1.0,defensive,11.0
expressive,1.0,derogative,1.0,cynical,4.0,discomfort,9.0
fearful,1.0,derogatory,135.0,defensive,5.0,derisive,9.0
formal,13.0,descriptive,6.0,derisive,1.0,skeptical,9.0
formative,1.0,direct,6.0,derogatory,21.0,frustration,9.0
frustrated,3.0,directive,1.0,despairing,1.0,pejorative,9.0
harsh,3.0,disapproving,2.0,direct,1.0,disapproval,8.0
hostile,21.0,discerning,1.0,disappointment,2.0,bias,8.0
hurtful,1.0,discriminative,1.0,disapproval,8.0,direct,8.0
imperative,1.0,discriminatory,46.0,disapproving,64.0,cynical,7.0
inflammatory,1.0,dismissive,31.0,disbelief,1.0,descriptive,6.0
informal,244.0,disparaging,8.0,discomfort,9.0,criticism,6.0
informative,11.0,disrespectful,12.0,discriminatory,33.0,argumentative,6.0
inquisitive,3.0,divisive,2.0,disdain,2.0,with,6.0
judgmental,25.0,emotional,13.0,disdainful,19.0,emotive,6.0
mixed,3.0,emotive,6.0,disgust,2.0,antagonistic,5.0
mocking,8.0,explanatory,1.0,disgusted,1.0,positive,5.0
negative,24.0,explicit,1.0,dislike,2.0,angry,5.0
neutral,27.0,expressive,15.0,dismissive,39.0,resentful,4.0
offensive,15.0,figurative,1.0,disparaging,13.0,criticizing,4.0
opinionated,4.0,formal,2.0,displeased,2.0,insensitive,4.0
optimistic,1.0,harmful,1.0,displeasure,2.0,yet,4.0
patronizing,1.0,harsh,1.0,disrespect,1.0,insulting,4.0
positive,1.0,hate,1.0,disrespectful,14.0,mixed,4.0
provocative,12.0,hint,1.0,dissatisfaction,1.0,concerned,4.0
questioning,17.0,hostile,14.0,divisive,1.0,frustrated,4.0
reflective,1.0,humorous,1.0,empathetic,1.0,harsh,4.0
resentful,1.0,imperative,1.0,empowering,1.0,judgemental,3.0
sarcastic,62.0,inconsiderate,1.0,encouragement,1.0,confused,3.0
self-reflective,1.0,inflammatory,10.0,exclusionary,3.0,demeaning,3.0
somewhat,1.0,informal,142.0,fearful,1.0,potentially,3.0
speculative,1.0,informally,1.0,frustrated,1.0,divisive,3.0
subjective,4.0,informational,2.0,frustration,9.0,persuasive,3.0
urgent,1.0,informative,283.0,gender,1.0,a,3.0
welcoming,1.0,insensitive,2.0,group,1.0,cautionary,3.0
,,insidious,1.0,hate,1.0,cautious,3.0
,,instructive,1.0,hateful,1.0,somewhat,3.0
,,insulting,4.0,hatred,1.0,warning,3.0
,,judgemental,3.0,hidden,1.0,comparative,3.0
,,judgmental,59.0,hopeful,1.0,inquisitive,3.0
,,metaphorical,1.0,hostile,89.0,or,3.0
,,mildly,1.0,implicit,1.0,exclusionary,3.0
,,mixed,1.0,indifferent,2.0,indifferent,2.0
,,mocking,4.0,individual,1.0,curious,2.0
,,motivational,1.0,insensitive,2.0,derogative,2.0
,,narrative,1.0,ironic,1.0,polite,2.0
,,negative,38.0,judgement,1.0,"condescending,",2.0
,,neutral,51.0,judgmental,13.0,directive,2.0
,,of,1.0,light-hearted,1.0,mild,2.0
,,offensive,46.0,manipulative,1.0,motivational,2.0
,,opinionated,52.0,mild,2.0,mildly,2.0
,,opinionative,1.0,mildly,1.0,self-critical,2.0
,,partially,1.0,mocking,4.0,optimistic,2.0
,,pejorative,8.0,motivational,1.0,speech,2.0
,,personal,12.0,negative,376.0,condemning,2.0
,,persuasive,3.0,neutral,13.0,curiosity,2.0
,,playful,1.0,nonchalant,1.0,apologetic,2.0
,,polite,1.0,observational,1.0,controversial,2.0
,,political,1.0,offensive,8.0,disdain,2.0
,,positive,1.0,opinionated,1.0,disgust,2.0
,,potentially,2.0,optimistic,1.0,conflicted,2.0
,,prejudiced,9.0,or,3.0,dislike,2.0
,,prescriptive,1.0,patriotic,1.0,stereotypical,2.0
,,provocative,22.0,pejorative,1.0,displeased,2.0
,,questioning,5.0,pessimistic,1.0,displeasure,2.0
,,racial,1.0,polite,1.0,annoyed,2.0
,,reflective,1.0,positive,3.0,annoyance,2.0
,,regional,1.0,potential,1.0,informational,2.0
,,rude,1.0,potentially,1.0,advisory,2.0
,,sarcastic,7.0,prejudice,1.0,discriminative,2.0
,,self-critical,1.0,prejudiced,12.0,undertone,2.0
,,skeptical,1.0,protective,1.0,commanding,2.0
,,slang,1.0,provocative,3.0,empathetic,2.0
,,slightly,14.0,questioning,1.0,reflective,2.0
,,somewhat,2.0,racist,2.0,imperative,2.0
,,speculative,1.0,resentful,3.0,speculative,2.0
,,speech,1.0,resigned,1.0,violent,2.0
,,stereotypical,1.0,resilient,1.0,towards,2.0
,,stereotyping,1.0,resistant,1.0,tolerant,2.0
,,straightforward,1.0,sarcastic,7.0,ambiguous,2.0
,,subjective,38.0,self-critical,1.0,blunt,2.0
,,suggestive,1.0,sentiment,1.0,challenging,2.0
,,underlying,1.0,serious,1.0,condemnatory,2.0
,,undertone,2.0,skeptical,8.0,fearful,2.0
,,with,5.0,slightly,3.0,disappointment,2.0
,,yet,3.0,speech,1.0,racist,2.0
,,,,stereotypical,1.0,hate,2.0
,,,,strongly,1.0,sentiment,1.0
,,,,subjective,1.0,troubled,1.0
,,,,supportive,1.0,encouragement,1.0
,,,,surprised,1.0,empowering,1.0
,,,,suspicious,1.0,threatening,1.0
,,,,sympathetic,1.0,resigned,1.0
,,,,the,1.0,dissatisfaction,1.0
,,,,threatening,1.0,disrespect,1.0
,,,,tolerant,2.0,observational,1.0
,,,,towards,2.0,uncomfortable,1.0
,,,,troubled,1.0,resistant,1.0
,,,,uncomfortable,1.0,disgusted,1.0
,,,,unsympathetic,1.0,unsympathetic,1.0
,,,,vindictive,1.0,vindictive,1.0
,,,,violence,1.0,violence,1.0
,,,,violent,2.0,protective,1.0
,,,,warning,3.0,patriotic,1.0
,,,,with,1.0,pessimistic,1.0
,,,,xenophobic,1.0,disbelief,1.0
,,,,yet,1.0,the,1.0
,,,,,,sympathetic,1.0
,,,,,,nonchalant,1.0
,,,,,,hopeful,1.0
,,,,,,judgement,1.0
,,,,,,serious,1.0
,,,,,,ironic,1.0
,,,,,,strongly,1.0
,,,,,,light-hearted,1.0
,,,,,,individual,1.0
,,,,,,supportive,1.0
,,,,,,implicit,1.0
,,,,,,surprised,1.0
,,,,,,resilient,1.0
,,,,,,hidden,1.0
,,,,,,hatred,1.0
,,,,,,manipulative,1.0
,,,,,,prejudice,1.0
,,,,,,suspicious,1.0
,,,,,,hateful,1.0
,,,,,,group,1.0
,,,,,,gender,1.0
,,,,,,potential,1.0
,,,,,,patronizing,1.0
,,,,,,despairing,1.0
,,,,,,confessional,1.0
,,,,,,insidious,1.0
,,,,,,informally,1.0
,,,,,,inconsiderate,1.0
,,,,,,humorous,1.0
,,,,,,hint,1.0
,,,,,,harmful,1.0
,,,,,,figurative,1.0
,,,,,,explicit,1.0
,,,,,,explanatory,1.0
,,,,,,discerning,1.0
,,,,,,exclamatory,1.0
,,,,,,contrastive,1.0
,,,,,,formative,1.0
,,,,,,advising,1.0
,,,,,,blameful,1.0
,,,,,,appreciative,1.0
,,,,,,analytical,1.0
,,,,,,alerting,1.0
,,,,,,alarming,1.0
,,,,,,affirmative,1.0
,,,,,,accusative,1.0
,,,,,,accusation,1.0
,,,,,,welcoming,1.0
,,,,,,urgent,1.0
,,,,,,hurtful,1.0
,,,,,,self-reflective,1.0
,,,,,,instructive,1.0
,,,,,,metaphorical,1.0
,,,,,,"critical,",1.0
,,,,,,suggestive,1.0
,,,,,,contentious,1.0
,,,,,,confusion,1.0
,,,,,,conflict-driven,1.0
,,,,,,concerning,1.0
,,,,,,competitive,1.0
,,,,,,blame,1.0
,,,,,,bitter,1.0
,,,,,,antipathy,1.0
,,,,,,amused,1.0
,,,,,,Critical,1.0
,,,,,,"complaint,",1.0
,,,,,,underlying,1.0
,,,,,,straightforward,1.0
,,,,,,narrative,1.0
,,,,,,stereotyping,1.0
,,,,,,slang,1.0
,,,,,,critique,1.0
,,,,,,rude,1.0
,,,,,,regional,1.0
,,,,,,racial,1.0
,,,,,,prescriptive,1.0
,,,,,,political,1.0
,,,,,,playful,1.0
,,,,,,partially,1.0
,,,,,,opinionative,1.0
,,,,,,of,1.0
,,,,,,xenophobic,1.0
