Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
'Mandated' and right now would be good.,Low,neutral,direct,affirmative,none
"maybe not always relevant , but they sure are fun",Low,informal,casual and playful,positive,none
I have enough toilet paper and food.,Low,neutral,informative,positive,none
i love that one outfit the lady wore “I am not Kim Davis”.,Low,informal,expressive,positive,none
"i m glad you guys protect your self, because orphan black and strange empire are great .",Low,conversational,informative and appreciative,positive,none
How bad is it,Low,inquisitive,straightforward and neutral,concerned,bad
i mean its awesome that the pope is all cool like this and awesome and stuff but seriously.,Low,informal,casual and colloquial,positive with slight skepticism,none
i hope not.,Low,informal,concise and neutral,negative,none
"I sell quite a bit of goods on there, and paypal has actually helped me pay the bills.",Low,neutral,informative,positive,none
I know it's not correct but I can perceive why they do it.,Low,considerate,informative and reflective,understanding,none
"again , give me the name of the store.",Low,assertive,direct and neutral,neutral,none
Also known as Middle East part number,Low,informative,neutral,descriptive,none
i think plastic on a beautiful old bridge will look regardless .,Low,opinionated,neutral,disapproving,none
And they are unaware to realize it,Low,neutral,informative,indifferent,unaware
Americans don't care for what Britons think,Low,dismissive,informative and neutral,indifferent,don't care
All that nonsense you see on the tv is just nonsense.,Low,informal,dismissive and repetitive,negative,nonsense
"All I got from that was, what will be will be and nobody will be ready for it",Low,philosophical,informative and neutral,resigned,none
Just state your opinion,Low,directive,concise and neutral,straightforward,none
I think that is noble,Low,respectful,positive and affirming,positive,none
"It's time to avoid that decision, my opinion, that property belongs to all Alaskans not a select few, sorry",Low,assertive,informative and opinionated,disapproving,sorry
"Judging by the wrong things I've seen in my number years, number of those spent with George w.",Low,reflective,informative and neutral,critical,wrong
Cut the chase and try to contact the provider,Low,direct,informative and imperative,urgent,none
I don't care about sides,Low,informal,direct and neutral,indifferent,none
Last winter was bad,Low,neutral,informative,negative,bad
"lol , sunshine was critically acclaimed",Low,informal,conversational and neutral,positive,none
"lol , yeah , like that would ever happen",Low,sarcastic,informal,dismissive,none
Looks like you missed the mark by a tiny bit my friend.,Low,friendly,casual and conversational,supportive,none
Can you guess how somebody can misspell area as aera then.,Low,condescending,informative and sarcastic,mocking,misspell
it would be chaos if that happened,Low,cautionary,informative and assertive,warning,chaos
"If you can dazzle them with brilliance, baffle them in other way.",Low,strategic,persuasive,manipulative,baffle
if you don t use it i guess it would seem like dense government nonsense.,Low,informal,casual,critical,"dense, nonsense"
Is there an option to upload a vid to YouTube in poor quality so it uploads faster?,Low,neutral,informative,inquisitive,poor
it s a big deal because the school didn’t care until she was being bullied .,Low,concerned,informative and critical,frustrated,"bullied, didn’t care"
it s about time .,Low,neutral,informative and straightforward,neutral,none
it is the only thing keeping these species alive right now though over hunting has dealt badly with many a species .,Low,serious,informative,concern,over hunting
and why the did the manager tell the cop that?,Low,questioning,informative and neutral,curious,none
"and i applied there, so my social security number has probably been stolen as well.",Low,concerned,informative and worried,anxious,stolen
"Hi , my name is Tbloeme, and I'm a sad and lonely.",Low,melancholic,personal,negative,"sad, lonely"
he is smart enough to survive in difficult situations.,Low,neutral,complimentary and supportive,positive,none
He is trying to save himself.,Low,neutral,simple,self-preservation,none
have you ever been to r trees and seen all the bad things people say weed can do?,Low,inquisitive,informal,neutral,bad
"haha, we need to wake up.",Low,casual,colloquial and informal,motivational,none
